14098897
/m/03ctld_
/m/03ctld_
James Rollins
2001
{"/m/014dfn": "Speculative fiction", "/m/08sdrw": "Adventure novel"}
a 24
aboard 2
about 1
above 2
acquaintance 1
across 1
actually 1
after 4
air 3
alive 1
all 3
along 2
also 1
an 6
ancient 1
and 28
another 3
are 12
armageddon 1
around 3
arrive 1
arrives 1
artificial 1
as 5
ask 1
at 3
attack 1
attacked 3
away 2
back 1
base 2
be 4
because 1
before 2
believes 1
black 2
blaming 1
board 1
boat 2
bomb 3
bombs 1
book 1
boss 1
botched 1
boxes 2
brick 2
bricks 1
brief 1
brother 1
but 6
by 16
call 2
can 1
canadian 1
caught 1
causing 1
characters 1
chased 1
chinese 1
cia 1
city 2
civilization 2
close 1
clues 1
come 2
commander 1
computer 1
consequently 1
consumes 1
contact 1
coordinates 1
could 1
covert 1
crash 3
crashed 2
crew 1
crystal 4
curfew 1
david 1
day 2
death 1
debris 1
decide 1
decides 3
deep 7
defused 1
deserted 1
destroy 1
destroyed 2
detonate 1
devastating 1
different 1
diplomatic 1
disappointment 1
discover 1
do 1
dont 1
dragons 1
during 3
earlier 1
earthquake 1
earthquakes 3
eclipse 4
emails 1
eruption 1
escape 3
evacuate 1
eventually 1
every 1
everyone 1
exploded 1
explore 1
false 1
fathom 6
fiancee 1
fight 1
fighter 1
find 4
finds 2
fine 1
first 2
flares 1
following 1
for 2
force 3
forced 1
fought 1
found 5
friend 1
friends 1
from 9
get 6
gets 2
giant 1
given 1
go 4
goes 2
going 2
gold 2
gone 1
grace 3
ground 1
guam 2
had 5
happen 1
happy 1
have 2
he 7
him 1
hired 1
his 14
hits 1
how 1
huge 1
in 8
inform 1
inscriptions 1
intelligence 1
interrupted 1
into 2
investigating 1
is 19
island 2
it 7
jack 2
japan 1
japanese 1
jets 1
jetty 1
karen 10
kept 1
kill 4
killed 2
kirkland 22
large 1
laser 1
last 1
leave 1
leaves 2
level 1
like 1
lose 1
magma 1
magnetized 1
major 1
manages 1
many 1
meanwhile 1
meet 2
men 4
message 2
metal 1
millennium 1
mission 4
miyuki 4
more 1
mwahu 2
nakano 1
named 1
navy 2
near 1
new 2
not 1
now 2
nowhere 1
occurs 1
of 17
off 5
okinawa 5
old 1
on 13
one 9
only 1
operation 1
operations 1
ordered 1
orders 1
other 3
others 1
out 6
own 1
pacific 1
parts 1
patrols 1
peculiarity 1
people 2
perspectives 1
phone 1
pictures 1
pieces 1
pillar 9
placed 1
places 1
plane 4
populated 1
president 2
prevent 1
prisoner 1
proceeds 1
professor 2
pyramid 3
pyramids 2
radioed 1
range 1
refuse 1
reluctant 1
requested 1
rescue 1
rescuing 1
research 1
responds 1
return 1
returns 1
risen 1
salvage 4
same 3
satellite 1
script 1
sea 1
secure 1
seems 2
send 1
sent 1
sets 1
shares 1
she 4
ship 9
shooting 1
side 2
sister 1
site 6
slow 1
solar 2
soon 2
space 3
spangler 13
squid 1
starshaped 1
start 1
starts 2
states 1
station 1
sticking 1
still 1
strategy 1
study 1
submerged 1
submersible 4
subsequently 1
sunken 1
system 2
take 2
taken 2
takes 1
taking 2
tapped 1
team 5
telling 1
terminates 1
that 8
the 87
their 1
them 5
then 2
theorizing 1
there 4
these 1
they 20
this 2
though 2
three 2
through 1
time 5
to 43
told 1
towards 2
travelled 1
trick 1
tried 2
try 1
trying 2
turns 2
twin 1
two 1
underwater 6
undettered 1
united 1
university 1
up 1
us 1
use 1
uses 1
using 1
vengeful 1
vicepresident 1
volcanic 1
was 3
watching 1
went 1
were 2
what 1
when 12
where 4
which 8
while 1
who 6
whole 1
with 14
without 1
women 2
work 2
world 5
would 1
writing 2
