5737304
/m/0f212k
/m/0f212k
Patricia Bray
2002-04-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 5
accused 1
after 1
against 1
almost 1
an 2
and 12
annoyance 1
army 2
around 1
arrested 1
arrives 1
as 2
attacks 1
back 1
bandits 1
banecats 1
baron 3
barons 1
barony 1
be 1
been 1
begin 1
both 1
by 1
capital 1
challenges 1
charges 1
chosen 3
common 1
concern 1
confronts 1
conquered 1
conspiracy 1
conspirator 1
continues 1
council 1
death 1
decides 1
deems 1
defeats 1
depths 1
devlin 6
dies 1
duel 1
duke 1
duncaer 1
elusive 1
enemies 1
exfarmer 1
exmetalsmith 1
fail 1
family 1
finally 1
finds 2
for 2
from 2
general 1
gerhard 3
given 1
growing 1
has 1
having 1
he 8
help 1
helping 1
him 3
his 3
hoping 1
in 2
instead 1
investigates 1
is 6
jorsk 1
judged 1
king 1
kingdom 2
kings 1
kingsholm 2
lake 1
land 1
live 1
local 1
losing 1
made 1
magical 1
main 1
marshal 1
meanwhile 1
monster 1
mundane 1
mystery 1
named 1
new 1
no 1
nobles 1
oath 1
of 10
on 1
one 3
oppressed 1
out 2
over 1
overall 1
people 1
populace 1
quick 1
recovers 1
released 1
respect 1
rest 1
returns 1
role 1
royal 2
seat 1
seek 1
seeks 1
sent 1
sincere 1
slain 1
solves 1
stonehand 1
stop 1
take 1
that 2
the 24
there 1
those 1
time 1
to 12
treachery 1
treason 1
trouble 1
troubles 2
uncover 1
understands 1
voting 1
when 2
which 1
with 2
worship 1
