18372202
/m/04f6b0k
/m/04f6b0k
Jeff Kinney
2008-02-01
{"/m/01z4y": "Comedy"}
1 3
100 1
117 1
12 1
13 2
15 1
200 3
2010 2
2011 1
2012 1
25 1
4 1
65 1
a 10
about 1
act 1
acts 1
after 1
ago 1
all 2
an 2
and 2
another 1
april 1
as 2
at 3
band 2
bathroom 1
because 1
becomes 1
been 2
best 1
book 4
brother 1
bucks 1
but 1
cabin 1
called 1
class 1
dancing 2
day 1
days 3
diary 1
diper 1
dog 2
during 1
embarrassing 1
ends 1
enrolled 1
essay 1
fever 1
few 1
fifth 1
fight 1
filmed 2
find 1
for 3
fourth 1
franchise 1
gets 2
goes 1
grandma 1
greg 5
has 2
he 6
him 1
his 4
hit 1
holds 1
house 2
in 6
instant 1
internet 1
into 1
is 2
it 1
january 1
kid 1
ladies 1
last 1
later 1
list 2
loded 1
making 1
meanwhile 1
milk 1
mom 4
next 1
night 1
november 3
number 1
october 1
of 5
older 1
on 5
out 1
over 1
party 1
peaking 2
peeping 1
perform 1
performing 1
person 1
program 1
publication 1
push 1
release 1
released 4
rodrick 5
rules 2
runs 1
school 1
second 1
sellers 1
selling 1
seven 1
seventh 1
shared 1
show 1
sixth 1
song 2
spend 1
spits 1
started 1
stayed 1
story 1
straw 1
swimming 1
talent 1
that 1
the 24
them 1
then 3
there 1
they 2
thinks 1
third 2
till 1
to 3
tom 1
tries 1
truth 1
ugly 1
underwear 1
uploading 1
video 2
was 6
weeks 2
were 1
wheel 1
when 2
who 1
wild 1
will 1
wimpy 1
with 2
women 1
writes 1
years 1
