5155087
/m/0d5b6g
/m/0d5b6g
Christopher Rowley
1999-02-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 2
accomplish 1
across 2
again 1
against 2
an 1
and 4
argonath 1
army 1
as 1
attacked 1
battle 1
bazil 1
been 2
begin 1
begun 1
beings 1
by 2
constructs 1
control 2
death 1
defeat 1
defeated 1
designed 1
destiny 2
dream 1
eilsa 1
ended 1
evil 1
fighting 1
finally 2
for 1
from 1
fullscale 1
giant 2
gods 1
golden 1
golem 1
great 1
gzug 1
has 3
have 2
heruta 1
immemorial 1
in 1
invasion 1
is 1
journey 1
just 1
land 1
leave 1
legions 1
liberation 1
master 1
masters 1
mistaken 1
must 1
novel 1
of 9
on 2
once 1
oppressed 1
own 1
owning 1
padmasa 1
peoples 1
picking 1
previous 1
relkin 1
reorganize 1
rise 1
ryetelth 2
since 1
sinni 2
skash 1
sometimes 1
space 1
sphereboard 3
striking 1
taken 1
taking 1
task 1
the 15
their 2
them 1
themselves 1
then 1
they 2
this 2
time 3
to 4
together 1
unable 1
up 2
waakzaam 4
where 1
who 2
with 1
wizard 1
