1308847
/m/04rryb
/m/04rryb
David Mitchell
1999-08-19
{"/m/05hgj": "Novel"}
13031 1
147 1
3 1
a 86
abandon 1
able 1
about 9
account 3
accountable 1
acquaintance 1
action 1
actions 2
admiral 1
affair 1
african 1
after 6
afterwards 1
again 2
agent 1
agents 1
airport 1
alfred 3
alive 1
all 3
alliance 1
allow 2
allowing 1
almost 3
alone 1
along 1
already 1
also 2
alter 1
always 1
american 2
americans 2
an 15
and 68
andrei 1
animal 1
animals 3
annihilation 1
another 3
answer 1
antique 1
apart 1
apartment 3
apocalyptic 1
are 6
arrest 1
art 3
artifacts 1
artificial 1
as 8
asked 1
asks 1
association 1
at 7
attack 1
attempting 1
attracted 1
aunts 1
australian 1
author 1
autobiography 1
averting 1
avoiding 1
away 3
back 3
backpacker 1
band 5
bank 2
barely 1
bat 4
be 10
became 1
because 3
bed 1
been 4
before 3
begin 1
behaviour 1
being 5
believe 1
believes 2
bet 2
between 2
birth 1
birthplace 1
black 3
blind 1
blocks 1
body 2
book 3
borges 1
boss 1
boy 4
boyfriend 1
breakdown 1
breaking 1
breaks 1
bridge 2
briefcase 1
brigand 1
brings 1
broke 1
broken 1
brose 3
brother 1
brutality 1
buddhist 3
build 1
business 1
but 9
buyer 1
buyers 1
by 19
call 2
called 1
calling 2
came 1
can 4
cannot 2
cant 1
capital 2
capture 1
car 1
carrying 2
case 1
casino 1
caspar 3
catch 3
caught 1
cause 1
causing 1
cavendish 2
century 2
chair 1
chance 3
chapter 1
chapters 2
character 1
charge 2
cheats 1
chief 1
child 1
children 1
china 4
chinese 5
choose 1
cleaning 1
cleans 1
clear 2
climbs 1
closed 1
cognition 2
collecting 1
collision 1
come 2
comet 2
commit 1
communication 1
communism 1
communists 2
company 2
completely 1
complex 1
conclusion 1
concubine 1
condition 2
conditions 1
conflict 1
connection 1
conventional 1
conversation 1
converse 1
cope 1
couldnt 1
counsel 1
country 1
couple 1
cousin 1
crack 1
crash 1
creators 1
crime 1
crossing 1
cult 4
curator 2
damaging 1
danish 1
darker 1
daughter 4
day 4
dead 1
deadly 1
deal 1
debilitating 1
decides 2
decision 1
defend 1
defining 1
delacroix 1
delivers 1
denholme 2
denial 1
deported 1
deposits 1
destabilization 1
destiny 1
destroy 1
destroyed 2
details 1
developer 1
develops 1
devices 1
diabetes 1
diabetic 1
dictates 1
die 1
died 1
diedas 1
dies 1
dilemma 1
direct 1
directly 1
director 1
disables 1
discover 1
discovered 1
discovers 2
discussing 1
discussion 1
disembodied 1
disgust 1
divorce 1
doesnt 1
dog 2
doing 1
dominate 1
dont 1
doomsday 1
down 2
downtown 1
dreams 1
drops 1
earlier 1
earth 4
eccentric 1
economy 1
ego 1
eighteenyearold 1
emei 1
employed 1
end 3
ended 1
ends 1
english 1
entity 3
ethical 1
evade 1
eve 1
evening 1
events 1
eventually 4
everywhere 1
evidently 1
example 1
execute 1
existence 3
exploits 1
eyes 1
facility 1
fake 1
fashion 1
fate 1
father 1
fed 2
feeds 1
feudalism 1
feynman 1
fidelity 1
fight 1
filipina 1
finally 2
finances 1
financial 2
find 3
finds 3
firm 1
first 4
fled 1
flights 1
folk 1
follow 2
follows 1
foot 1
for 14
forbes 1
force 1
forced 1
four 1
fourth 1
friend 4
from 14
full 1
gas 1
gatwick 1
general 1
generally 1
ger 1
get 2
gets 2
ghost 1
ghosts 2
ghostwriter 1
ghostwritercumdrummer 1
gibreel 2
girl 6
girls 2
girlwho 1
give 1
given 2
gives 1
go 2
goat 1
goes 1
going 3
government 1
granddaughter 1
grandmother 3
great 1
greatgrandmother 1
green 1
gregorski 4
grip 1
group 2
guest 1
had 4
half 3
hallucinations 1
hand 1
hands 1
hanging 1
has 13
haunted 1
have 3
having 1
he 34
hears 1
heist 1
her 40
hermitage 1
herself 1
hiding 1
hill 1
him 7
himself 4
hinted 1
his 18
history 2
hit 1
hitman 1
holy 3
homosexual 1
hong 8
hope 1
host 3
hosts 2
house 1
however 1
hungarian 1
hurry 1
husband 3
huw 1
ideas 1
identifies 1
illegitimate 1
imminent 1
impact 1
impacts 1
impending 1
implication 1
implies 1
in 55
india 1
inhabited 1
inhabiting 1
inhabits 1
initiate 1
innocent 1
inside 4
instead 2
intelligence 1
intelligent 1
intended 1
interplay 1
interrogate 1
interrupted 1
intervening 1
into 3
introduced 1
investigated 1
involved 1
involves 1
involving 1
iranian 1
ireland 1
is 48
islamic 1
island 4
it 24
its 15
itself 2
japanese 4
jazz 1
jerome 4
jewish 1
john 2
jorge 1
jumps 1
just 3
katy 1
keeps 1
kill 1
killed 1
kills 2
know 2
kong 8
kumejima 1
lady 2
lands 1
large 1
last 1
late 2
later 6
latest 1
latunsky 1
launching 1
laundering 2
law 1
laws 2
lawyer 1
leader 1
leads 1
leave 1
leaves 2
leaving 1
left 2
letter 1
liam 1
lies 2
life 5
little 2
live 1
lived 1
lives 4
living 4
llewellyn 1
local 1
london 2
loose 2
lost 1
love 1
lover 3
luis 1
madam 1
made 2
maid 1
major 1
make 2
makes 1
man 2
manage 1
many 1
mao 1
marco 12
margarita 4
marry 1
master 1
mastermind 1
may 1
measures 1
meeting 1
meets 1
member 1
memories 1
memory 2
men 1
mercenaries 1
message 1
met 1
military 3
millenarianist 1
mind 6
mislead 1
mistress 1
mitchell 2
mo 2
moment 1
money 6
mongolia 6
mongolian 7
monitors 1
monks 1
months 1
moral 2
more 3
morning 1
most 1
mother 4
mount 1
mountain 4
move 1
moves 1
mr 1
muntervary 2
murdered 2
museum 2
music 1
must 2
mysterious 1
naha 1
narration 2
narrator 1
nationalists 1
natives 1
nature 1
neal 5
necessary 1
needs 2
nerve 1
never 6
new 3
newborn 2
news 1
next 2
night 3
noncorporeal 2
noncorpum 10
nonmalevolent 1
northafrican 1
not 1
novel 4
now 2
nuclear 1
number 2
obeys 1
objects 1
occasion 2
occur 1
of 86
off 1
offers 1
okinawa 2
old 4
on 19
once 1
one 12
ones 1
only 3
or 2
ordinary 1
origin 5
other 5
otherwise 1
out 11
outside 1
overhearing 1
own 2
owner 1
pact 1
painter 1
painting 2
paintings 1
panic 1
part 1
passed 1
peace 2
people 6
permanently 1
perpetrated 1
person 1
petersburg 1
phone 3
phones 4
physicist 1
pianist 1
pick 1
plan 2
plans 1
platform 1
plays 2
plotlines 1
pockets 1
point 1
points 1
police 2
politician 1
pondering 1
poppy 2
postman 1
power 1
powerful 1
powers 1
preceding 1
prepared 1
prevent 1
proceedings 1
procures 1
produces 1
prophesied 1
prostitute 1
publishing 1
put 1
quancog 1
quantum 2
quasar 3
radical 1
radio 1
raised 2
random 1
raped 1
rather 1
real 2
reasons 1
reborn 1
rebuilt 1
receive 1
receives 1
recent 1
reciprocal 1
recollect 1
record 1
reference 1
references 1
refuses 1
regards 1
regularly 1
rejected 1
relation 1
relationship 2
release 1
releasing 1
rely 1
reminiscences 1
remote 1
repercussions 1
representatives 1
research 2
resignation 1
resolves 1
rest 1
restaurant 1
results 1
return 1
returned 1
returns 2
reveal 2
reveals 3
revolutionary 1
rich 1
ringing 1
ripple 1
rock 1
roy 1
rudi 6
rule 1
rules 1
run 2
running 1
runs 3
rural 1
russia 3
russian 2
said 2
saint 1
same 1
satellites 1
satoru 2
save 1
saves 1
saw 2
saxophone 2
says 3
science 1
scraping 1
secret 2
section 2
seductions 1
see 1
seemingly 1
seen 1
sees 1
segundo 1
seized 1
sending 1
sends 1
sent 2
serendipity 3
serpent 1
set 1
several 3
shack 6
share 1
she 30
shelter 1
sherry 1
shock 1
shocked 1
shocking 1
shockwaves 1
shop 3
show 4
side 1
since 1
sits 1
sleeper 1
small 1
so 1
soldier 2
solid 1
solitude 1
some 1
somebody 1
son 3
soul 3
south 1
soviet 1
sparked 1
speaks 1
speed 1
spirit 2
spotlight 1
squalid 1
stable 1
start 2
starting 1
starts 2
state 2
states 1
station 1
stay 1
staying 1
steal 1
stealing 1
stolen 3
stolz 1
stopping 1
stories 2
story 4
storylines 1
strands 1
strike 1
strong 1
struggles 1
stuck 1
studying 1
substitute 1
subway 1
suffers 1
suhbataar 2
suits 1
sums 1
surge 1
surrender 1
survives 1
