8630307
/m/027bq7c
/m/027bq7c
Jonathan Coe
1994-04-28

10 1
11 1
142 1
161 1
180s 1
30 1
40mile 1
50th 1
a 14
accord 1
actions 1
administered 1
admitted 1
after 2
afterwards 1
aged 1
alleges 1
allied 1
along 1
also 1
ambitious 1
an 1
and 13
antiaircraft 1
appearance 1
are 2
arms 1
art 1
artgallery 1
artist 1
as 2
at 1
attacked 1
attacker 1
attend 1
attends 1
back 1
banker 1
be 1
because 1
becomes 1
begin 1
believes 2
berlin 1
betrayed 1
bicycle 1
birthday 1
bombing 1
both 1
british 1
brother 2
brutal 1
but 9
by 9
career 1
carve 2
chance 1
chicken 1
coincides 1
columnist 1
comedy 1
commissioned 1
committed 1
complete 1
complicit 1
connor 1
conquests 1
consequences 1
constantly 1
consultations 1
copilot 1
deadline 1
dealer 2
death 1
deaths 1
debts 1
deeply 1
delayed 1
deliberately 1
depicts 1
destroys 1
detective 1
develops 1
dies 1
distressing 1
do 1
dorothy 1
down 1
during 1
each 1
eaton 1
embark 1
emerges 1
enough 1
ensures 1
events 2
eventually 1
everett 1
family 6
farmer 1
farreaching 1
figures 1
film 1
films 1
findlay 1
fiona 2
fire 1
flat 1
focuses 1
following 3
for 1
frances 1
from 5
generous 1
german 1
godfrey 3
greedy 1
have 1
he 8
health 1
henry 1
her 3
hilary 2
hired 1
his 5
history 2
home 1
hospital 1
hussain 1
hypocritical 1
illness 1
in 14
individuals 1
inherit 1
institution 1
interest 2
interests 1
into 1
intruder 3
invasion 1
investment 1
invited 2
iraq 1
is 11
it 2
james 1
kenneth 1
killing 2
kuwait 1
lately 1
later 2
lawrence 4
lazy 1
learn 1
life 1
located 1
london 1
man 1
mark 2
matthew 1
meeting 1
members 2
mental 1
michael 7
middle 1
misplaced 1
mission 1
more 3
morning 1
mortimer 5
mysterious 1
mystery 2
neighbour 1
new 1
newspaper 1
night 3
nineteen 1
no 1
noone 1
not 2
nothing 1
novel 2
novelist 1
november 1
nurse 1
of 18
off 1
old 1
on 5
one 1
onyx 1
or 3
other 1
over 1
owen 1
own 1
owner 1
particular 1
party 1
personal 1
phoebe 1
piloting 1
plane 1
platonic 1
point 1
politician 1
populist 1
pork 1
predatory 1
pressure 1
private 1
process 1
professional 1
professionals 1
progresses 1
project 2
pursue 1
reading 2
realizes 1
receiving 1
reclusive 1
records 1
related 1
relationship 1
remains 1
remotely 1
renewed 1
resumes 1
revealed 1
ride 1
roddy 2
roderick 1
ruthless 1
saddam 1
same 1
seaplane 1
secret 1
sections 1
seeking 1
service 1
serving 1
shadow 1
she 5
shirley 1
shortly 1
shot 1
sid 1
sins 1
sister 1
sloane 1
so 1
society 1
solicitor 1
some 1
son 2
soon 2
sponsorship 1
stagnates 1
starring 1
staying 1
stipend 1
suffers 1
surprised 1
survives 1
surviving 1
symptoms 1
tabitha 4
tabloid 1
take 1
than 1
that 6
the 44
their 4
them 1
these 1
they 1
this 2
thomas 1
those 1
to 13
towers 1
transpire 1
treatment 1
turns 1
underresourced 1
unidentified 1
until 1
up 2
various 2
very 1
videotapes 1
violent 1
visit 1
warm 1
warplanes 1
wartime 1
was 5
watching 1
way 1
wealthy 1
what 2
whether 1
which 1
who 1
will 3
winshaw 7
winshaws 1
with 6
works 1
write 2
year 1
years 1
yorkshire 2
young 1
