2828565
/m/0859lh
/m/0859lh
Tsitsi Dangarembga
1988
a 12
about 1
administered 1
affected 1
after 4
all 2
allows 2
also 2
always 1
an 3
and 15
are 1
argument 3
arises 1
arriving 2
as 4
at 4
attend 5
away 2
babamakurus 1
babamukuru 16
back 4
be 1
because 7
become 1
becomes 2
behavior 1
being 1
break 1
bright 1
brother 1
but 2
by 4
came 1
cautious 1
changed 1
changes 2
character 1
chido 1
cleaning 1
close 1
comes 1
comfortable 1
completely 2
concludes 1
conditions 1
consequently 1
cooking 1
cousin 1
cultural 1
daily 1
dance 1
decided 1
decides 3
desires 1
develops 1
died 1
different 1
disagrees 1
disappointed 1
discovers 1
disorder 1
distant 1
do 1
does 5
drama 1
due 1
during 3
eager 1
eating 1
end 1
enough 1
events 2
everyone 1
everywhere 1
exam 3
exams 1
excels 1
excited 1
expected 1
exposed 1
extended 1
extremely 2
fact 1
family 8
fears 1
fees 1
fight 2
finally 1
focused 1
focuses 2
for 2
forward 1
from 2
fully 1
get 1
gets 1
girl 1
girlfriend 1
go 3
going 2
great 1
had 1
has 3
have 2
he 3
her 16
hesitant 1
him 1
his 6
home 1
homestead 3
house 1
how 1
however 2
idea 1
in 3
into 2
introduced 1
is 26
just 2
known 2
later 1
leave 2
leaving 1
legally 1
let 1
lifestyle 1
like 1
live 1
living 1
look 1
maiguru 3
main 1
many 2
married 1
marry 1
marrying 1
may 1
members 1
missionary 4
money 1
more 1
much 1
must 1
nervous 1
new 1
news 1
nhamo 3
not 7
novel 2
nyasha 9
nyashas 1
occasion 1
of 8
offer 1
offered 1
often 1
older 1
on 4
one 1
only 1
opens 1
opportunity 2
over 1
parents 2
pay 1
place 1
poor 1
possible 1
problems 1
psychiatrist 1
punches 1
punished 1
questions 1
realizes 1
reason 1
recover 1
remains 2
resilient 1
returns 3
scholarship 1
school 11
see 1
serious 2
she 14
shocked 1
should 1
since 1
situations 1
slowly 1
so 1
soon 4
stay 1
strikes 1
students 1
studied 1
studies 3
study 2
success 1
suffering 1
suggests 1
surround 2
take 2
tambu 15
tambus 5
term 2
test 1
that 12
the 28
them 2
then 1
there 2
these 1
they 1
thin 1
thing 1
this 4
to 29
towards 1
treated 1
uncle 2
unfortunate 1
up 1
upon 2
upset 2
very 2
visit 4
want 2
wedding 1
well 2
when 1
whenever 1
where 1
which 1
white 1
wife 1
with 7
worshipped 1
young 1
