11370309
/m/02r974w
/m/02r974w
William Morris
1894
a 8
adventure 1
after 1
an 1
and 2
another 1
are 2
arrive 1
as 4
avoid 1
betrays 1
by 1
captive 1
carries 1
castle 1
city 1
clan 1
comes 2
country 1
custom 1
died 1
effect 1
efforts 1
en 1
enchantress 1
eventually 1
ever 1
family 1
faraway 1
father 1
feud 1
flee 1
for 1
foreigner 1
from 1
fruitless 1
golden 1
hailed 1
happily 1
harrowing 1
has 1
having 1
he 2
her 1
him 4
his 6
home 1
homeland 1
in 1
inhabited 1
is 3
killed 1
king 1
last 1
late 1
leaves 1
live 1
love 1
maiden 1
man 1
merely 1
minigiants 1
monarchs 1
necessity 1
new 2
news 1
next 1
of 4
on 1
or 1
presumably 1
rather 1
reaching 1
region 1
rescues 2
route 1
ruler 1
she 1
storm 1
sunder 1
take 1
that 1
the 8
then 1
they 1
this 1
throne 1
through 1
ties 1
to 8
trading 1
vacant 1
voyage 1
walter 3
when 2
which 1
whose 1
wife 2
with 1
word 1
