42573
/m/0bpnk
/m/0bpnk
Robert Jordan
1990-11-15
a 21
ability 1
able 1
above 1
accept 1
accepted 1
accompany 2
action 1
actions 1
activated 1
adam 1
addition 1
aes 4
after 1
again 1
ahead 1
aid 3
albeit 1
all 1
almeara 1
along 1
also 3
alternate 1
althor 1
although 1
alvere 1
amyrlin 1
an 4
and 44
andoran 1
another 2
appear 1
appears 1
apprentice 1
are 5
arrive 2
arriving 1
artur 1
as 8
ask 1
at 10
attached 1
attack 4
attacked 1
attackers 1
attempt 2
attention 1
away 1
aybara 1
baalzamon 7
back 1
be 3
beasts 1
become 1
been 1
before 1
being 1
believe 1
below 1
between 1
blademaster 1
blows 1
bornhald 1
both 1
branded 1
building 1
but 3
by 5
cairhien 1
called 1
camp 1
can 1
captured 1
catch 1
cause 1
channel 1
channeling 2
chapter 1
children 1
choose 1
city 4
clairvoyant 1
clandestine 1
collared 1
come 1
condition 1
consisting 1
continent 1
continues 1
control 1
counterblow 1
dagger 7
damodred 1
danger 1
dara 3
darkforce 1
darkforces 1
darkfriend 2
darkfriends 3
dead 2
deep 1
defeat 1
defenses 1
dena 1
denies 1
deserted 1
desperately 1
destroy 1
device 1
dies 1
disappearance 1
distorted 1
dragon 1
drawing 1
dreams 1
duels 1
dungeon 1
during 3
easily 1
egwene 5
either 1
elayne 4
element 1
employing 1
encounter 1
ends 1
escape 2
escaping 1
even 1
events 2
exotic 1
explain 1
extremely 1
eye 2
fade 1
fain 6
fains 1
fal 3
falme 3
farther 1
faster 1
fellow 1
fight 1
fighting 2
final 1
finally 1
find 1
finds 1
fireworks 1
flee 1
fleeing 1
following 1
for 5
forces 2
form 1
forsaken 2
fort 1
forth 1
freeing 1
friends 1
from 2
further 1
furthermore 1
geofram 1
get 1
gleeman 1
gone 1
group 8
guild 1
had 1
has 3
have 1
hawkwing 1
he 7
head 2
heads 1
help 1
her 1
heroes 5
heron 1
hiding 1
high 1
him 1
himself 3
his 6
hoping 1
horn 9
house 1
how 1
hurin 4
illuminator 1
images 1
imprisoned 1
in 17
include 1
includes 3
increasingly 1
influence 1
ingtar 7
initially 1
instructs 1
into 3
invading 1
involvement 1
is 15
journeys 1
kept 1
killing 1
know 1
knowledge 1
lan 2
land 1
lands 1
lanfear 1
later 2
lead 1
leader 1
learn 1
leaves 2
leaving 1
letting 1
liandrin 2
light 1
like 1
loial 2
lord 3
losing 1
loss 1
lost 1
lover 1
malfunctions 1
manage 1
mandragoran 1
maneuver 1
mat 6
meeting 2
meets 2
merrilin 1
min 3
moiraine 1
moment 1
moraine 1
most 1
much 1
murdered 1
myrddraal 2
mysterious 2
nearby 1
needs 1
novel 1
novice 1
nynaeve 5
occupied 1
of 22
off 1
on 2
once 1
one 2
open 1
or 1
other 1
others 1
over 1
overwhelm 1
own 2
padan 4
palm 1
parasitic 1
party 5
passes 1
penetrate 1
people 1
perrin 5
place 1
places 1
plot 1
plots 1
port 1
portal 5
powerful 2
preparing 1
presides 1
pretends 1
princess 1
prologue 1
protagonists 2
protective 1
pursuit 1
rand 28
rank 1
reborn 1
reclaim 1
recover 1
recurring 1
redeems 1
religious 1
reminisces 1
rescue 1
responsible 2
rest 1
resurrected 3
retreat 1
return 2
reunited 1
revealed 1
reveals 1
safe 1
saidin 1
sail 1
same 1
sanche 1
seanchan 9
seat 1
secretly 1
sedai 4
selene 3
senses 1
separated 1
severely 1
shadow 1
shaitans 1
shienar 1
shienaran 3
ships 1
shows 1
sickly 1
side 1
similar 1
siuan 4
skilled 1
sky 1
slaying 1
slays 1
sleep 1
small 1
smell 1
sneak 1
sneaks 1
sniffer 1
society 1
southbound 1
stealing 1
stone 7
strikes 1
struggle 1
successful 1
successfully 1
summoning 1
surprise 1
survive 1
suspects 1
swordfighting 1
symbiotically 1
tainted 2
taken 1
takes 1
tar 3
taught 1
tells 2
test 1
than 1
that 7
the 71
their 10
them 1
then 2
there 1
these 1
they 5
this 1
thom 3
thought 1
through 1
time 2
to 31
toman 2
tower 3
towers 1
track 1
tracker 1
tracking 1
training 1
transported 1
trapped 1
travel 1
tries 1
trollocs 2
turak 1
two 1
unable 1
unconsciously 1
unfold 1
up 2
use 1
used 1
uses 1
valere 3
valon 3
verin 1
via 2
visits 1
waiting 1
warning 1
was 1
way 1
waygate 1
we 1
well 1
went 1
when 2
where 4
which 3
while 3
white 4
whitecloak 1
whitecloaks 3
who 4
whom 2
with 12
without 1
wolf 1
wolves 1
woman 2
women 1
world 6
worsens 1
wounded 1
zealous 1
