14311
/m/03q5b
/m/03q5b
Mark Twain
1884
{"/m/06nbt": "Satire", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel", "/m/09kqc": "Humour"}
1835 1
1845 1
300 1
30year 1
50 1
6000 1
800 1
a 50
able 1
about 10
absence 1
absences 1
absurd 1
abusive 1
accent 1
accepting 1
accounts 1
acquiring 1
admires 1
adopt 1
advantage 1
adventures 2
advertise 1
advice 1
after 4
afternoon 1
afterwards 1
again 1
against 1
age 1
aint 1
all 5
alleging 1
allow 1
allows 1
along 2
already 2
also 2
although 3
an 8
and 67
announces 1
another 2
any 1
anyway 1
anywhere 1
apparently 1
appreciates 1
apprentice 1
arab 1
are 14
area 2
arm 1
around 2
arrival 1
arrive 1
arrived 1
arrives 2
as 7
at 4
attempting 1
aunt 2
avoids 1
away 3
back 3
backwoods 1
be 11
because 1
becomes 2
been 3
begins 3
being 3
believe 1
believing 1
betrayal 1
betrays 1
between 1
big 1
bilgewater 1
bills 1
blame 1
blood 1
blue 1
boggs 3
boldly 1
books 1
both 1
boy 2
boys 1
branch 1
bridgewater 1
bring 2
brother 2
brotherly 1
brothers 3
buck 4
buried 1
but 5
buy 1
by 13
cabin 2
cairo 1
call 2
called 2
can 4
cannot 1
capture 1
captured 2
carry 1
carrying 1
causes 1
cavern 1
cavorting 1
cents 1
certain 1
change 1
changed 1
charged 1
check 1
chose 1
church 2
civilize 2
civilized 1
claim 1
coffin 3
colonel 3
come 2
comes 2
comfortably 1
committing 1
completing 1
conditions 1
confidence 1
confining 1
confirmed 1
conflict 1
conflicted 1
confronts 1
confusion 2
conscience 1
considerable 1
continually 1
continue 5
continues 3
conversation 1
conversations 1
convince 1
corpse 1
correspondence 1
could 1
couple 1
courtesy 1
cowardice 1
cries 1
crowd 2
cunning 1
currently 1
custody 1
cut 1
dalmatian 1
danger 2
dark 1
daughters 1
dauphin 1
dead 3
deafmute 2
death 1
deceased 1
decency 1
decide 1
decides 1
declares 1
defiant 1
depth 1
describe 1
despair 1
despite 2
devastated 1
develops 1
devise 1
died 1
difficult 1
digging 1
discovered 1
disrupting 1
divided 1
do 1
doctor 1
does 1
dollars 2
done 2
douglas 1
down 7
downcast 1
downriver 1
dresses 1
drifted 1
drunk 1
drunkard 1
drunken 1
duke 10
during 2
each 1
earlier 2
efforts 1
either 1
elaborate 2
elaborately 1
elements 1
elopes 1
elsewhere 1
encounters 1
engaged 1
engagement 1
england 1
english 2
enough 3
enter 1
entering 1
enters 1
entire 1
entirely 1
escape 4
escaped 3
escapes 1
essential 1
estate 1
even 1
events 1
eventually 1
everything 3
exactly 1
expected 1
exploits 1
face 1
fake 1
fakes 1
families 1
family 5
far 2
farther 1
father 5
fear 1
feathered 1
feud 2
fictional 1
final 1
find 4
finds 2
finn 1
first 3
flee 1
fleeing 1
floating 2
floor 1
food 2
fools 1
for 11
forces 1
forcibly 1
fortune 2
forty 1
found 3
four 1
france 1
fraud 1
free 5
freed 1
freedom 3
friends 1
from 6
fugitives 1
further 1
gains 1
gang 3
gate 1
general 1
gentleman 1
girl 1
given 1
gives 1
glad 1
go 2
goes 1
going 2
got 1
grab 1
grangerford 3
grangerfords 4
grifters 4
guardianship 1
gun 1
gunfight 1
guns 1
habit 1
had 2
haint 1
halfbrother 1
happened 1
harkness 1
harney 1
harsher 1
has 9
have 3
having 1
he 27
head 2
held 2
hellhuck 1
helping 1
helps 1
her 6
here 1
hidden 1
hide 1
hill 1
him 23
himself 2
his 29
home 1
hoping 1
house 4
household 1
how 1
however 3
huck 42
huckleberry 1
husband 1
hymn 1
hysterical 1
identifies 1
identities 1
ill 1
illinois 1
immediately 1
impending 1
impersonate 1
in 34
including 2
incorrectly 1
indian 1
inherit 1
inheritance 1
inside 2
intends 1
intention 1
intercepts 1
interest 1
into 4
introduces 1
involving 1
is 30
island 5
islands 1
it 3
items 2
jackson 3
jim 39
join 3
judge 1
just 1
justice 1
keeping 1
killed 2
kills 1
kindness 1
king 9
know 1
knowing 1
known 1
ladder 1
later 4
latest 1
learns 3
leave 2
leg 1
legged 1
let 1
life 5
like 1
likes 1
liquidate 1
living 1
load 1
loaded 1
local 1
location 1
locked 1
long 1
looking 1
lost 1
louis 1
love 1
lying 1
lynched 1
lynching 1
majority 1
make 1
makes 1
making 1
males 1
man 8
manage 1
manages 1
manhunt 1
masks 1
match 2
matter 1
may 1
meet 1
men 3
messages 1
met 1
minutes 1
mispronounces 1
miss 6
mississippi 6
missouri 1
mistaken 1
mistreated 1
money 4
months 1
more 1
morning 1
moves 1
murder 2
name 1
narrative 1
narrowly 1
near 1
nearly 1
needle 1
nevertheless 1
new 3
news 1
next 2
night 4
none 1
nonesuch 3
not 4
note 1
nothing 1
novel 1
novels 1
nuisance 1
occasion 1
oclock 2
of 45
off 1
ohio 1
older 1
on 22
once 1
one 11
only 2
opinion 2
or 1
order 1
other 3
others 1
our 1
out 9
outings 1
outraged 1
over 1
overheard 1
own 3
paint 1
paltry 1
pap 3
parent 1
passing 2
past 2
people 1
performance 1
peter 1
petersburg 2
phelps 3
placed 1
plan 4
planning 1
plans 2
plantation 1
play 2
plays 1
polly 1
popular 1
porch 1
preacher 1
preachings 1
prefers 1
presence 1
pretending 1
pretends 1
preventing 1
price 1
print 1
property 2
prosperous 1
pursuit 1
puts 1
quickly 2
quite 2
raft 7
rail 1
raised 1
ransack 1
rather 2
ready 2
real 1
reappearance 1
recapture 2
recently 1
recognize 1
record 1
refuses 2
rejects 1
rejoin 1
remains 1
requires 1
rescue 2
resents 1
resolve 1
resolves 1
rest 1
result 1
resulting 2
return 2
returned 1
returns 1
reuniting 1
reveal 1
revealed 1
revealing 1
reveals 1
revenge 1
reward 1
ridden 1
right 1
rightful 2
risking 1
river 7
road 1
robbers 1
room 1
rope 1
royal 3
run 3
runaway 2
running 1
safely 1
said 1
sailed 1
sally 2
sawyer 4
saying 1
says 1
scheme 1
schemes 1
school 2
scrounge 1
secret 1
see 2
seeing 1
seem 1
selfproclaimed 1
sell 2
sent 1
separating 1
series 2
sets 1
seventy 1
she 3
shed 1
shelter 1
shepherdson 1
shepherdsons 2
sherburn 8
shiftless 1
shore 1
shot 3
shotgun 1
should 2
show 1
sick 1
sid 1
side 1
signatures 1
silas 1
simply 1
since 2
sister 2
skiff 1
skipped 1
slave 5
slavery 1
slaves 1
sleeping 1
sling 1
sneaking 1
so 4
some 2
somebody 1
someone 1
sometime 1
somewhat 1
son 3
sophia 1
south 2
southern 2
speech 1
spirits 1
st 2
standing 1
state 1
states 1
steal 1
stealing 3
steamboat 1
steamship 1
storm 1
story 2
successful 1
successor 1
sudden 1
suggests 1
sum 1
sunday 2
support 1
surprise 1
survive 1
suspicions 1
suspicious 1
swamped 1
swindlers 1
take 2
takes 1
talk 1
tarred 1
teacher 1
tell 2
telling 1
tells 3
temporary 1
territory 1
test 2
tests 1
than 3
that 17
thatall 1
thatcher 1
the 139
their 5
them 7
themselves 1
then 4
there 1
these 1
they 20
thinking 1
third 1
thirty 1
this 5
thomas 1
though 1
thought 1
threads 1
threatening 2
three 1
threenight 1
through 1
throughout 1
throws 1
thwart 1
time 2
title 1
to 76
together 4
told 1
tom 14
too 1
town 10
townsmen 1
townspeople 5
travel 2
treat 1
tricked 1
tries 1
true 1
trumps 1
trying 2
tunnels 1
turn 1
turns 1
twist 1
two 10
uncle 1
under 1
underway 1
until 1
up 8
upon 1
use 1
using 1
vendetta 1
violence 1
visit 1
wait 1
warning 1
warns 1
was 2
watson 6
way 3
we 1
wearing 1
were 2
west 1
what 1
when 10
where 4
whether 2
which 5
while 5
white 1
who 6
whom 1
widow 2
wilderness 1
wilks 5
will 4
with 11
without 1
woman 2
wood 1
worse 1
worth 1
would 1
write 2
writing 1
xvi 1
young 1
younger 2
