19050921
/m/04jj0j3
/m/04jj0j3
Colin Dexter
1994-11-11
{"/m/0lsxr": "Crime Fiction"}
a 4
ancient 1
and 2
are 1
body 1
broad 1
brooks 1
brutal 1
case 1
college 1
disappears 1
don 1
dr 1
edward 1
felix 1
flat 1
following 1
found 2
have 1
himself 1
his 1
history 1
in 1
into 1
is 2
knife 1
leads 1
many 1
mcclure 1
morse 1
motive 1
murder 1
museum 1
no 3
of 3
oxford 1
path 1
police 1
single 1
stab 1
stomach 1
suddenly 1
suspect 1
suspects 1
the 6
theft 1
then 1
there 1
to 1
too 1
weapon 2
who 1
with 1
wolsey 1
