14640941
/m/03grkpj
/m/03grkpj
Octave Mirbeau
1886-11
a 4
affair 1
ambition 1
an 2
and 2
appears 1
as 1
autobiographical 1
battle 1
become 1
by 2
calvaire 1
character 1
christ 2
corpses 1
create 1
devastating 1
dubious 1
fallen 1
final 1
good 1
has 1
he 1
his 4
humiliated 1
image 1
impotence 1
impulse 1
in 4
incapable 1
into 1
is 4
jean 1
judith 1
juliette 1
le 1
literary 1
love 1
main 1
men 1
minti 1
mirbeau 1
modeled 1
morals 1
novel 2
obsessions 1
of 7
on 1
overcoming 1
pages 1
passion 2
potential 1
redemptive 1
reduced 1
replaced 1
romanticizes 1
roux 1
sexual 1
state 1
suffering 1
the 8
to 4
transform 1
tries 1
victimized 1
vimmer 1
which 1
who 2
with 1
woman 2
writer 1
