10261026
/m/02q6t32
/m/02q6t32
William Faulkner
1957
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
10pm 1
3 1
a 23
ab 1
about 5
academy 2
accidentally 1
acquires 1
actively 1
actually 2
adultery 1
affair 3
after 3
again 2
against 2
all 3
also 1
although 1
always 1
an 5
analyzes 1
and 32
anonymous 1
anyway 1
apparent 1
apparently 1
appeals 1
are 4
argues 1
around 1
arrangements 1
arranges 1
as 2
asks 3
association 1
at 7
atelier 3
attacks 1
attempting 1
attempts 1
attend 1
available 1
avoid 1
aware 1
away 1
back 3
ball 3
bank 4
banking 1
bayard 1
be 4
beaten 1
beating 1
because 2
becomes 2
before 1
begins 1
being 1
bend 2
between 1
billy 1
blocks 1
blow 1
blows 1
bored 1
bought 1
boy 1
boyfriend 1
brace 1
brass 3
brassstealing 1
breaking 1
brother 1
burned 1
burns 1
bury 1
business 2
but 2
buys 2
by 5
byron 3
call 1
called 1
can 1
canteen 1
car 2
carefully 1
carrying 1
case 2
catch 1
catches 1
cedric 1
cf 1
chain 1
challenges 1
chance 1
changes 1
chapter 27
characters 1
charge 1
chastity 1
cheating 1
chick 16
child 1
children 2
christian 1
clan 1
clarified 1
coincidental 1
colonel 1
come 1
comes 3
competing 1
completely 1
consists 2
corsage 2
cotillion 1
couldnt 1
county 1
cries 1
cuckolded 1
cuckolds 1
damned 1
de 13
dead 1
deal 1
death 1
debate 1
declines 1
deduces 1
defended 1
delegated 1
departs 1
deposits 1
description 1
desire 2
despite 1
details 1
develop 1
dinner 1
dirty 1
disapproves 1
discovers 1
discussion 1
disrupts 1
do 1
does 1
doesnt 1
doubtful 1
down 3
dowry 1
drives 1
driving 1
drugstore 1
during 1
each 3
early 1
eck 3
economy 2
effects 1
eg 1
eight 1
eighteen 1
election 1
eleven 1
empire 1
encounters 1
ensuring 1
entirely 2
envelope 1
escape 1
esp 1
ethnographyhistory 1
eula 20
europe 1
even 1
event 1
events 1
exist 1
expand 1
expands 1
experiences 1
explain 1
explains 1
extended 1
extracted 1
fact 2
family 2
father 1
federal 1
fifteen 1
fight 1
fights 1
figure 1
finally 2
firemen 1
first 1
five 1
flem 24
follows 1
for 14
forced 1
forces 1
form 1
found 2
four 1
fourteen 1
france 1
french 1
frenchman 2
frla 1
from 8
funeral 1
furniture 1
garraway 1
gas 1
gavin 42
geographical 1
get 2
gets 2
getting 1
give 1
gives 4
giving 1
go 1
goes 3
good 3
gossiped 1
gossips 1
gowan 2
graduates 1
grandfather 1
grave 1
great 1
grover 2
had 1
hait 4
halfapache 1
handling 1
has 3
hates 1
have 2
he 17
heidelberg 1
her 10
here 1
hermaphroditic 1
herself 1
het 1
hide 1
hierarchy 1
him 5
himself 3
his 17
holiday 1
home 2
