868002
/m/03j_1g
/m/03j_1g
John Grisham
2002
{"/m/02n4kr": "Mystery", "/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 9
about 3
after 1
and 6
anyone 1
as 1
assuming 1
at 2
atlee 3
because 1
being 1
books 1
both 1
brother 1
but 1
career 1
casinos 1
character 1
clanton 1
compound 1
confronts 1
contact 1
convocazione 1
could 1
county 1
dead 1
decides 1
deder 1
dirty 1
discovers 2
discuss 1
do 1
does 1
dollars 1
drug 1
else 1
end 1
estate 3
eventually 1
father 4
fictional 1
finds 2
followed 1
for 1
ford 1
forrest 4
go 1
good 1
grisham 1
has 3
have 1
he 7
him 2
his 6
house 2
identity 1
if 1
immediately 1
in 6
including 1
into 1
investigations 1
is 6
issues 1
it 4
itla 1
john 1
judge 2
kill 1
known 1
knows 3
later 1
law 1
lawyershe 1
made 2
main 1
making 1
man 1
many 1
meetings 1
million 1
mississippi 2
money 8
most 1
much 1
not 3
of 9
officially 1
old 1
one 1
only 1
other 1
otherwise 1
over 1
own 1
part 4
plwezwanie 1
possibly 1
powie 1
professor 1
prominent 1
proves 1
ray 8
reality 1
regarding 1
rehab 1
reuben 1
richter 1
roman 1
roots 1
salary 1
sent 1
setting 1
shadowincluding 1
shady 1
so 1
someone 1
southern 1
study 1
sum 1
take 2
taxes 1
tell 1
telling 1
that 4
the 18
thinks 1
this 1
three 1
time 1
to 9
trips 1
two 1
university 1
v 1
virginia 1
when 1
which 1
who 1
will 3
with 3
without 1
would 1
year 1
