21156477
/m/05c2v8_
/m/05c2v8_
Brandon Sanderson

a 14
about 1
abstractly 1
activate 1
activating 1
after 4
age 1
alcatraz 13
alexandria 1
all 1
alone 1
along 1
also 1
and 11
another 1
are 1
arrives 1
as 1
ask 1
at 3
attica 1
australia 1
awkward 1
back 1
bastille 4
because 3
before 1
bind 1
biting 1
blessing 1
bones 1
bonesa 1
book 2
both 1
breaking 1
breaks 1
broke 1
but 1
by 4
can 1
caught 1
checking 1
claiming 1
consisting 1
continue 1
continues 1
cost 1
cousin 1
crying 1
curator 1
curators 4
curse 1
dad 1
dark 1
defeat 1
discussion 1
does 1
draulin 1
encloses 1
escape 1
escapes 1
fall 1
father 1
fight 1
find 1
finds 5
first 2
follow 1
for 1
forgotten 1
friends 1
from 2
getting 1
goes 1
goo 1
grandpa 2
group 1
hardened 1
has 1
he 10
her 2
him 5
his 10
immediately 1
in 6
indeed 1
informs 1
into 3
is 6
it 2
kazan 3
knowledge 1
languages 1
later 1
learns 1
lengthy 1
lenses 2
library 4
long 1
lost 2
more 1
mother 1
net 1
not 1
note 3
novel 1
oculators 1
of 11
often 1
once 1
one 1
out 1
over 1
pestered 1
pit 1
point 1
proceed 1
rescue 1
responsibility 1
rest 1
revealed 1
ropes 1
sanderson 1
scrivener 2
second 1
sect 1
separated 1
series 2
smedry 2
sold 1
soon 1
soul 4
speak 1
stealing 1
suit 1
take 2
talent 4
than 1
that 3
the 25
them 3
then 1
they 5
third 1
three 1
through 2
time 1
to 6
tomb 3
translator 1
travel 1
travelling 1
tricking 1
tries 1
trip 2
turn 1
turned 1
uncle 1
understand 1
using 1
utilizing 1
venture 1
versus 1
was 2
way 2
which 3
who 2
wielder 1
windstormer 1
wire 2
with 1
world 1
written 1
yet 1
