26577166
/m/0bhbg1m
/m/0bhbg1m
John Ulrich Giesy

{"/m/06n90": "Science Fiction"}
after 1
again 1
along 1
and 4
are 1
astral 1
birth 1
brings 2
by 1
challenges 1
child 1
complications 1
contact 1
croft 2
doctor 1
dr 2
earth 2
enlists 1
faces 1
final 1
george 1
good 1
he 1
help 1
her 1
his 1
in 1
into 1
is 1
jason 4
kidnapped 1
knowledge 1
more 1
mother 1
murray 2
naia 1
novel 1
of 1
on 1
once 2
overcome 1
palos 1
pregnancy 1
projection 1
series 1
suffering 1
technology 1
the 7
third 1
this 1
time 1
to 3
uses 1
via 1
with 2
zollarians 1
