32830636
/m/0h3x574
/m/0h3x574
A. Merritt
1924
{"/m/01hmnh": "Fantasy"}
136 1
186 1
6000 1
a 9
abstract 1
adventure 1
adventures 1
alusar 1
an 5
ancient 1
and 16
any 1
archaeologist 1
arrival 1
artifact 1
as 2
assistant 2
at 4
author 1
babylonian 1
back 1
bainbridge 1
barrier 1
be 2
become 1
becomes 1
been 2
between 3
book 1
both 1
builds 1
but 2
by 1
can 2
casts 1
concepts 1
connection 2
contains 1
convey 1
cosmic 2
cross 1
deck 1
deities 3
destabilizes 1
detailed 1
device 1
discovers 1
dizzy 1
end 1
enemy 1
ensue 1
especially 1
eternal 1
everyday 1
evocative 1
explained 1
exploration 1
fade 1
fall 1
falls 1
fantastic 1
fantasy 3
fate 1
fell 1
female 1
fiction 1
for 1
forces 1
freezing 1
from 1
frozen 3
fullsized 1
gain 1
had 1
has 1
he 2
head 2
her 1
hero 1
his 4
home 1
hostile 1
humans 1
images 1
imbalance 1
imprisoned 1
in 11
incredibly 1
inhabited 1
instability 1
intense 1
intervene 1
invisible 1
involvement 1
is 5
ishtar 3
it 2
its 1
kenton 7
kept 1
klaneth 2
language 1
letting 1
literature 1
love 3
making 1
male 1
marvelous 1
material 1
may 1
midline 1
midst 1
minions 2
model 1
moment 1
mortal 1
mundane 1
must 1
mysterious 2
nergal 3
new 1
none 1
not 1
novel 1
of 15
one 1
only 1
onto 1
opposed 1
other 1
periodically 1
philosophical 1
placed 1
position 1
possessed 1
priest 2
priestess 2
psychic 1
reader 3
reality 3
reason 1
receives 1
relationship 1
rendering 1
representatives 1
represented 1
represents 1
result 1
rousing 1
sailing 1
science 1
sea 1
sense 1
separate 1
sharane 2
ship 8
sims 1
situation 1
so 1
spell 1
stability 1
story 1
struggle 2
study 1
tension 1
tenuous 1
that 4
the 35
their 1
them 2
they 1
this 1
through 2
tie 1
time 2
to 9
two 1
understand 1
universe 1
unstable 1
untenable 1
unwilling 1
uses 1
vessel 1
was 1
weak 1
were 1
when 1
which 3
will 1
william 1
with 1
world 1
years 1
york 1
zarpanit 1
