2916148
/m/08cbzx
/m/08cbzx
Stephen Fry

{"/m/01z4y": "Comedy"}
a 9
aftermath 1
aging 1
all 1
also 1
amongst 1
an 1
and 13
anne 1
apparent 1
apprising 1
are 3
army 1
art 1
as 5
ascribing 1
assembled 1
at 3
attempting 1
back 2
baths 1
becomes 1
being 2
bestow 1
businessman 1
but 1
by 2
camp 1
children 1
colleague 1
colourful 1
comical 1
contains 1
country 1
course 1
credible 1
critic 1
crossed 1
daughter 1
david 2
defrocked 1
delivers 1
descended 1
diminishing 1
disastrously 1
earlier 1
edward 1
events 2
family 1
favorite 1
fired 1
for 1
form 1
friend 1
from 3
gawky 1
given 1
godchild 1
goddaughter 1
goes 1
goingson 1
gradually 1
guests 2
hall 2
happy 1
has 2
have 1
he 2
healing 2
hellraising 1
her 1
highly 1
him 1
hippo 2
hippopotamus 1
his 8
hope 1
house 2
hugely 1
in 3
indeed 1
instructed 1
intertwined 1
investigate 1
is 3
issues 1
it 2
jane 5
job 1
lady 1
lecherous 1
lennox 1
letters 1
leukaemia 1
life 2
limericks 1
logan 3
long 2
look 1
lord 1
many 1
means 1
michael 1
might 1
minister 1
modern 1
morality 1
more 1
mother 1
mysterious 1
national 1
nature 1
newspaper 1
nlthe 1
norfolk 1
numerous 1
occasionally 1
of 12
offering 1
old 1
on 2
one 1
onetime 1
opens 1
other 3
others 1
out 1
over 1
own 1
paths 1
poems 1
poet 1
poetic 1
poetry 1
powers 1
practices 1
producer 1
provide 1
rambling 1
rather 1
rebarbative 1
reduced 1
referred 1
regularly 1
reports 1
run 1
schoolfriend 1
service 1
several 1
sex 1
sexual 1
sick 1
some 1
spoof 1
stay 2
stories 1
story 4
stream 1
suffering 1
suggestion 1
swafford 2
talent 2
ted 6
tedtedward 1
teenage 1
than 1
that 4
the 19
theatre 1
them 1
they 1
through 1
time 1
title 1
to 10
topics 1
tv 1
tycoon 1
uncover 1
uncovers 1
unspecified 1
unusual 2
upon 2
views 1
wallace 1
wallowing 1
well 1
which 1
whilst 1
wife 2
with 3
witty 1
woman 1
women 1
working 1
years 1
