28688869
/m/0cz9d6z
/m/0cz9d6z
Leonard Mlodinow
2010-09-07
{"/m/01p4b_": "Popular science"}
a 3
about 1
advocated 1
also 1
an 2
and 4
anthropic 1
appear 1
apply 1
are 2
around 1
as 5
author 1
authors 2
be 1
been 1
book 3
but 1
by 5
center 1
central 1
chance 1
claim 1
claimed 1
concept 1
concludes 1
consistent 1
copernicus 1
could 1
course 1
describe 1
described 1
earth 2
easy 1
electron 1
examines 1
example 1
exist 1
explain 2
for 1
formed 1
forms 2
galaxies 1
galaxy 1
gods 1
greeks 1
has 1
have 1
hawking 1
help 1
history 1
how 1
huge 1
impenetrable 1
in 5
ionian 1
is 5
it 2
itself 1
knowledge 1
later 1
laws 2
life 2
located 2
manner 1
many 1
may 2
mechanics 2
milky 1
mlodinow 1
movement 1
mtheory 1
multiple 1
multiverse 1
nature 2
nicolaus 1
not 2
nothing 1
number 1
of 18
one 4
only 3
or 1
others 1
our 4
out 1
planets 1
presentation 1
presents 1
principle 1
probable 1
pure 1
quantum 2
relativity 1
required 1
reviewers 1
room 1
same 1
scientific 1
see 1
several 1
solar 1
some 3
sometimes 1
starts 1
statement 1
support 1
system 1
that 7
the 27
then 1
theory 3
those 1
to 3
together 1
understand 2
universe 4
universes 6
us 1
using 1
way 1
we 1
who 2
will 1
with 3
work 1
works 1
writes 1
