21721593
/m/05mscnl
/m/05mscnl
Bruce Marshall
1945
{"/m/05hgj": "Novel"}
108 1
142 1
a 7
activities 1
actress 1
adults 1
affections 1
against 1
all 1
also 1
an 1
ancient 1
and 4
annie 1
as 1
author 1
beings 1
bishop 1
bonnyboat 1
bringing 1
burning 1
by 1
childhood 1
children 1
city 1
clerics 1
come 1
conscious 1
convert 1
covers 1
death 1
devils 1
drab 1
drives 1
dust 1
edmund 1
exiled 1
father 5
fictional 1
flesh 1
framework 1
french 1
friends 1
from 4
gentle 1
glowing 1
god 3
grace 2
hangs 1
he 1
her 1
his 3
human 1
humility 1
husband 1
in 4
industrial 1
indwelling 1
innocent 1
interacts 1
into 1
ippecacuanha 1
is 2
it 2
jacket 1
lady 1
life 4
liturgical 1
lives 2
living 1
love 1
lures 1
man 1
monsignor 1
murder 1
nuns 1
oduffy 1
of 20
on 1
orbit 1
other 1
parish 2
particular 1
people 2
priest 3
range 1
respectives 1
sanctity 1
scholar 1
scottish 2
seduced 1
simple 2
sins 1
slut 1
smith 3
smiths 1
spiritual 1
story 2
tapestry 1
that 1
the 20
their 2
this 3
thomas 1
to 4
town 1
tracks 1
trinity 1
tweedy 1
two 1
until 1
urban 1
violent 1
wages 1
war 1
weak 1
who 3
wide 1
with 1
world 1
youths 1
