14583711
/m/03d8n2t
/m/03d8n2t
Henrik Ibsen


a 4
aims 1
all 1
among 1
and 5
around 1
as 1
at 2
be 1
bring 1
complexity 1
corruption 1
culminating 1
different 1
earlier 1
elected 1
election 1
eliminate 1
end 1
fail 1
features 1
for 1
gathers 1
group 1
guard 1
has 1
he 3
him 2
himself 1
his 2
ibsen 1
idealist 1
immerses 1
in 3
intrigue 1
is 1
league 2
marry 1
new 2
of 4
old 1
one 1
out 1
party 1
planned 1
plans 1
play 2
political 2
poses 1
power 1
pretenders 1
protagonist 1
reject 1
run 1
scheming 1
sexual 1
social 1
stensgaard 1
such 1
tack 1
taking 1
than 1
that 1
the 7
time 1
to 4
town 1
who 1
whom 1
women 1
young 1
youth 2
