2869023
/m/087zk8
/m/087zk8
Lu Xun


a 4
about 1
according 1
afraid 1
after 1
allegedly 1
although 1
and 4
antitraditional 1
any 1
apparent 1
are 4
as 7
be 2
been 2
began 1
between 1
big 1
books 1
bound 1
brother 3
by 3
cannibalistic 2
cannibalized 1
characters 1
children 1
chinese 3
classical 1
classics 1
concern 2
context 1
convinced 1
copy 1
could 1
crowding 1
culture 1
cured 1
delusive 1
depicted 1
despite 1
diary 2
died 1
doctor 1
eat 1
eaten 1
end 1
ends 1
entries 1
especially 1
everyone 1
extensively 1
famous 1
fear 1
fears 1
figuratively 1
five 2
flesh 1
foreword 1
four 1
generation 1
genuine 2
gripped 1
had 1
harboring 1
has 1
have 1
he 3
heartless 1
her 1
him 3
his 10
history 1
however 1
implies 1
in 6
including 1
insanity 1
is 6
it 1
late 2
line 1
lines 1
literally 1
lu 1
madman 3
maneaters 1
might 1
narrator 4
neighbors 1
never 1
now 1
of 6
on 1
other 1
outlined 1
paranoia 1
people 2
portrayed 1
potential 1
proven 1
read 1
regards 1
save 1
see 1
seeing 1
sense 1
she 1
sister 2
still 1
story 3
stranger 1
studying 1
supposed 1
tasted 1
texts 1
that 4
the 25
then 1
they 1
this 2
thoughts 1
threat 1
to 5
towards 1
tradition 1
turns 1
unwittingly 1
up 1
venerable 1
vernacular 1
village 1
was 1
watch 1
when 1
who 3
will 1
with 1
words 1
writer 1
written 2
xun 1
yet 1
younger 1
