3603773
/m/09pb9s
/m/09pb9s
Ray Garton
2000-01
a 3
also 1
an 1
ancient 1
and 7
angel 1
are 2
arrival 1
as 2
at 2
become 1
been 1
between 1
bones 1
book 1
buffy 3
called 2
chaotic 1
characters 1
close 1
coincide 1
control 1
cordelia 2
dead 1
demon 1
demons 1
dislike 1
does 1
each 1
end 1
ends 1
ethan 2
exam 1
friends 1
giles 3
group 2
hand 1
have 3
he 1
help 1
high 2
hindu 1
horrible 1
in 4
include 1
indicates 1
is 2
it 1
joyce 1
kills 1
knows 1
large 1
meanwhile 1
midterm 1
more 2
murderer 1
murders 2
occurring 1
of 6
on 1
one 1
other 3
over 1
oz 1
page 1
particularly 1
pile 1
rakshasa 2
ravana 1
rayne 2
research 1
resurrection 1
rising 1
school 1
seem 2
some 2
something 1
sort 2
spots 1
sunnydale 2
tensions 1
that 2
the 10
their 1
then 1
throughout 1
time 1
to 3
towards 1
town 2
two 1
unspoken 1
up 2
usual 1
victims 1
violent 1
web 1
when 1
which 1
who 2
wicked 1
willow 3
with 2
wwwshrewcom 1
xander 1
