1365414
/m/04x05b
/m/04x05b
Alfred Bertram Guthrie, Jr.
1947
{"/m/025txgl": "Western fiction"}
a 21
able 2
about 1
abusive 1
admit 1
admits 1
after 6
again 2
all 1
almost 1
also 2
always 1
american 1
americas 1
and 35
another 2
any 1
anything 1
anyway 1
are 2
area 1
arrive 1
arrived 1
arrives 1
as 13
asks 1
at 2
attack 1
attacks 1
avoid 1
away 2
back 9
banks 1
be 2
beat 1
becomes 1
becoming 1
bedwell 4
been 4
before 1
begins 1
believe 1
believes 1
believing 1
blackfeet 2
blackfoot 2
blind 1
blurts 1
boat 2
book 1
boone 40
born 1
boys 1
breaks 1
bring 2
brother 2
but 2
by 3
caboodle 1
cannot 1
captain 2
cart 1
caudill 5
caused 1
cheated 1
chicken 1
chief 2
child 1
childhood 1
city 1
civilization 1
closest 1
completely 1
confession 1
confusion 1
continues 2
convince 1
country 1
court 1
credited 1
crew 1
crushed 1
curious 1
damaged 1
daniel 1
daughter 1
dead 1
deakins 9
dealing 1
death 1
decides 3
depending 1
despite 1
destroy 1
destruction 1
dick 5
did 1
didnt 1
disappears 1
dog 1
done 1
dont 1
door 1
drinking 1
drunk 1
drunker 1
east 1
either 1
ends 1
escape 1
even 2
eventually 2
everyone 3
except 1
explosive 1
eye 9
falling 1
family 2
farm 2
father 8
feeling 1
few 1
finally 1
find 1
finding 1
first 1
fit 1
flee 1
fleeing 1
flees 2
flogs 1
for 10
forbidden 1
found 1
free 1
french 1
frequently 1
friend 1
friends 1
from 4
fur 1
further 3
get 4
gets 3
getting 4
gift 1
gifts 1
girl 2
given 1
go 1
goes 1
going 1
goingson 1
good 1
goods 1
gotten 1
guide 1
guthrie 1
had 6
hair 1
hand 1
hardships 1
has 6
have 4
he 26
head 1
heads 1
help 1
her 5
here 1
him 11
his 20
hits 1
hopes 1
horror 1
horse 1
house 1
however 3
hunter 1
i 2
idea 1
idolized 1
if 1
in 15
injured 1
inn 1
instantly 1
intent 2
into 3
involves 1
is 15
it 5
jail 2
jim 10
join 1
jonathan 1
joy 1
jumps 1
just 1
keelboat 2
keep 1
kentucky 4
keys 1
kill 2
killed 2
kilt 1
knowing 1
known 1
land 1
language 1
large 1
leave 1
leaves 1
let 1
life 4
like 1
live 1
lives 1
locals 1
looks 1
louis 1
love 1
loves 1
man 4
manage 1
manages 1
married 1
mate 1
maternal 1
meanwhile 1
meet 1
meets 2
merely 1
missouri 3
model 1
money 1
more 3
mores 1
mother 4
mountain 2
mountains 1
moves 1
mule 2
named 3
native 1
nearby 2
neighbor 1
next 1
night 4
not 1
notes 1
novel 1
now 2
numbers 1
obsessed 1
of 13
off 1
offers 1
on 6
one 4
only 1
onto 1
or 1
out 4
outside 1
over 1
particular 1
parting 1
path 1
peacefully 1
people 1
physically 1
pile 1
place 1
point 1
portion 1
possibly 1
pregnant 1
pretends 1
princess 1
pristine 1
prize 1
proceeds 1
progressively 1
pushing 1
quick 1
quite 1
rapes 1
rather 1
reach 1
realize 1
reckon 1
recruited 1
red 2
refers 1
refuses 1
relations 1
remembers 1
repeated 1
return 1
rifle 5
right 1
rights 1
river 3
roast 1
role 1
running 1
runs 1
same 2
saw 1
seduces 1
sees 1
sell 1
sentenced 1
seriously 1
sets 3
settled 1
she 1
sheriff 4
shouts 1
sign 1
since 1
smallpox 1
sneaks 1
so 1
sobbing 1
some 1
something 1
soon 1
sophisticated 1
spend 2
spiled 1
st 1
steals 4
stick 1
stops 1
story 1
strictly 1
summers 5
supper 1
supposedly 1
taken 1
takes 1
talk 1
teal 9
tell 1
temper 1
than 2
that 12
the 57
their 2
them 3
theme 1
then 1
there 2
they 9
theyll 1
thinking 1
this 2
though 1
thought 1
three 1
throughout 1
time 2
tires 1
to 38
tolerate 1
town 3
trapper 1
travel 3
traveler 1
traveling 2
trial 1
tribe 1
trilogy 1
trotting 1
trouble 2
uncivilized 1
uncle 2
until 1
up 4
uses 1
view 1
wagon 1
wait 1
walks 1
want 1
wanted 1
was 2
were 1
west 4
when 4
where 1
while 1
whites 1
who 8
whole 1
whose 1
will 1
with 11
within 1
without 1
wood 1
wrong 1
young 2
