1618152
/m/05h26x
/m/05h26x
Ian Caldwell
2004
{"/m/05hgj": "Novel"}
1 1
14 1
500yearold 1
a 46
about 1
academic 1
acts 1
address 2
advisor 1
advisors 1
after 2
against 2
all 1
allegedly 1
allegorical 1
already 1
also 3
an 5
analyst 1
ancient 2
and 41
anonymous 1
another 1
anything 1
application 1
architecture 1
ardent 1
are 3
around 1
art 3
arts 1
as 15
ashes 1
assume 1
at 2
authentic 1
author 3
avoided 1
away 2
back 1
banking 1
be 4
beautifully 1
become 1
before 1
being 2
belladona 1
benefactor 1
between 6
bill 1
bizarrely 1
blasphemy 1
bonfire 2
book 12
books 3
boon 1
both 6
botticelli 1
breaks 1
breakthrough 1
brilliant 1
building 1
burden 1
burning 1
burnt 1
but 3
by 11
campus 1
can 1
canvas 1
career 1
carry 1
causing 1
centuries 1
chain 1
characters 1
charlie 3
charts 1
children 1
city 1
claim 1
close 2
clothes 1
club 2
clue 1
clues 1
coast 1
code 1
codes 1
colonna 6
columns 2
complex 1
concerning 1
confronted 1
conspiring 1
contain 1
contained 1
containing 1
contains 2
contemporary 1
contents 1
corelli 1
could 1
credit 1
critique 1
cry 1
curry 6
dark 1
dating 1
day 2
days 1
death 2
decode 2
decorated 1
dedicated 1
demise 1
despite 1
developed 1
diary 2
died 1
disappointed 1
disciplines 1
discord 1
discovered 1
discovers 1
disguises 1
distanced 1
distracted 1
do 1
document 1
does 1
dogmas 1
down 1
drawn 1
dream 1
drew 1
duo 2
during 1
dying 1
each 2
east 1
easter 1
eating 1
efforts 1
elements 1
elusive 1
enabled 1
encoded 1
encyphered 1
end 2
ends 1
engaged 1
entire 2
even 1
event 1
exact 1
expected 1
explains 1
extremely 1
fail 1
family 1
fan 1
fascinated 1
father 7
fiery 1
final 1
finds 1
fire 3
firemen 1
five 1
flashback 1
florence 4
followers 1
following 1
for 7
forget 1
found 3
four 7
francesco 5
freeman 1
freethinking 1
frequently 1
friend 3
friends 2
from 7
getting 1
gil 5
girlfriend 1
girolamo 2
god 1
goes 1
gotten 1
gradually 1
graduation 1
grasps 1
greek 1
growing 1
had 2
hanged 1
happening 1
harris 2
has 5
have 1
he 15
head 1
heir 1
help 1
her 2
hidden 2
him 2
himself 3
his 20
history 1
how 1
however 1
human 1
humanism 1
humanist 1
hypnerotomachia 9
hypnerotomachias 2
identity 1
immense 1
in 15
incunabulum 1
infamous 1
inferno 1
innocent 1
interspersed 1
into 1
involves 1
is 14
it 7
italian 1
italy 3
its 3
itself 1
ivy 1
jumps 1
katie 2
knowledge 3
languages 2
large 1
later 4
leading 1
leaving 1
left 1
letter 4
life 1
literature 2
long 1
lost 1
love 2
luck 1
madeup 1
mail 1
manage 1
managed 1
marchand 1
married 1
material 1
meant 1
men 2
message 2
met 1
method 1
modified 1
more 1
mother 1
moves 1
much 2
multiple 1
murdered 1
must 2
mysterious 3
mystery 3
narrator 1
negative 1
neologisms 1
next 1
no 1
not 2
novel 2
now 1
number 2
obsession 2
occasion 1
occurred 1
of 43
often 1
on 7
one 6
only 2
onto 1
opposite 1
or 1
other 2
out 4
own 3
packing 1
parent 1
pass 1
passion 1
paul 15
people 1
persuasion 1
phone 1
piece 2
pieces 1
placement 1
point 1
polia 1
poliphili 6
poliphilo 2
popularity 1
portions 1
power 1
practice 2
preserve 1
president 1
prevent 1
priest 1
princeton 3
professor 1
project 1
protest 1
prove 2
published 1
pull 1
quest 1
raging 1
rare 1
ready 1
real 1
realises 1
realizes 1
receives 1
reconnecting 1
referring 1
reign 1
relationship 1
religious 1
renaissance 6
repeating 1
rescued 1
research 1
rest 1
result 1
return 1
returns 1
revealing 1
revolves 1
richard 3
riddles 1
rift 1
right 1
rival 1
rivalry 1
roman 1
romantic 1
roommate 2
roommates 2
rows 2
rule 2
save 1
savonarola 4
saw 1
says 1
scholar 1
science 1
seal 1
sealed 1
secret 2
see 1
seemed 1
seemingly 1
seniors 1
series 1
set 1
several 1
sign 1
slowly 1
so 1
software 1
solution 1
solve 3
solved 1
solving 2
some 1
son 1
soon 3
sparked 1
spelled 1
spent 1
stand 2
started 2
starting 1
starts 1
steal 1
stein 1
still 1
stole 1
story 3
strange 1
struggle 2
struggles 1
students 1
studying 1
subsequently 1
sullivan 1
supporting 1
supposed 1
syntax 1
taft 6
team 1
telling 1
ten 1
text 2
texts 1
that 16
the 73
them 2
then 4
there 1
these 1
thesis 4
they 2
this 4
thomas 1
through 1
throughout 2
times 1
to 35
together 3
tom 18
tough 1
towards 2
traumatised 1
treasures 1
trying 2
tube 2
turning 1
turns 1
two 5
undergraduate 2
underground 1
unknown 1
unravel 1
unstable 1
up 2
uplift 1
upon 1
urging 1
use 1
vanities 1
vault 2
venice 1
very 2
vincent 3
walked 1
wants 1
was 6
wealthy 2
weekend 1
well 2
were 2
when 1
which 4
who 4
will 1
window 1
with 9
within 1
woman 1
words 1
work 2
worshipping 1
would 1
writing 1
written 2
wrote 2
years 2
young 1
