12323388
/m/02v_82z
/m/02v_82z
Upton Sinclair, Jr.
1943
{"/m/03g3w": "History"}
a 4
after 1
and 5
arrested 1
at 2
attempt 1
barcelona 1
been 2
berlin 1
breaks 2
budd 1
by 1
captivity 1
captured 1
cause 1
civil 1
climax 1
competition 1
dangerous 1
dead 2
down 1
end 1
england 1
english 1
enlists 1
for 1
friend 1
from 1
games 1
germany 1
gestapo 1
gets 1
had 1
has 1
he 2
hears 1
help 1
her 2
him 1
home 1
husband 1
imposes 1
in 6
interested 1
into 1
irma 1
is 3
lanny 5
later 1
marriage 1
marry 1
meanwhile 1
months 1
named 1
nationalists 1
novel 2
of 3
olympics 1
on 1
out 2
persuades 1
prison 1
republican 1
revolutionary 1
rick 1
rudy 3
sance 1
secretly 1
send 1
smuggle 1
socialist 1
son 3
spain 1
spanish 1
spring 1
system 1
that 2
the 11
they 1
this 1
to 5
trudy 2
undertakes 1
vanished 1
war 1
when 1
