2522700
/m/07kr45
/m/07kr45
Dean Koontz
2004
10 2
1046 1
2 1
20 1
3for 1
8 2
a 26
about 4
accidentallygelded 1
accounts 1
acquaintance 1
acrobatic 1
after 1
agrees 1
aided 1
ailment 1
all 1
almost 1
also 1
an 3
and 27
anger 1
annie 1
another 1
are 5
arms 1
artist 1
as 8
asked 1
asks 1
assassins 1
assume 1
at 5
attend 1
autobiography 1
baby 1
back 1
baker 1
bank 1
be 7
beautiful 1
beezo 7
beezoin 1
beezos 1
before 1
begins 1
believes 2
birth 2
bizarre 1
blundering 1
book 1
born 5
both 4
bottom 1
boy 1
buff 1
but 2
by 8
called 1
carry 1
casts 1
cause 1
certain 1
chain 1
chapters 1
chef 2
chicken 1
child 2
childbirth 2
circus 2
clan 1
cliffhanger 1
clown 4
clowning 1
clowns 1
coherent 1
collect 1
coloradoand 1
colorful 1
come 1
comely 1
comically 1
comparison 1
complete 1
connected 1
conviction 1
convinces 1
corrected 1
costume 1
county 1
crazed 1
creepy 1
crippled 1
cryptic 1
currently 1
dangerous 1
date 1
dateand 1
daughter 1
day 3
days 1
deal 1
death 2
degrees 1
deliver 1
desires 1
died 1
dies 1
digits 1
disowned 1
disturbed 1
do 1
doctor 1
does 1
donate 1
donation 1
drops 1
due 1
dutifully 1
each 2
earlier 2
enchanted 1
enemies 1
ensuing 1
epithets 1
escape 1
eve 1
even 1
evening 1
event 1
events 1
everyone 1
exact 1
experience 1
experiences 1
expires 1
face 1
facial 1
falling 1
family 3
father 1
fatherhowever 1
fatherinlaw 2
favor 1
favors 1
fearsome 1
fellow 2
fifth 1
final 1
fine 2
first 2
fitful 1
five 2
for 8
forget 1
former 1
foundation 1
four 1
frames 1
free 1
friend 1
frivolous 1
from 2
fulfilled 1
fusing 1
game 1
given 2
glowingly 1
goes 1
good 1
gradually 1
grandfather 2
grandson 1
grasp 1
grateful 1
grief 1
half 1
harrowing 1
has 1
have 2
he 9
help 1
her 4
heroism 1
him 4
himself 1
himselfas 1
his 30
history 1
hold 1
hope 1
hospital 1
hostage 1
hostageis 1
however 1
icy 1
identities 1
ill 1
impart 1
imprisoned 2
in 16
inches 2
including 1
individual 1
inexorably 1
insane 1
into 1
is 16
it 1
james 1
jimmy 10
josef 4
just 1
kidney 1
kidneys 1
kill 1
killing 1
kills 1
konrad 4
labors 1
last 2
late 1
law 1
lb 1
learning 1
learns 1
leave 1
leaves 1
led 1
left 1
life 6
lives 1
long 3
looking 1
loose 1
lorrie 3
lorriethe 1
lumbering 1
lunatic 1
lying 1
mad 2
made 1
male 1
man 2
manner 1
many 2
mapped 1
marrying 1
may 1
meaning 1
meanings 1
meek 2
minor 1
miraculously 1
moment 2
momentarily 1
moments 1
most 1
multiple 1
must 1
named 1
names 1
narrative 1
natalie 3
never 2
new 2
next 1
night 2
none 2
not 2
notes 1
noticeably 1
numerous 1
nurse 1
obsession 1
of 27
officer 1
often 2
on 11
one 6
only 2
or 1
other 2
others 2
ounces 1
out 2
over 1
oz 1
pass 2
pastry 2
patriarch 1
perhaps 1
personal 1
phenomenon 1
philosophy 1
picked 1
plastiquewielding 1
pm 1
police 1
pounds 1
precious 1
predicted 4
predictions 1
predicts 1
prepare 1
prepares 1
prize 1
problem 1
prophecies 1
punchinello 6
quells 1
raise 1
ranting 1
realizes 1
reconstructive 1
recover 1
recovers 1
red 1
reflect 1
reflects 1
relatives 1
reminisces 1
renown 1
retribution 1
return 1
revelations 1
right 1
road 1
robbery 1
rudy 4
sadistic 1
save 1
says 1
second 2
selfdeprecating 1
sending 1
sentencing 1
separation4punchinello 1
series 1
severely 1
shadow 1
shake 1
shooting 1
shortlived 1
six 1
smoking 1
snow 1
so 1
some 2
son 5
soontobeborn 1
speaks 2
speech 1
spiteful 1
stalker 1
stand 1
starkly 1
still 1
stormy 1
strange 1
stroke 2
surgeries 1
surgery 1
surreal 1
survives 1
swaddled 1
syndactyly 2
syndactylyas 1
tapes 1
ten 1
tenebrously 1
terrible 4
than 2
that 5
the 46
their 1
them 1
they 1
things 1
thirdhand 1
thirtyyearold 1
this 2
those 1
though 3
ticket 1
to 21
tock 12
tocks 2
toes 1
too 1
tradition 2
transcribing 1
trapeze 1
trepidation 1
trio 1
true 1
twenty 1
understated 1
up 1
upon 1
using 1
vain 1
venomously 1
very 1
virgilio 2
virtually 1
vivacemente 2
was 3
week 1
weigh 1
well 1
were 1
what 1
whatever 1
when 1
which 2
who 4
why 1
wife 2
will 2
with 5
words 1
world 1
worldfamous 1
would 1
writes 1
writing 1
yet 2
you 1
