2628471
/m/07stzn
/m/07stzn
Patrick Marber


10000 2
3000 1
4000 2
a 16
about 1
absence 1
accept 1
act 2
addict 1
addicted 1
addiction 1
after 1
again 7
ago 1
all 2
alone 1
although 1
amount 2
and 22
apparent 1
appears 1
are 2
argue 2
argument 1
as 2
ash 21
asks 4
at 5
attempting 1
audience 1
available 1
away 1
basement 1
be 1
become 1
becomes 1
beginner 2
being 1
believes 2
believing 1
best 1
bets 2
both 1
box 1
but 2
buy 1
by 1
carl 9
cash 1
check 1
circumstances 1
claimed 1
closing 1
coffee 1
coin 5
comes 1
convert 1
convince 1
convinced 1
convinces 1
convincing 1
cook 1
correct 1
cover 1
currently 1
daughter 1
dawns 1
debts 1
decide 1
doesnt 2
down 1
drunk 1
dump 1
each 2
employees 1
employs 1
end 1
ends 1
even 1
eventually 1
every 3
far 1
father 2
fetch 1
finally 1
finds 1
first 2
following 1
for 1
former 2
four 2
frankie 3
from 3
gambler 1
gamblers 2
gambling 3
game 6
get 3
getting 1
gives 1
goes 2
going 1
got 1
group 1
had 1
half 1
has 11
have 1
having 2
he 21
head 1
heads 1
heated 1
hidden 1
highly 1
his 10
hoping 1
i 1
if 1
in 11
inclusion 1
interrogation 1
into 1
is 15
it 5
join 1
just 2
kept 1
knows 1
landed 1
las 1
learn 1
leaves 1
left 5
like 1
likely 1
looks 1
losing 2
lost 2
luck 1
lying 1
men 2
mentioned 1
mentor 1
mile 1
money 8
more 2
morning 1
most 1
much 1
mugsy 7
never 1
night 2
no 1
nothing 1
now 1
of 13
offers 1
on 4
once 2
only 2
open 1
or 1
other 2
out 2
over 2
owes 3
own 1
owns 1
pay 1
peak 1
permission 1
plans 1
play 5
player 2
players 1
playing 1
plays 1
poker 7
pounds 2
previous 1
problems 1
professional 1
public 1
puts 1
real 1
really 1
refuses 3
removed 1
removes 1
restaurant 4
result 1
return 1
reveal 1
rises 1
room 1
round 1
said 1
saved 1
says 1
schoolteacher 2
seat 1
second 2
see 1
seen 1
sends 1
several 1
severe 1
shakes 1
should 1
side 1
slowly 1
small 2
some 1
son 2
soon 1
spends 1
staff 2
start 1
starts 1
stated 1
states 1
stay 1
stephen 21
still 1
story 1
sunday 2
sweeney 3
tails 1
tension 1
than 1
that 6
the 44
their 1
them 2
third 1
this 1
though 1
thought 1
thousand 2
time 1
to 29
toilet 1
tony 2
toss 2
tosses 1
truly 1
trust 1
turn 2
two 1
under 1
until 3
up 3
vegas 1
very 1
waiter 1
waiters 1
walk 1
want 1
was 2
we 1
weeks 1
what 1
when 1
which 5
while 1
who 4
will 1
wins 1
with 3
without 1
won 1
would 1
you 1
