1981332
/m/06bqlk
/m/06bqlk
Ismail Kadare
1981
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 5
after 1
albania 2
albanian 1
also 1
an 3
ancient 1
and 10
answer 1
are 5
art 1
as 5
attacked 1
attempts 1
be 1
because 1
been 1
believed 1
bias 1
by 4
changes 1
civilization 1
civilizations 1
composed 1
confronted 1
considers 1
continue 1
convinced 1
despite 1
destination 1
development 1
difficulty 1
discover 1
doing 1
editor 1
entertainment 1
epic 3
epics 1
even 1
events 1
exemplified 1
favor 1
for 3
form 1
forms 1
from 1
generations 1
give 1
governor 1
greek 1
h 1
habitats 1
harvard 1
has 1
have 1
highlights 1
historical 2
history 1
homer 2
homeric 1
how 1
imitation 1
in 7
individual 1
interest 1
interpretation 1
interpretations 1
into 1
investigate 1
ireland 1
is 4
itinerant 1
itself 1
legends 1
local 1
lost 1
main 1
many 1
means 1
metaphor 1
minstrels 1
modern 1
multiple 1
nature 1
novel 2
of 12
oftencomic 1
on 1
one 1
or 2
oral 1
original 1
our 1
over 1
paranoid 1
passing 1
past 1
pastor 1
phenomenon 1
plan 1
poetry 3
popular 1
possibly 1
provincial 1
questions 1
reach 1
record 1
recorder 1
recording 1
recordings 1
regional 1
retelling 1
rural 2
same 1
samples 1
scholars 3
sends 1
serbian 2
since 1
singers 2
singing 1
some 1
song 1
sort 1
spies 2
stands 1
story 1
study 2
sung 1
suspicious 1
tape 1
technology 1
that 2
the 24
their 4
them 2
themselves 1
there 1
they 3
this 2
time 1
times 1
to 6
townspeople 1
tradition 2
travel 1
truly 1
truth 1
two 1
understanding 1
university 1
variations 1
was 1
way 1
when 1
where 1
whether 2
which 1
who 1
why 1
with 1
work 2
world 1
would 1
woven 1
writer 1
