12646012
/m/02wzd6d
/m/02wzd6d
C. J. Sansom
2004-11-05
{"/m/0lsxr": "Crime Fiction"}
1540 1
a 5
accused 1
across 1
again 1
alchemist 1
an 1
and 4
arab 1
as 1
assignment 1
at 1
augmentations 1
been 1
believing 1
brings 1
brother 1
brutally 2
busy 1
but 2
byzantines 1
case 1
centuries 1
century 1
chief 1
client 1
contact 1
court 1
cousin 1
cromwell 1
defending 1
destroyed 1
disappeared 1
discovered 1
discovers 1
discreet 1
dissolved 1
favour 1
finds 1
fire 2
follow 1
for 1
formula 2
girl 1
greek 2
has 3
he 2
her 1
him 1
himself 1
his 4
hottest 1
in 1
innocence 1
into 1
involvement 1
is 4
it 3
keep 1
king 1
legal 1
legendary 1
library 1
london 2
lost 1
maintain 1
matthew 1
minister 1
monastery 1
murder 1
murdered 1
murdering 1
must 1
navies 1
ndash 2
new 1
nothing 1
now 2
of 8
official 2
once 1
out 1
practice 1
profile 1
prove 1
recover 1
same 1
secret 1
seems 1
sent 1
shardlake 3
sixteenth 1
soon 1
substance 1
summer 1
the 14
thomas 1
time 1
to 3
trail 1
trying 2
tudor 1
very 1
when 1
which 1
while 1
with 4
young 2
