1721757
/m/05r2y6
/m/05r2y6
Mary Renault
1958
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
2 1
27yearold 1
5000 1
a 112
ability 1
about 6
accepts 2
accessible 1
accompany 1
account 1
action 2
actually 1
addition 1
addresses 1
adult 1
adultery 1
advantage 2
adversity 1
affairs 1
affronted 1
after 15
again 5
against 4
age 1
aged 1
ages 2
agility 2
agrees 3
ahead 1
aigeus 8
aiming 1
aktor 1
alektryon 2
alive 1
all 10
alliance 1
allowed 1
allowing 1
almost 2
alone 2
along 2
already 3
also 3
although 3
amazed 1
among 1
amongst 2
amusement 1
amyntor 1
an 20
ancient 1
and 178
anger 1
angrier 1
angrily 1
angry 1
anointed 1
another 4
answer 1
anticipated 1
anticipates 1
any 3
apollo 2
archer 1
are 26
argue 1
ariadne 20
arms 1
army 2
around 5
art 3
as 40
ask 2
asked 2
asks 7
asleep 1
asterion 16
at 20
athenian 3
athens 8
athletes 1
attack 1
attempt 1
attempts 1
attend 1
avenges 2
away 4
aways 1
ax 1
axe 2
back 5
balcony 1
bandit 1
banditinfested 1
bandits 2
base 1
basis 1
bathe 1
battle 2
be 21
beacon 1
beast 2
beat 2
beauty 2
because 10
becomes 10
bed 3
been 8
before 12
began 1
begin 5
beginning 1
begins 10
behavior 1
being 4
belief 1
beliefs 1
believe 4
believes 5
below 1
beneath 3
berated 1
best 2
bet 1
between 2
birth 1
bite 3
bitter 1
bleeding 2
blood 4
blow 2
boar 2
boat 1
book 3
bored 1
boy 9
boys 6
bracelet 1
break 2
breast 1
bred 1
brief 1
bring 4
bronze 1
brother 3
brought 1
build 4
bull 27
bulldance 3
bulldancer 1
bulldancers 3
bullleaper 2
bullleapers 1
bulls 1
burning 1
bursts 1
but 37
buy 1
by 37
calculated 1
call 3
called 3
calling 1
calm 1
came 1
can 10
cannot 5
capital 1
care 1
carriage 1
carry 1
carrys 1
catch 1
cattle 1
caught 1
causes 2
ceremony 1
certain 1
challenging 1
change 1
chant 1
characters 1
charge 1
charges 2
chariot 2
cheered 1
child 2
choice 1
choosing 1
chosen 1
city 1
claiming 1
cleanses 1
cleansing 1
clearly 1
climbs 1
close 1
collapse 1
collect 1
column 1
combat 1
come 5
comes 6
coming 2
commander 1
companion 1
companions 2
compensate 1
complete 1
comraderie 1
concern 1
conflicted 1
confronts 1
conquering 1
consent 1
consented 1
consents 1
consequence 1
considered 1
considers 1
constructing 1
consumed 1
contains 1
content 1
continues 1
contrast 1
control 3
conversation 1
corinth 2
corinthian 4
correctly 1
could 6
course 1
court 9
courtiers 1
covert 1
crane 1
cranes 9
cretan 9
cretans 9
crete 7
critical 1
crowd 1
crude 1
crumbles 1
curse 1
curt 1
custom 3
daedalus 2
dagger 1
dance 9
dancer 2
dancers 5
dancing 1
dangerous 1
dare 1
dares 1
daughter 1
day 11
days 2
dead 3
death 3
debris 1
decadence 1
decides 2
dedicated 3
defeat 1
delos 1
descent 1
designer 1
desires 1
despite 1
destiny 1
developed 1
dexios 2
dia 1
did 4
die 10
dies 2
diluted 1
diminish 1
diokles 1
dionysos 1
directly 1
discharge 1
discusses 1
disliked 1
dismayed 1
display 1
dissipates 1
distance 1
distracted 1
do 7
does 9
doesnt 1
door 1
dorm 1
doses 1
down 1
dreams 1
dresses 1
drinks 1
dropping 1
drowns 1
drugged 1
drunk 1
due 1
during 1
duty 1
dying 2
each 4
early 1
ears 2
earth 4
earthquake 5
earthquakes 2
easily 1
easy 1
eat 1
effects 1
efforts 1
eg 1
egyptian 1
element 1
eleusinian 5
eleusinians 2
eleusis 8
eliminate 1
else 1
emphasizes 1
end 1
engenes 1
enraged 1
ensure 1
enters 1
entire 1
escapes 1
essential 1
established 1
evading 1
even 4
event 2
events 1
eventually 1
ever 2
everyone 5
everything 1
excellent 1
excuse 1
expected 1
experience 2
explain 1
explains 3
explanation 1
faced 1
facilitate 1
fact 1
fail 1
fails 3
failure 1
fairer 1
faith 1
fall 2
fallen 1
falling 3
falls 2
far 1
fate 2
father 13
fear 1
fears 1
feast 3
feat 1
feats 1
feel 1
feeling 1
feels 7
fight 8
figures 1
finally 2
find 2
finding 2
finds 3
fire 2
first 6
fled 1
flight 1
floor 2
fly 1
focused 1
follow 2
following 1
foolhardy 1
for 45
foreign 1
foreshadows 1
form 1
formulated 1
fourteen 2
fresh 1
friend 3
from 18
front 4
frustrated 3
functionally 1
funeral 1
further 1
future 1
game 2
gathering 2
get 7
gifts 2
girl 3
girls 6
give 1
given 2
gives 2
giving 1
go 9
goal 2
goblet 1
god 13
goddess 8
goddessonearth 1
godly 1
gods 7
goes 6
going 3
gold 1
gone 2
gong 1
good 2
gotten 1
governing 1
grain 1
grandfather 7
grasp 1
great 6
greatly 1
greece 1
greek 1
greeted 1
ground 1
group 2
grove 1
grudges 1
guard 2
guardian 1
guards 3
had 6
halted 1
hand 3
handiwork 1
happen 1
harbor 1
hard 1
harm 1
harmed 1
harper 3
has 22
haunts 1
have 17
having 3
he 142
head 2
hear 1
heard 2
hears 2
heart 2
heavy 1
heir 2
helike 2
hellene 4
hellenes 2
help 6
her 35
herakles 2
here 1
high 1
higher 1
hills 6
him 58
himself 7
hints 1
his 98
hoist 1
hold 2
holds 1
holy 1
home 1
homosexual 1
honor 3
honored 1
horns 2
horrifies 1
horse 6
house 4
household 3
how 6
however 5
huge 1
hugely 1
hunts 2
husband 2
idea 1
identifies 1
identity 2
if 6
illustrative 1
imagine 1
imagines 1
immense 1
immune 1
immunity 1
impact 1
impale 1
importance 1
impressed 1
impression 1
impressionable 1
impressive 1
in 79
incident 2
incorrectly 1
indeed 1
independence 1
infest 1
ingenuity 1
innocence 1
inside 2
insists 1
instead 1
instructs 1
intelligent 1
intends 1
interpreted 1
interrupting 1
into 15
invites 1
irritation 1
is 111
island 3
isnt 1
isthmus 5
it 26
itheus 1
its 1
jars 1
javelinthrower 1
join 1
joint 1
jump 1
jumped 1
jumping 1
jumps 1
just 2
justice 1
keep 3
keeps 1
kept 3
kerkyon 11
key 1
kill 5
killed 8
killing 2
kills 3
kinder 1
king 40
kingly 2
kingship 1
kinsmen 1
knocks 1
knossos 2
know 2
known 1
knows 7
kouros 1
labrys 2
labyrinth 3
lake 1
land 3
large 3
larger 1
later 8
laughs 1
lay 1
lead 4
leader 1
leading 1
leads 3
learn 3
learned 1
learning 1
learns 5
leave 2
left 1
legends 1
leprosy 1
let 2
letting 1
lever 1
life 9
lift 1
lighter 2
like 4
lineage 1
listening 1
litter 1
little 1
live 1
lives 5
locks 1
longer 2
look 1
looking 2
looks 2
lords 1
lose 1
loud 1
love 4
lover 3
loyal 1
loyalty 2
mad 1
made 5
make 3
makes 8
male 1
man 9
many 3
marry 4
marrying 1
mask 2
matriarchical 1
may 5
maze 1
me 2
mean 1
means 2
meant 1
mechanisms 1
medea 2
meet 1
meets 1
megara 3
member 3
members 1
men 5
mentioning 1
merchants 2
message 2
might 1
minos 13
minyans 1
misses 2
model 1
modify 1
moira 1
moment 2
momentous 1
money 1
months 2
more 5
morning 2
mortal 1
most 1
mother 8
mothergoddess 1
motion 1
mountain 1
mouth 1
moving 1
much 2
must 7
my 1
naively 1
name 3
named 2
native 3
natural 1
naturalistic 1
naxos 1
near 1
nearly 2
necessary 1
need 2
needed 1
needs 1
neighboring 1
never 4
nevertheless 1
new 5
newer 1
next 8
night 8
nights 1
no 9
noble 3
nobles 2
noise 1
none 1
nonhellene 1
not 24
notes 1
novel 1
now 3
oath 3
object 1
occurs 3
odds 1
of 118
off 2
offended 1
offered 1
offerings 1
offers 1
oil 1
old 3
older 5
on 21
once 3
one 20
ones 3
only 4
onto 3
opens 2
opponents 1
opportunity 2
oppose 1
or 8
oracles 1
oration 1
order 6
original 1
orpheus 1
other 6
others 4
otherwise 2
out 13
over 6
overthrow 1
overthrowing 1
own 4
paint 2
painted 1
paints 1
palace 11
panic 1
part 1
participate 1
particular 1
party 1
pass 1
passageway 2
passed 1
passes 1
pasture 1
path 1
patriarchical 1
patron 1
patronized 1
pen 2
people 14
perceived 1
perform 1
performance 1
performer 1
perhaps 1
perimos 1
persephone 6
person 1
persuades 1
persuading 1
phaedra 1
phaia 1
philona 1
picking 1
picks 2
pins 1
pittheus 1
place 1
places 2
plan 3
plans 2
play 1
pleas 1
plucking 1
plus 1
point 4
poison 1
poisoned 2
poisoning 1
political 1
poorly 1
port 1
poseidon 15
potters 1
pottery 1
power 4
powerful 1
practice 1
praying 1
prays 1
precious 1
presides 1
press 1
pride 1
priest 4
priestess 5
priestesses 1
priestessqueen 1
priests 1
prince 1
prior 1
prize 1
procession 1
proclaims 1
promise 1
promising 1
promse 1
properly 1
prophecy 2
prophesy 1
protect 1
pry 1
purely 1
purified 1
purpose 1
pushed 1
put 1
puts 2
pylas 2
qualities 1
queen 19
question 1
quick 2
quite 1
rages 1
raider 1
raiders 1
raise 1
raised 1
raises 1
rallies 1
rather 1
reach 2
read 2
ready 2
real 1
realize 1
realizes 3
realizing 1
really 1
rears 1
reason 2
rebuffed 1
recalls 1
receives 1
receiving 1
recognise 1
recognises 1
recognizable 1
recounts 1
recovers 1
recurrent 1
reflects 1
refuses 2
reign 1
rejoice 1
relationships 1
releases 1
relies 1
relocking 1
remembers 1
repeated 1
request 1
requires 1
respect 1
respected 2
responds 1
responsible 3
restless 1
result 1
retires 1
return 2
returning 1
returns 4
reveal 1
reveals 1
revolt 2
right 1
ring 4
ripe 1
risk 1
risks 2
risky 1
rite 2
ritual 1
rituals 1
road 1
roam 1
role 1
roof 1
room 4
root 1
route 2
routes 1
ruined 1
ruler 1
rules 2
runner 1
running 1
runs 2
ruse 1
sacred 5
sacrifice 14
sacrificed 3
sacrifices 2
sacrilege 1
sad 1
saddened 1
safe 1
said 1
sail 5
sails 1
salute 1
sandals 1
save 1
saves 1
saying 2
says 10
sea 4
searches 1
seas 1
seasons 1
seasound 1
seasurge 1
secret 2
securely 1
see 4
seeing 1
seek 1
seemingly 1
seems 2
seen 1
sees 7
send 2
sending 1
sends 1
sense 4
senses 1
sent 2
separate 2
series 1
servants 1
serves 1
serving 1
set 3
seven 2
seventeen 1
several 1
sex 1
shakes 1
shall 1
shallow 1
she 27
sheboar 2
shed 1
ship 3
shipmaster 1
ships 5
shocked 2
shore 1
shorter 1
should 1
show 1
shower 1
showing 2
shows 4
shrine 2
sick 3
sign 5
silent 1
simo 2
simply 1
since 6
single 2
sister 1
sixyearold 1
sizes 1
skill 1
skills 1
skiron 1
slaps 2
slave 3
slaves 1
sleeps 4
slept 2
slips 1
slower 1
snakebites 1
snakes 1
so 12
society 3
softens 1
sojourn 1
sole 1
some 9
someone 1
something 3
sometimes 1
son 10
songs 1
sons 2
soon 6
sound 1
south 1
speak 1
speaks 1
spear 2
spears 2
special 1
speculates 1
spend 1
spirit 1
spot 2
spring 1
stabs 2
stages 1
stained 1
starting 1
state 1
statue 2
status 1
stay 2
stead 1
still 3
stone 3
stones 1
stops 1
store 1
stories 2
story 2
strange 2
strategic 1
strength 2
strikes 2
strong 1
stronger 1
style 1
success 1
such 1
suggested 1
suicide 1
summons 1
supernatural 1
support 2
supposedly 1
sure 5
surging 1
surprised 2
survival 1
survive 1
survives 1
suspect 1
swear 4
swims 1
sword 4
take 6
taken 3
takes 2
taking 1
talks 2
taught 1
teach 1
team 8
teams 2
tears 1
tell 2
tells 19
temple 5
tenyearold 1
terrace 1
than 6
that 108
the 373
their 17
them 23
theme 2
themes 1
themselves 2
then 17
there 9
therefore 2
these 1
theseus 119
they 50
theyll 1
thing 1
things 4
think 3
thinking 2
thinks 3
this 21
those 2
though 2
thought 1
thrace 1
thread 2
threads 1
threatens 1
three 6
threw 1
throne 1
through 9
throughout 1
throw 2
throws 4
thus 1
thwarted 1
tied 1
time 10
tired 1
tires 1
to 191
together 9
tokens 1
told 3
towel 1
trade 1
tradition 2
traditional 1
traditions 1
train 2
trapdoor 1
travel 1
traveling 1
treachery 1
treat 1
treated 2
treats 1
tribute 2
tried 1
tries 5
troizen 6
troops 1
true 2
truly 1
trust 1
trustworthy 1
trying 1
tumbler 1
turns 4
tussle 1
two 4
ultimate 1
unable 1
unconscious 1
underground 1
underneath 2
understand 3
undertake 1
unharmed 1
unheard 1
unknowingly 2
unknown 1
unless 1
until 1
up 14
upon 3
uprising 1
urging 1
use 1
used 4
uses 1
using 4
usually 1
value 1
vanishes 1
vantage 1
vengeance 1
venom 1
very 1
via 1
victims 1
victories 1
village 2
voice 1
voices 1
vulgar 1
wades 1
waits 3
walk 1
walks 1
walls 1
wanted 1
wanting 2
wants 4
war 2
warning 2
warns 1
was 4
wastes 1
watch 1
watching 1
water 2
way 4
we 3
weapons 2
wearing 1
weary 1
weeks 1
weight 1
welcomes 1
well 1
were 1
what 8
when 22
where 4
which 7
while 8
