272241
/m/01nz2x
/m/01nz2x
Terry Pratchett
2001
a 28
able 1
about 3
accomplice 1
adventure 2
after 5
agree 1
albino 1
all 1
also 1
amazing 1
an 2
and 32
another 1
anywhere 1
are 8
army 2
around 1
arrive 1
arrives 1
as 6
aside 1
assumes 1
at 3
attacks 1
attraction 1
avoid 1
away 3
bad 1
based 1
be 2
beans 14
becomes 1
been 4
before 2
behind 1
being 6
berwald 1
blintz 1
body 1
book 2
bootlaces 1
borrowed 1
both 1
bred 1
broken 1
buildings 1
built 1
bunnsy 2
but 4
by 5
cages 2
calls 1
can 3
cant 1
capable 1
carrying 1
cat 3
catchers 6
challenges 1
charmed 1
children 1
chose 1
civilization 1
clean 1
coach 1
collapses 1
coming 1
completely 1
comprehend 1
conscience 1
contains 1
control 1
convenient 1
could 2
coursed 1
coursing 1
created 1
dance 1
dangerous 14
daring 1
darktan 6
daughter 1
day 1
deal 1
death 4
defeated 1
den 1
despair 1
despises 1
destroy 1
dies 2
discover 1
discovers 1
dismay 1
disposal 1
do 1
done 1
drives 1
drowns 1
due 1
duel 2
ears 1
eaten 1
eating 2
educated 1
eight 1
else 1
emerge 1
emerges 1
empty 1
enter 1
escapes 1
everybody 1
example 1
exchanging 1
expensively 1
experience 1
far 1
feel 1
feels 1
felt 1
fictional 1
fighting 1
find 6
finds 1
fire 2
following 1
food 3
for 6
form 1
free 2
freedom 1
from 5
gained 2
gaining 1
ghostly 1
gives 1
go 1
group 6
groups 1
guides 1
guru 1
had 1
hamnpork 5
happy 1
has 4
have 6
he 9
head 1
her 1
hidden 1
hides 1
him 4
himself 1
his 9
house 1
how 1
human 2
humans 3
hunted 1
ideal 1
in 15
injured 1
instinct 1
intelligence 1
interested 1
into 2
is 17
it 3
job 1
jointly 1
keekees 4
keeping 1
keith 12
king 1
labels 1
lair 1
last 1
lead 1
leader 1
leadership 1
leads 2
leave 1
led 1
let 1
lets 1
like 1
little 1
live 1
lives 1
living 2
lock 1
locked 1
longer 1
look 2
looks 1
lure 1
made 1
magical 1
maintain 1
make 1
makes 1
malicia 5
many 2
marvels 1
maurice 13
mayor 1
meet 2
meets 1
mind 4
money 2
more 1
most 1
moves 1
mr 2
named 2
names 1
nearblind 1
neardeath 1
next 1
no 1
nonintelligent 1
normal 1
not 1
note 1
of 20
off 2
offensive 1
offer 1
offering 1
on 6
once 1
one 4
other 1
others 2
out 4
over 1
passing 1
paying 1
peacefully 1
peaches 5
people 2
picked 1
pipe 3
piper 9
place 2
plague 1
planning 1
play 1
poison 1
posing 1
position 1
pounce 1
power 1
powerful 1
problem 1
rat 13
ratcatchers 1
rats 27
read 1
realizing 1
receives 1
refuses 1
remaining 2
remarks 1
rescue 1
rescuing 1
resist 1
respond 1
return 2
returns 1
revealing 1
reveals 1
reverts 1
rodents 1
rounding 1
rubbish 1
ruling 1
sacred 1
safely 1
sardines 2
save 2
scared 1
scribe 1
secret 1
seeking 2
sees 1
sentient 2
set 4
sets 1
settle 1
severely 1
share 1
she 1
similar 1
simple 1
single 1
slide 1
slip 1
so 4
soon 1
spider 8
squad 1
start 1
starts 1
stays 1
still 1
stolen 1
stories 1
storing 1
story 2
strikes 1
stuffed 1
successful 1
surprised 1
tail 1
tails 1
take 1
talk 1
talking 1
tapdancing 1
teenage 1
tell 1
teller 1
tells 2
than 1
that 10
the 73
their 7
them 5
then 1
there 1
they 10
thinks 1
this 1
though 2
thought 1
thoughts 1
tied 1
time 1
tip 1
to 30
together 2
too 1
tourist 1
town 7
trade 1
trained 1
trap 2
traps 1
trick 2
trickery 1
tricks 1
tries 1
trombone 1
trying 1
tunnels 1
two 2
unethical 1
university 1
unseen 1
unwilling 1
up 3
uses 1
viciously 1
voice 2
wage 1
want 1
wants 3
war 1
was 2
waste 1
way 1
well 1
were 1
when 3
where 4
which 3
while 5
who 6
whom 1
will 2
with 3
