14768624
/m/03gxbn6
/m/03gxbn6
Caroline Lawrence
2007-02-01
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 4
about 1
accountant 1
again 1
also 1
an 1
and 8
arguing 1
aristo 3
around 1
attend 1
baker 3
bakery 2
be 1
been 1
begins 1
book 1
brother 1
but 1
can 2
christians 1
circus 1
condition 1
day 1
decide 1
detective 2
different 1
do 1
donkeys 1
doubts 1
especially 1
eventually 1
fails 1
family 1
find 1
flavia 7
follow 1
follows 3
for 1
friends 2
from 1
gathering 1
gemina 1
granary 1
has 1
he 3
her 4
his 4
household 1
however 1
if 2
in 1
inside 1
insists 1
interested 1
introduces 1
is 3
job 1
jonathan 1
just 1
leads 1
lupus 1
magic 1
make 1
maths 1
mention 1
mice 1
millstone 1
minimus 1
month 1
more 1
must 1
mystery 2
never 1
next 1
not 2
nubia 3
of 4
on 1
out 1
pistor 1
porcius 2
predawn 1
promise 1
protagonist 1
puzzle 1
races 1
read 1
realise 1
rolls 1
sator 1
says 1
school 1
secret 1
she 2
shows 3
sister 1
slave 2
slaves 1
solution 1
solve 1
son 1
split 1
square 2
stealing 2
stops 1
stories 1
story 1
such 1
suspects 1
talks 1
tell 1
temple 1
teneme 1
tertius 1
that 3
the 26
theft 1
them 3
then 1
there 2
they 3
thief 1
though 1
to 9
turn 1
tutor 1
unmask 1
up 1
wellmeaning 1
where 1
which 1
while 1
who 4
will 1
with 3
word 2
work 1
younger 1
