8958954
/m/027r87f
/m/027r87f
Caroline Lawrence
2001
a 14
abandoned 1
adopted 1
after 1
air 1
all 2
also 1
and 16
are 2
aristo 1
as 1
ash 1
ashes 1
asine 3
at 1
avail 1
be 1
been 1
begins 1
being 1
birds 1
blacksmith 1
boat 1
bracelet 1
buried 1
bury 1
but 7
by 1
call 1
calling 1
children 2
christian 2
christianity 1
cities 1
clio 3
clubfoot 1
codeword 2
confesses 1
daughter 1
desolation 1
did 1
dies 2
doctor 1
doom 1
dreams 1
drinking 1
due 1
earlier 1
else 1
erupt 1
erupts 1
events 1
eventually 1
everyone 7
everything 2
except 1
fact 1
fails 2
faith 1
father 1
fears 1
feels 1
ferox 1
figure 2
figured 1
figures 1
find 4
finds 4
fire 1
flavia 7
flows 1
following 1
for 3
forum 1
friends 1
from 3
gaius 2
girl 1
girls 1
gives 2
go 1
goes 1
going 2
great 1
had 3
hair 1
halfdead 1
he 2
her 3
herculaneum 1
him 3
his 2
horrible 1
how 1
illegal 1
in 6
is 12
it 4
jackass 2
jerusalem 1
jonathan 2
know 1
latin 1
leave 1
little 1
local 1
losing 1
lost 1
love 3
lupus 2
making 1
many 1
may 1
meal 1
meanwhile 2
miriam 5
mordecai 3
moredecai 1
near 1
not 1
nubia 2
objects 1
of 6
on 1
one 1
orphan 1
other 1
out 9
over 1
own 1
parents 2
playing 1
pliny 7
point 1
pointing 1
pompeii 1
proposes 1
puts 1
pyroclastic 1
rain 1
really 3
rectina 3
riddle 2
right 1
save 2
saves 1
scarce 1
sea 1
set 1
sets 2
she 3
solve 1
son 5
soon 2
sparrow 2
stabia 1
story 1
strange 1
sulphur 1
surprised 1
survive 1
symbol 1
tascius 4
tell 1
that 10
the 20
their 3
them 1
they 6
thinks 1
to 11
told 1
traditional 1
treasure 1
tried 2
tries 1
tyrrhenian 1
uncle 1
under 1
used 1
vesuvius 2
volcano 5
vulcan 10
vulcanalia 1
warn 1
warns 2
was 3
water 2
while 2
who 3
with 1
wolf 1
word 1
wrong 2
