27330689
/m/0bxzbqc
/m/0bxzbqc
Lin Carter

{"/m/01hmnh": "Fantasy"}
a 3
abducted 1
administer 1
adopts 1
after 1
air 1
airship 2
airships 1
all 2
allies 1
along 1
amid 1
among 1
and 7
arch 1
as 5
at 1
based 1
be 1
been 2
best 1
black 1
books 1
brought 1
built 1
by 4
callisto 1
captured 1
city 3
close 1
concert 1
corund 1
coup 1
craft 1
dark 1
darloona 2
de 1
decidedly 1
destination 1
destroyed 1
earthman 1
ended 1
enemy 2
enough 1
enslaved 1
explosion 1
favor 1
fellow 1
finds 2
fleeing 1
fly 1
fodder 1
found 1
free 1
freeing 1
from 1
full 1
gas 1
gladiator 1
gladitorial 1
grace 1
greater 1
hands 1
has 4
he 3
help 1
her 1
hiding 1
him 2
himself 1
his 5
identity 1
if 1
ignites 1
in 5
into 1
ironically 1
is 5
its 2
jandar 5
jonathan 1
jovian 1
ku 1
laj 1
land 1
last 1
legion 1
lifting 1
menace 1
mercantile 1
moon 1
mysteriously 1
native 1
now 1
occupying 1
of 10
ointment 1
on 1
one 1
only 2
operate 1
opportunistic 1
or 1
out 1
over 1
overboard 1
own 1
perils 1
perushtar 1
pirates 4
plan 1
plopped 1
pocket 1
power 1
previous 1
prince 1
princess 1
prisoner 1
raid 1
reaching 1
relationship 1
repaired 1
rescued 1
results 1
reverses 1
revolt 1
revolution 1
rightful 1
rocky 1
rule 1
ruler 1
sabotaging 1
safety 1
scheme 1
scuttles 1
sea 1
shondakar 2
simultaneously 1
sky 4
slaves 1
sold 1
stirring 1
succeeded 1
surviving 1
swim 1
swoops 1
taking 1
thad 1
thanator 2
that 1
the 29
this 1
throwing 1
thuton 1
to 10
transported 1
treacherously 1
up 1
waves 1
which 2
who 1
whose 1
wild 1
with 3
zandahar 2
zandaharian 2
zandaharians 1
