21194737
/m/05b_k27
/m/05b_k27
Ken Follett
2001-11-01
{"/m/01jfsb": "Thriller"}
158 1
a 8
actual 1
alcoholic 1
although 1
america 4
an 2
and 14
another 1
apparently 1
are 1
as 1
associates 1
attempt 1
back 1
battle 1
be 3
become 1
behaviour 1
being 2
best 1
bolster 1
books 1
both 2
but 1
by 4
car 1
catch 1
caught 1
close 1
clothing 1
commits 1
derelict 1
design 1
destroy 1
directly 1
dr 1
driving 1
due 1
either 1
entirely 1
entry 1
erased 1
establishes 2
fact 1
far 1
field 1
finds 1
foiled 1
for 1
forgiven 1
friend 2
from 2
further 1
going 1
gun 1
had 1
hard 1
he 9
help 1
her 1
him 2
himself 1
hinder 1
his 11
however 1
implication 1
in 6
instead 1
instinct 1
into 3
investigate 1
is 8
it 1
killed 2
known 1
launched 2
lead 1
library 1
lucas 3
made 2
man 1
match 1
mechanism 1
memory 1
men 1
method 1
morals 1
no 1
not 1
of 4
off 1
on 1
once 1
one 1
or 1
past 3
people 1
plan 1
plot 1
prior 1
progress 2
pulling 1
putting 1
race 2
rather 1
recollection 1
removing 1
research 1
responsible 1
revealed 1
reveals 1
rocket 4
room 1
saboteur 2
scientist 1
sea 1
second 1
seconds 1
selfdestruct 1
several 1
shelves 1
shot 1
simple 1
so 1
soviet 3
soviets 1
space 2
spare 1
spies 1
sputnik 1
spy 2
subsequently 1
suggest 1
suicide 2
surroundings 1
suspect 1
than 1
that 7
the 13
their 1
theory 1
this 1
to 9
turned 1
understands 1
until 1
up 1
using 1
wakes 1
was 2
well 1
what 1
when 1
who 1
wife 3
will 1
with 2
would 1
