23100506
/m/064kv__
/m/064kv__


{"/m/03mfnf": "Young adult literature"}
a 9
about 1
after 1
agree 1
almost 1
and 21
antagonist 1
are 1
around 1
as 1
asks 1
assumed 1
at 2
attacked 1
attempt 1
back 1
bathory 2
because 1
become 1
been 1
beginning 1
begins 1
believes 1
best 1
book 2
both 1
break 1
brookstone 1
but 2
by 1
clearing 1
close 1
confirming 1
consents 1
controlling 1
cousin 1
crush 1
dablo 4
date 1
dead 1
death 1
decides 1
develops 1
dies 1
disapproval 1
does 1
due 1
enslave 1
fabled 1
father 3
fellow 1
finds 2
first 1
for 2
freshman 1
friend 2
friends 2
friendship 2
from 3
funeral 1
gets 1
girl 1
half 2
has 1
he 3
henry 2
her 1
high 2
him 4
his 10
hold 1
hospital 2
human 4
humanhalf 1
in 8
is 9
it 1
joss 11
just 1
kill 3
kind 1
leaves 1
let 1
locker 1
longer 1
look 1
love 1
meet 1
meets 1
memories 1
meredith 1
methods 1
mind 1
no 1
not 1
note 1
novel 1
of 11
on 5
otis 4
out 1
over 1
point 2
powers 2
pravus 1
prevent 1
protagonist 1
pyre 1
race 1
realizing 1
returning 1
returns 1
rolls 1
rule 1
saved 1
school 4
search 1
second 1
secret 1
sent 3
series 1
shortly 1
shows 1
siberia 2
slave 1
slayer 1
stakes 1
starting 1
still 1
story 2
taken 1
takes 1
teach 1
teacher 1
teaching 2
tells 4
that 9
the 21
their 3
then 1
there 1
they 5
this 4
through 1
to 17
tod 1
together 2
top 1
trip 1
uncle 2
use 2
vampire 11
vampirehalf 1
vikas 4
visits 1
vlad 24
vladimir 1
was 5
way 1
welcome 1
when 4
while 1
who 2
winter 1
with 1
woods 1
work 1
would 1
year 1
