12230556
/m/02vws63
/m/02vws63
Kage Baker
2007-07
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
11 1
16th 1
20 1
2355 2
24th 2
a 12
above 1
accomplice 1
across 1
activated 1
aegeus 1
afraid 1
africa 1
after 3
again 1
against 1
agent 1
alec 2
all 1
allow 1
allows 1
along 1
alton 1
am 1
among 1
and 9
approaches 1
appropriate 1
arabian 1
are 3
army 1
artificial 1
as 8
assaults 1
at 2
attempts 2
banquet 1
be 4
becomes 1
before 1
begun 1
behalf 1
being 1
bellfairfax 1
beyond 1
body 1
born 1
botanist 1
both 1
bring 1
brings 1
budu 1
bugleg 2
bunker 1
bunkers 1
buried 1
but 1
by 3
california 1
campaign 1
can 2
captain 1
captured 1
carrier 1
century 3
checkerfield 1
child 1
company 12
continue 1
correctly 1
cower 1
coyote 1
creates 1
creations 1
cyborg 2
cyborgs 3
deadly 1
dealing 1
deep 1
designed 1
destroy 2
destroying 1
developing 1
different 1
disabled 1
disappeared 1
diseases 1
disruption 1
do 1
done 2
during 1
edward 2
efforts 1
encountered 1
end 1
enforcer 1
enforcers 1
even 1
executive 1
executives 1
experimentation 1
face 1
facilitator 2
factions 1
final 2
finds 1
first 1
fix 1
food 1
for 7
forces 1
form 1
fortunately 1
fosterfather 1
foundations 1
four 1
from 4
future 1
gather 1
genius 1
given 1
groups 1
harpole 1
has 4
have 1
having 1
he 6
headed 1
hearst 2
her 3
hero 1
heroes 1
hiding 1
him 4
himself 4
his 7
homo 2
humanoids 1
humans 1
hundreds 1
hybrid 1
if 1
imprisoned 1
in 16
incarnation 1
incarnations 1
intelligence 1
intent 1
is 13
it 3
its 2
joseph 1
july 1
kalugin 1
keep 1
kill 1
knew 1
known 2
knows 1
labienus 1
laid 1
latest 1
latif 1
leading 1
legend 1
lewis 4
like 2
literature 1
little 2
long 1
looms 1
lover 1
machine 1
many 1
megalomania 1
mendoza 2
millennia 1
mind 1
missing 1
mistakes 1
more 1
morgan 1
mortal 2
mostly 1
mount 1
must 1
necessary 1
needs 1
new 2
nicholas 1
nights 1
no 1
north 1
novel 1
now 1
of 22
off 1
on 5
operatives 1
out 2
over 2
own 5
part 1
past 2
people 1
persuaded 1
place 1
places 1
plan 1
point 1
poison 1
power 1
present 1
preserver 2
previous 1
princess 1
prophecy 1
protg 1
psychologically 1
putting 1
quest 1
randolph 1
realized 1
recover 1
recovering 1
repair 1
rescue 1
result 1
retribution 1
revive 1
rival 1
roland 1
scarred 1
schedule 1
scientist 1
secret 1
seek 1
seems 1
selffulfilling 1
she 2
showdown 1
showing 1
signs 1
silence 2
similar 1
situation 1
sky 1
slept 1
slowly 1
so 2
some 1
specialist 1
spread 1
stories 2
strange 1
strangely 1
such 1
suleyman 1
sumptuous 1
table 1
taken 1
takes 1
telling 1
th 1
that 3
the 53
their 6
them 5
there 1
they 2
things 1
third 1
this 4
thousands 1
threads 1
three 1
time 5
to 15
together 1
transmissions 1
trials 1
two 1
umbratilis 3
unknown 1
up 2
various 2
victor 1
victorian 1
volumes 1
was 1
water 1
way 3
what 1
when 1
where 1
which 2
while 2
who 3
whom 1
will 2
william 1
with 2
would 1
years 2
