2424807
/m/07c4r6
/m/07c4r6
Robin McKinley
1984
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 27
abilities 1
ability 2
about 2
aerin 39
affecting 1
after 3
agsded 11
aid 1
all 4
along 1
also 2
amounts 1
an 6
ancestors 1
and 34
ankle 1
any 1
apart 1
are 1
arlbeth 10
armies 1
army 1
arrives 1
as 14
ashes 1
assume 1
at 3
attempts 1
back 6
badly 1
barely 1
barons 1
battle 2
be 2
bear 1
bearing 1
beautiful 1
because 2
beckons 1
become 2
becoming 1
been 2
begins 1
behavior 1
behind 2
believed 1
believes 1
best 1
between 1
blond 1
blood 4
bloodstone 1
blue 1
body 2
book 3
borne 1
both 1
boy 1
branch 1
break 1
bring 1
brings 1
broken 1
brought 1
burn 1
burned 1
burns 1
but 12
by 10
can 2
care 1
carried 1
carries 1
castle 2
cats 1
causes 2
causing 1
challenge 1
child 2
choice 1
civil 1
claiming 1
climbs 1
come 1
comes 2
company 1
condition 1
consumer 1
continues 2
convinces 1
correct 1
correctly 1
cost 1
could 1
court 1
creates 1
crown 4
crumbles 1
damar 6
damarians 1
darkhaired 1
darkskinned 1
daughter 1
day 1
deal 1
deals 1
death 1
decides 1
declining 1
defeat 5
defeating 1
degree 1
denies 1
desert 1
despair 1
develop 1
did 1
died 1
discovers 1
do 1
does 2
doesnt 1
dogs 1
drag 1
dragon 3
dragons 2
drags 1
dreams 2
during 1
each 1
eat 1
eating 1
eats 1
effects 1
enchanting 1
escorts 1
especially 1
eventually 1
evil 1
exactly 1
exist 1
experimenting 2
external 1
extremely 1
faces 1
fact 1
fail 2
failed 1
fall 1
fallen 1
falls 1
family 2
far 2
father 1
feared 1
fears 1
feel 1
fiery 1
fight 1
fights 1
finally 2
find 3
finding 1
finds 1
fire 2
fireproof 1
first 2
flee 1
foltsza 3
for 5
force 1
forced 1
forcing 1
foreigner 1
foretold 1
forging 1
fortress 4
friendship 1
from 7
full 1
fully 1
galanna 2
gave 1
gift 1
girl 1
gives 2
giving 1
go 1
goes 1
gonturan 3
great 3
growing 1
guided 1
had 3
hair 1
hands 1
has 5
hated 1
have 1
having 1
he 5
heals 1
health 1
heir 1
help 5
helping 1
helps 1
her 39
hero 4
herself 1
him 9
himself 1
his 7
history 1
home 2
horse 1
how 1
however 2
idea 1
if 1
ill 2
improved 1
in 14
including 1
ingredient 1
ingredients 1
inherit 1
inherits 1
intercepted 1
into 3
involved 1
is 22
it 9
item 1
its 2
itself 1
join 1
joined 1
journey 1
just 3
kelar 3
kenet 4
kill 2
killer 1
king 2
kingdom 3
know 1
known 2
knows 1
lake 4
large 2
last 1
leaf 1
learning 1
learns 1
leave 1
leaves 6
left 3
lives 1
long 1
longer 1
losing 1
love 1
loves 1
luthe 9
made 1
madness 1
mage 1
magic 3
magical 1
magically 1
make 1
makes 1
making 1
man 3
manages 2
many 4
marries 1
marry 1
master 1
matter 1
maur 9
may 1
meant 1
members 1
messenger 1
met 1
might 1
mortal 2
mother 5
mountain 1
much 5
needed 1
news 1
no 3
north 8
northerners 3
not 8
note 1
notquitemortal 1
nowinjured 1
nyrlol 3
of 46
off 2
ointment 3
old 1
on 4
one 6
only 4
onto 1
opening 1
ostracized 1
other 1
out 1
over 1
own 3
pale 1
part 1
passed 1
past 1
pasture 1
people 2
places 1
placing 1
plant 2
poisonous 1
polluting 1
possibly 1
power 5
prepares 1
presence 1
present 1
privacy 1
process 2
promises 1
promptly 1
prophecy 1
proportion 1
protect 1
protection 1
protects 1
proved 1
proves 1
rather 1
reach 1
reads 1
reappeared 1
rebuild 1
recipe 2
recovered 1
red 6
regular 1
relatives 1
request 1
rest 1
return 2
reveals 3
ride 3
rides 1
rids 1
rock 1
role 1
romantically 1
royal 5
rule 1
rulers 2
rumored 1
safely 1
saw 1
saying 1
second 1
seem 1
seems 1
sends 1
setting 1
she 22
since 1
single 1
skin 2
skull 3
slay 1
small 1
smaller 1
so 4
sola 1
some 3
something 1
sometimes 1
son 1
south 1
specify 1
split 1
spreading 1
staircases 1
starts 1
state 1
still 1
stone 5
student 1
students 1
stumbles 2
successfully 1
suggest 1
supported 2
surka 6
survive 1
survived 1
sword 2
symptom 1
taken 1
takes 1
talat 7
taunt 1
teaches 1
tells 1
terrorize 1
terrorizing 2
than 2
that 22
the 78
their 3
them 3
then 2
they 4
this 3
those 2
thought 1
thoughts 1
threatening 1
three 1
through 1
throws 1
time 2
to 50
together 1
too 1
top 1
tor 6
tougher 1
travels 1
trophy 2
trouble 1
truly 2
trust 1
turns 1
uncle 1
unfaithful 1
unfortunately 1
until 1
up 1
upon 1
use 1
used 2
using 1
vain 1
village 1
want 1
war 2
was 4
way 2
wearer 1
wearing 1
weeks 1
went 1
were 1
western 1
what 2
when 3
where 3
which 3
while 6
who 6
whom 1
whose 1
wife 1
wild 1
witchwoman 1
with 17
woman 1
would 2
wreath 2
years 2
yerig 1
yerigs 3
yet 2
young 1
