8829637
/m/027l73g
/m/027l73g
Shyam Selvadurai
1994
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction"}
1 1
137 1
14 1
177 1
200 1
205 1
250 1
278 1
a 22
about 2
academy 1
accused 1
admires 1
adults 1
after 6
afterwards 1
against 1
all 2
allegations 1
allowed 1
along 1
also 3
although 2
america 1
amma 5
ammachi 2
an 3
and 38
anil 3
appa 4
appachi 1
appachis 1
appas 1
are 4
arjie 25
arjies 4
as 9
ashamed 1
assassinate 1
associated 1
at 5
attacked 2
attraction 1
aunt 2
aunty 2
australia 1
away 1
back 1
be 2
beach 1
beatings 1
beats 1
because 1
become 2
becomes 3
begins 5
being 1
believes 1
best 1
between 2
black 3
body 1
both 1
boy 1
break 1
bride 1
bridebride 1
broken 2
build 2
burn 2
business 1
but 4
can 1
canada 1
cant 1
catches 1
cause 1
chapter 2
chelvaratnam 1
civil 1
cognizant 1
colombo 3
come 1
comes 2
common 1
comprehend 1
concept 1
conflict 1
congregate 1
connected 1
connections 1
couldnt 1
country 3
countryside 1
cousin 1
cousins 1
daryl 5
daryls 1
day 1
decides 4
desire 1
develop 1
develops 1
didnt 1
diggy 1
discover 1
do 1
down 3
drowning 1
during 1
emotionally 1
encounter 1
encourages 1
end 1
engaged 1
engagement 1
escapes 1
especially 1
establishments 1
ethnicity 1
europe 1
eventually 2
evil 3
extended 1
eye 1
failed 1
failing 1
family 8
father 2
fatness 1
feels 2
female 1
final 2
fire 1
first 4
fly 1
follow 1
following 1
for 5
force 1
forget 1
forgets 1
found 1
friends 1
friendship 3
from 8
function 3
funny 1
further 1
game 2
garage 1
gay 1
gets 1
girls 1
given 1
goes 3
government 2
grandchildren 1
growing 1
had 3
has 2
have 2
he 12
hear 1
help 1
her 4
here 1
hiding 1
high 1
hill 1
him 2
himself 2
hints 2
his 18
history 1
home 3
homosexual 1
hotel 3
house 1
houses 1
how 1
i 4
ill 1
immediately 1
important 1
in 16
indulge 1
inhabited 1
insists 1
interrupted 1
into 2
investigate 1
involved 3
is 18
it 4
jaffna 3
jayasinghe 1
jegan 5
jegans 1
job 1
journey 1
jumbles 1
killed 2
king 1
kiss 2
kisses 1
knew 1
known 1
label 1
lanka 2
last 1
later 1
lawyer 1
leave 1
leaves 2
like 1
lines 1
lips 1
lives 1
long 1
longer 2
looking 1
love 1
making 1
man 1
matter 1
may 1
me 1
memorize 1
mob 1
monkeys 1
more 1
mother 2
moves 1
much 1
must 1
my 1
nagendra 1
named 1
neighbors 1
nervous 1
news 1
nicknamed 1
no 5
nothing 1
notices 1
notorious 1
novel 2
now 2
of 15
offer 1
on 6
one 4
organization 1
other 1
out 1
own 2
parents 1
part 2
past 1
performance 1
pigs 1
play 3
plea 1
plot 2
poem 1
poems 4
politician 1
pressed 1
prevent 1
previously 1
principal 3
purposely 1
pursue 1
put 1
questions 1
radha 4
rajan 2
receive 1
receives 1
recite 1
reciting 1
recognizing 1
recoils 1
recover 1
recovery 1
refuses 1
relationship 2
reluctant 1
reorganizing 1
responds 1
retrace 1
return 3
returns 1
reunite 1
rights 1
rioters 1
room 1
ropes 1
same 1
says 2
school 6
second 1
see 1
sexual 1
sexuality 2
she 5
sheehan 1
shehan 8
shift 1
sinhalese 1
sky 1
so 1
somehow 1
son 1
speak 1
special 1
specific 1
spend 1
spendthedays 1
sri 2
start 1
state 1
stay 2
story 2
strikes 1
supposedly 1
surface 1
surprise 1
suspect 1
take 1
tamil 4
tamils 1
tamilsinhalese 2
tanuja 1
tells 2
tendencies 1
tensions 2
terms 1
that 10
thats 1
the 59
their 9
there 2
they 6
thighs 1
third 1
this 1
three 1
through 1
throughout 2
tie 2
ties 1
tigers 2
time 4
to 41
together 2
torture 1
towards 1
train 1
traitor 1
transfer 1
tries 1
trip 1
trousers 1
trust 1
two 3
ultimately 1
uncle 5
understand 2
unsure 1
up 3
upcoming 1
urges 1
usual 1
vandalized 1
very 1
victoria 1
violence 1
violent 1
visits 1
warns 1
was 5
way 2
we 1
well 2
what 1
when 4
which 3
while 2
who 2
why 1
will 1
wise 1
with 12
witnesses 1
word 1
work 1
world 1
worried 1
you 2
