11497665
/m/02rfwsv
/m/02rfwsv
David Weber
1995
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 24
academy 1
adopted 1
after 5
again 2
against 1
agree 1
agrees 1
aids 1
alive 2
all 1
alley 1
allow 1
allowing 1
also 3
an 5
and 31
another 3
any 2
anything 1
appearance 1
are 4
armsman 1
army 1
arranged 1
as 9
assassination 1
assassins 1
assistance 1
at 1
attack 1
attacks 3
attempt 1
away 1
axe 1
back 2
background 1
badly 2
bahanakson 1
bahzell 21
bahzelland 1
band 1
bar 1
battle 2
bay 1
bazhell 1
be 4
bearer 1
beating 1
because 2
been 3
before 2
begins 2
behind 1
being 2
belhadan 1
believing 1
between 2
blame 1
bloody 1
bortalik 1
bouncer 1
brandark 14
brother 1
brothers 3
but 2
by 7
called 3
calling 1
came 1
camp 1
can 3
caravan 1
carrying 1
catches 2
champion 2
chase 1
chesmirsa 1
church 2
city 3
companions 1
compulsion 1
connected 1
convince 1
countrymen 1
crown 1
culminating 1
cursed 1
dark 1
death 1
decided 1
defeats 1
demands 1
demon 2
die 1
died 1
direction 1
directly 1
discovered 1
divine 2
do 4
doesnt 1
dog 3
done 1
draw 3
dwarven 1
ear 1
east 1
educated 1
effort 1
empire 2
employer 1
enchant 1
encounter 1
end 1
energy 1
enough 1
entering 1
entire 2
eventually 4
ever 1
everything 1
exchange 1
explains 1
failed 1
farmah 2
fatal 1
father 1
fights 1
finally 1
find 2
finds 2
fingers 1
fired 1
first 1
flee 1
followed 1
follower 1
following 1
follows 1
for 10
fought 1
frees 1
friend 3
from 4
fully 1
generally 1
get 2
gets 1
give 1
go 1
god 1
gods 1
gone 1
grip 1
group 1
guard 2
guards 1
had 2
halfelven 1
halflings 1
hand 1
harnak 8
harness 1
has 5
have 2
he 16
heal 2
healed 1
hears 2
help 4
her 14
him 9
himself 1
hires 1
his 7
home 2
honor 1
hoping 1
hostage 1
house 1
however 1
hradani 7
human 1
hurgrum 1
hurt 2
if 3
in 17
inn 1
instructs 1
interfere 1
intervention 1
into 3
invading 1
investigates 1
is 15
island 1
it 3
jail 1
job 1
jobs 1
joins 1
kidnapped 2
kill 1
killed 1
kills 1
kilthan 2
kilthandaknarthas 1
know 1
land 1
lands 2
lay 1
leads 1
leave 3
leaving 1
life 1
light 1
like 1
living 1
long 2
lord 3
lords 2
mage 2
mages 1
magical 1
make 1
manned 1
marfang 1
meanwile 1
meet 2
memory 1
merchant 1
message 1
middle 1
mind 1
missing 1
more 3
mortally 1
most 2
must 1
named 2
native 1
navahk 2
need 1
needed 1
noblewoman 1
none 1
not 4
nothing 1
novel 1
of 23
off 5
offering 1
on 5
once 1
one 2
only 1
opened 1
order 1
other 1
otherwise 1
out 6
own 1
palace 1
passage 1
people 2
personal 1
places 1
plan 1
plans 1
popular 1
portal 1
position 1
powerful 1
practice 1
prefer 1
prince 2
proper 1
provide 1
punished 1
purple 4
pursuit 2
rage 1
raise 1
raped 1
reach 1
realize 1
realm 1
receive 1
recovering 1
recruit 1
rekah 3
rent 1
rescues 1
rescuing 1
resents 1
riverside 1
rum 1
run 1
sacifice 1
safe 1
saving 1
screaming 2
secretly 1
see 1
send 1
sends 1
sent 2
servant 2
set 4
several 1
shared 1
sharna 4
sharnawho 1
she 5
ship 1
short 2
shortly 1
singer 1
smuggling 1
so 1
soil 1
some 1
someone 2
song 1
spear 1
spearman 1
stay 1
staying 1
strike 2
strikes 1
successful 2
sword 3
swordoath 1
take 2
taking 1
tala 1
talents 1
tells 2
that 9
the 52
their 2
them 10
then 2
there 2
they 19
this 3
though 3
threat 1
through 4
throwing 1
time 1
to 37
together 1
tomanak 6
tothas 4
towards 1
townspeople 1
tracking 1
training 2
travel 3
tries 1
trip 1
try 1
trying 1
two 4
unfortunately 1
unwelcome 1
unwell 1
unwilling 1
up 5
use 1
village 2
visit 1
volunteered 1
walking 1
want 1
wants 1
war 1
was 4
way 1
wealthy 1
well 1
wencit 2
were 2
when 2
where 3
which 2
while 3
who 11
whom 2
why 1
wilderness 1
will 1
wins 1
with 10
without 1
wizards 1
woman 2
women 1
work 1
working 2
worshiping 1
would 3
wounded 1
wounds 1
writing 1
yet 1
zaarantha 1
zarantha 6
