6153632
/m/0fsz7r
/m/0fsz7r
Irving Wallace
1972-03-27
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
20th 1
a 7
abode 1
about 1
absence 1
according 1
acquired 1
agusto 1
all 1
alliance 1
along 1
american 1
ammunition 1
amsterdam 1
an 1
and 9
andor 1
angela 2
antica 1
archeologist 1
are 2
around 1
as 5
at 1
athos 1
aubert 1
base 1
based 2
be 4
been 1
bernard 1
bible 2
bottom 1
bringing 1
brother 1
by 3
centered 1
central 1
centre 1
century 2
christian 1
churches 2
circumstances 1
city 3
clerics 1
company 1
conservative 1
control 1
council 1
creek 1
daughter 1
de 2
discovered 1
discoverer 1
discovery 2
divorced 1
document 2
dr 2
england 1
europe 1
european 1
executive 1
facts 1
factual 1
faith 2
family 1
fictional 1
first 2
florian 1
flow 1
for 4
forgery 1
former 1
france 1
from 1
germany 1
gets 1
give 2
god 1
gospel 5
greece 1
guaranteed 1
has 1
he 3
headquarters 1
hennig 1
henri 1
hired 1
his 1
historical 1
home 2
hometown 1
however 1
in 10
including 1
instead 2
interest 1
international 2
into 1
involved 1
is 5
it 3
italy 2
its 1
itself 1
james 3
jeffries 1
jesus 2
job 1
karl 1
keep 1
knight 1
la 1
lab 1
legitimate 1
life 1
london 1
long 1
love 1
made 1
maertin 1
mainz 1
make 1
man 1
many 1
masses 1
may 1
meets 2
mentioned 1
milan 1
monastery 1
monti 2
more 1
mount 1
national 1
ndash 2
need 1
netherlands 1
new 6
newly 2
not 2
notion 1
novel 1
now 1
oak 2
of 21
on 1
once 1
oppose 1
original 1
ostia 1
own 1
paris 1
place 2
pleasant 1
plot 1
potential 2
prairie 1
press 1
printing 1
prof 1
project 4
public 1
publication 1
publicity 1
published 1
publishers 1
question 1
questionable 1
radical 1
randall 1
recherche 1
refound 1
regular 1
relations 1
revealed 1
revival 1
roman 2
rome 1
ruins 1
running 1
runs 1
scientifique 1
seaport 1
several 1
simonopetra 1
since 1
six 1
steve 6
steven 2
struggle 1
suspicious 1
testament 2
that 1
the 33
them 1
they 1
thought 1
to 11
top 1
topsecret 1
undertaking 1
unveiled 1
vroome 1
were 1
westerkerk 1
where 2
whose 1
wisconsin 1
with 1
within 1
work 1
world 2
worship 1
worth 1
would 1
written 1
years 2
york 2
younger 1
