5640550
/m/0dxrmz
/m/0dxrmz
D.J. MacHale
2007-05-08
1 1
137 1
300 1
a 17
abandoned 1
about 2
accomplice 1
actually 1
advanced 1
advances 1
after 7
against 1
ago 1
agrees 1
aja 3
ajakillian 1
alder 2
alive 1
all 1
almost 1
alone 1
an 3
anachronisms 1
and 30
android 1
apparently 1
appears 1
archers 1
are 5
army 4
arrive 2
arrives 2
arrow 1
artificial 1
as 5
asks 1
at 1
attack 2
away 1
back 4
backs 1
barely 1
battle 2
be 2
begin 1
behind 1
being 1
believe 2
black 1
blows 1
boats 1
bobby 28
bomb 1
borrow 1
both 3
bringing 1
brought 1
burning 1
but 2
by 5
can 1
catches 1
causing 1
celebrate 1
changed 1
chaos 1
chapter 1
character 1
city 3
civilization 1
cloral 1
clothing 1
come 1
comes 1
conceal 1
courtney 4
dado 4
dadokilling 1
dados 3
dane 13
decides 1
denduron 3
desire 1
destroyed 2
destroys 1
determined 1
detonate 1
didnt 1
disappearing 1
disaster 1
discover 1
discovers 1
disguise 1
doomed 1
dygo 1
early 1
earth 6
enraged 1
escape 3
eventually 1
explain 1
explore 1
explosive 1
extra 1
failed 1
fall 1
far 1
few 1
fight 1
fights 1
final 1
find 6
finds 1
firing 1
first 5
fishing 1
flighters 5
flume 3
food 1
for 2
friend 1
from 10
future 2
get 2
gigantic 1
go 2
goes 5
going 1
grass 1
group 3
growing 1
had 2
half 1
halla 2
happened 1
has 6
have 1
he 8
high 1
him 3
himself 1
his 2
hopes 1
horizon 1
however 2
humanoids 1
huts 1
ibara 9
ignorance 1
impeding 1
in 15
including 1
information 1
interrupted 1
into 3
is 17
island 1
it 8
jakills 7
join 1
journal 1
just 1
killed 2
killian 3
king 2
known 1
knows 1
land 1
leading 1
leave 3
leaves 1
leaving 1
left 1
library 1
lifelight 3
lifelighters 1
lights 1
live 1
living 1
local 1
long 1
looms 1
lures 1
main 1
make 2
manifest 1
maps 1
mark 3
means 1
meet 1
meets 1
merely 1
more 1
most 1
must 1
name 1
needs 1
nevva 2
next 1
no 1
noticeably 1
november 1
now 3
obtain 1
of 23
off 2
on 8
oncoming 1
one 2
only 4
or 2
order 2
origin 1
originates 1
other 2
out 5
outside 1
over 1
patrick 1
people 2
pertaining 1
pieces 1
places 1
plans 1
point 1
power 1
prevent 1
protection 1
proving 1
pyramid 2
quillan 2
quite 1
ragged 1
rayne 1
realizing 1
relentlessly 1
remudi 1
repopulate 1
revealed 1
reveals 3
rods 1
rubic 1
rubity 3
ruling 1
run 1
safe 1
said 1
saint 13
save 1
says 1
second 3
see 1
sending 1
sends 1
set 1
ship 3
ships 2
signs 1
simply 1
siry 8
skills 1
skimmers 1
so 1
social 1
son 1
soon 1
sources 1
speak 1
speed 1
startlingly 1
steal 1
stole 1
stop 1
tak 7
take 1
taken 1
takes 2
technological 1
teens 1
tell 2
telleo 1
tells 1
ten 1
tens 1
territories 2
territory 3
than 1
that 19
the 56
their 3
them 6
then 6
there 5
these 1
they 13
things 1
third 1
this 2
though 1
thought 1
thousands 1
threat 1
throws 1
time 2
to 37
together 1
top 1
torn 1
train 1
trapping 1
travel 1
traveler 2
tribunal 2
truth 3
tunnel 2
turning 1
two 1
type 1
underground 1
unearth 1
unearthing 1
unusual 1
up 2
use 1
various 1
veelox 4
veeloxan 1
version 1
wants 1
was 1
wave 1
were 2
what 1
when 3
whether 1
which 3
while 2
who 3
whom 1
winter 2
with 6
won 1
would 1
years 1
you 1
zadaa 1
