10858302
/m/02qs6vr
/m/02qs6vr
Erin Hunter
2006-04-04
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 22
about 1
accidentally 1
accompanies 1
accompany 1
across 1
advantage 1
after 2
agreement 1
ahead 1
all 3
almost 1
also 1
although 2
an 3
ancestors 1
and 34
anger 1
announce 2
another 1
appoints 1
apprentice 2
are 1
around 1
as 7
ashfoot 1
asks 1
assembles 1
at 3
attack 1
back 1
barkface 1
battle 2
be 2
been 1
behind 1
bluestar 1
border 1
brambleclaw 7
bramblelcaw 1
bridge 1
by 3
call 1
calls 1
camp 5
camps 3
cat 5
cats 12
ceremony 1
change 1
chasing 1
cinderpelt 1
circular 1
claims 1
clan 1
clans 6
come 2
comes 1
confesses 1
coniferous 1
consisting 1
continuing 1
could 1
couple 1
courage 1
cross 1
crowfeather 4
crushing 1
daughter 1
dawn 1
day 5
dead 1
deceased 1
decide 2
denies 1
deputy 4
desperate 1
despite 1
destination 1
destroyed 1
dies 1
discover 1
divided 1
does 2
down 1
dream 1
during 5
dying 1
each 1
enough 1
erupting 1
evil 1
explore 1
fact 1
falls 1
far 1
father 1
fight 1
fights 1
find 2
finding 1
findings 1
firestar 5
fishing 1
five 1
follow 2
followers 1
for 11
forest 1
former 2
four 2
friend 1
from 2
full 1
gathering 2
gatherings 1
giving 1
go 2
goes 3
gone 1
great 1
groups 1
had 2
halfbrother 1
halfmoon 1
has 4
have 2
hawkfrost 10
he 7
her 9
herself 1
him 4
his 6
hold 1
hollow 1
home 2
humans 1
ideal 1
in 8
into 2
invade 1
is 9
island 1
it 2
journey 1
kill 1
lake 2
lakeshore 1
large 1
later 2
lead 1
leader 4
leaders 1
leadership 1
leafpaw 6
leafpool 3
leave 1
left 1
lifestyle 2
lightning 1
lives 1
location 1
look 1
loves 2
make 1
making 2
medicine 8
meeting 2
meetings 1
midnight 1
mistyfoot 2
monthly 1
moonlight 1
moonpool 1
moonstone 2
moorland 1
more 1
morning 1
move 1
much 1
mudclaw 9
name 3
near 1
new 4
next 5
night 2
nine 1
not 4
now 1
of 17
old 2
on 4
one 1
onewhisker 7
other 4
out 2
over 2
patrol 2
perfect 1
place 4
plans 1
pool 1
praises 1
promotes 1
prove 1
rabbits 1
realizes 3
received 1
receives 1
recovers 1
reflects 1
remaining 1
replacement 1
replacing 1
request 1
rescue 1
respective 1
return 1
returned 1
riverclan 4
runs 1
rushes 1
sacred 1
saves 1
says 2
seems 3
sees 2
serves 1
set 1
shadowclan 3
share 1
she 6
sit 1
soon 1
sorreltail 1
sort 1
spends 1
spottedleaf 2
squirrelflight 4
squirrelpaw 1
starclan 3
stars 1
starts 1
status 1
stone 2
strikes 1
suddenly 1
suit 1
suits 1
sundrownplace 1
supporters 2
sure 1
suspects 1
switch 1
take 1
takes 1
tallstar 3
tawnypelt 1
tell 2
telling 1
tells 5
temporarily 1
tension 1
territories 1
territory 4
that 14
the 46
their 8
them 5
then 1
there 2
they 3
thinks 1
this 4
thunderclan 11
tigerstar 2
time 1
times 1
to 27
together 1
tongues 1
too 1
tree 1
truce 1
two 4
under 1
up 3
upon 1
visit 1
warrior 3
warriors 2
water 1
well 3
wellsheltered 1
went 1
when 3
where 1
whether 1
which 8
who 1
windclan 11
wish 1
wishes 1
with 5
worry 1
would 1
yet 1
