3115536
/m/08sd0j
/m/08sd0j
S. F. Said
2003
{"/m/0dwly": "Children's literature"}
a 19
about 2
acting 1
after 1
although 2
always 1
amber 1
ancestor 1
and 26
angry 1
apart 1
appears 1
are 1
arts 2
as 4
asked 1
aspect 1
at 1
away 1
back 3
beaten 1
because 1
been 1
befriends 1
being 1
best 1
between 1
bit 1
black 5
blue 2
bones 3
box 1
boxes 1
brother 1
brown 1
bullies 1
but 5
by 6
cage 1
called 1
captured 1
cardboard 1
care 2
cat 8
cats 11
city 3
cludge 4
collar 1
collars 1
color 1
come 2
constantly 1
contented 1
contessa 3
creepy 1
danger 1
dark 1
day 1
decides 2
defeat 1
died 1
disappearances 1
disappears 1
dog 2
dogs 2
doing 1
doll 1
down 1
dozens 1
dreams 1
elder 1
embark 1
enemies 1
enter 1
even 1
every 1
evil 1
exactly 1
eyes 2
fake 1
falls 1
family 7
fed 1
fierce 1
fight 1
find 1
finds 2
for 2
form 2
found 2
friend 1
friendly 1
friends 1
from 2
fun 1
gang 3
gangs 1
gentleman 8
gentlemen 1
gets 1
ginger 1
glassy 1
go 1
goes 1
grandfather 4
grotesque 1
had 1
handed 1
happy 1
harm 1
has 1
have 1
he 13
help 1
her 1
hero 1
hill 1
him 7
his 18
holly 4
house 5
immediately 1
in 3
inside 4
interrupted 1
into 5
is 13
it 2
its 1
jalal 2
julius 1
jumps 1
kill 2
killing 1
kills 1
kitten 2
knocks 1
know 1
known 2
large 2
learns 2
leave 1
leaving 1
like 1
listens 1
live 1
lives 1
look 1
lost 1
made 1
make 2
martial 2
meant 1
mechanical 1
meets 1
mesopotamian 2
methods 1
motions 1
movements 1
must 1
mysterious 4
named 2
never 1
no 1
none 1
not 1
obstacles 1
of 20
off 3
old 1
older 1
on 3
one 2
other 1
out 3
outside 4
overcome 1
own 1
paw 4
power 1
proper 1
quest 1
real 2
room 1
runs 2
sally 3
scares 1
secret 1
seems 1
shun 1
small 1
smell 1
snipping 1
so 1
something 1
soon 1
sound 1
source 1
split 1
start 1
stay 1
stories 1
strange 1
streets 2
such 1
surprised 1
synchronized 1
take 1
taking 1
tales 1
tam 3
teaches 1
tells 1
territory 1
that 2
the 48
them 3
they 3
through 2
to 15
toy 1
toys 1
trapped 1
travels 2
try 1
two 3
up 2
upstairs 1
using 1
vanishings 2
varjak 15
venture 2
villain 1
visited 1
wakes 1
wants 1
way 4
were 1
when 4
where 2
which 1
white 2
who 2
whose 1
window 1
with 5
woman 1
world 1
wrong 1
