29998181
/m/0fqp_gw
/m/0fqp_gw
Hugh Kelly
1767-03-31

a 3
after 2
again 1
amorous 1
and 3
another 1
at 1
badly 1
be 1
before 1
breaks 1
brother 1
by 2
colonel 1
continent 1
deciding 1
disgraces 1
down 1
duel 2
engaged 1
escape 1
europe 1
eventually 1
fate 1
fighting 1
fights 1
filled 1
flees 1
for 1
from 1
good 1
happily 1
harold 1
harry 1
hastings 2
he 2
hearing 1
her 2
him 1
house 2
in 2
is 4
kidnapped 1
london 2
louisa 5
lousia 1
magdelan 1
make 1
manages 1
marriage 2
married 1
marry 1
mildmay 2
of 1
off 1
offers 1
parents 2
prostitutes 1
rake 1
rakish 1
reformed 1
remorse 1
returns 1
robert 4
seduces 1
sent 1
settle 1
she 3
shelter 1
sir 5
staying 1
takes 1
the 6
then 2
they 1
to 7
together 1
too 1
where 1
while 1
wife 1
with 2
wounding 1
