9520492
/m/02phn08
/m/02phn08
Anita Shreve
1999-12-02
15 1
18 1
41yearold 1
a 3
affair 1
and 4
at 1
based 1
biddeford 2
confident 1
consequences 1
decades 1
discovery 1
doctor 1
falls 1
family 1
farreaching 1
fortune 1
fortunes 1
haskell 1
her 1
in 3
intelligent 1
is 2
john 1
journalist 1
leads 1
located 1
loosely 1
love 1
maine 1
married 1
neighborhood 1
novel 1
of 2
old 1
olympia 1
on 1
passionate 1
privileged 1
produces 1
rocks 2
seaside 1
several 1
son 1
span 1
subsequent 1
summer 1
that 1
the 3
their 1
to 1
vacationing 1
who 1
with 2
year 1
