5342117
/m/0dghll
/m/0dghll
Taichi Yamada
2006-04-06
10000 1
6 1
a 23
about 1
accepts 1
accident 1
after 2
again 4
agrees 1
all 1
also 1
america 2
amount 1
an 3
and 26
anger 1
angry 1
answer 1
any 1
apologizes 1
appointed 1
are 1
arranged 2
as 4
asks 2
at 6
attempts 1
auditory 1
away 1
back 1
be 1
because 1
becomes 1
been 3
beforehand 1
begins 1
behaviour 1
behind 3
being 1
bipolar 1
blind 2
bosses 1
bouts 1
break 1
but 5
by 6
call 1
called 1
can 1
case 1
caught 1
chase 1
city 1
claim 1
claiming 1
claims 1
completely 1
concede 1
contact 1
contacts 1
continues 1
cornered 1
country 1
darkness 1
date 1
day 1
days 1
dealing 1
definitely 1
desperately 1
despite 1
detained 1
dialogue 1
dialogues 1
directs 1
disappears 1
disorder 1
doctor 1
does 1
down 1
drugs 1
during 1
earlymorning 1
eighteen 1
emotion 3
energy 1
eric 11
erratic 1
escape 3
escapee 1
escapes 3
euphoric 1
eventually 1
explains 1
expresses 1
fascinated 1
female 1
fittings 1
flooded 1
for 3
forced 1
form 1
fortysomething 1
from 1
future 1
garden 1
get 1
girl 3
given 1
goes 3
graveyard 1
guise 1
hallucinations 1
happiness 1
has 6
have 1
he 22
hear 1
hears 2
hello 1
her 10
here 1
herself 1
him 11
hinted 1
his 10
hoax 1
honest 1
hopes 1
hours 1
house 1
how 2
however 3
huge 2
hurt 1
if 2
immigrant 1
immigration 2
immobile 1
in 13
increasingly 1
initially 1
instead 1
intense 1
into 1
irrational 1
is 20
it 8
japan 1
japanese 1
job 1
kasama 3
killed 1
kind 1
knew 1
knows 1
large 1
last 1
leads 1
leave 1
light 1
living 1
lodgings 1
lonely 1
makes 2
marriage 2
may 1
meet 5
meets 1
midway 1
misled 1
month 1
months 2
more 1
mr 2
museum 2
must 2
narrow 1
neighbouring 1
next 1
night 1
no 1
not 2
of 16
off 2
offers 1
officer 1
officials 1
on 3
one 3
only 1
opposed 1
out 2
outside 1
over 1
overcome 1
paid 1
paralyzed 1
paralyzing 1
pass 1
passes 2
passively 1
passport 1
path 1
permit 1
perplexed 1
pity 1
police 2
possession 1
preparations 1
projected 1
questioned 1
questions 1
raiding 1
ran 1
reasons 1
rebuff 1
recovers 1
related 1
relationship 1
reluctantly 1
remember 1
reminiscent 1
responds 1
runs 1
sadness 2
same 1
saying 1
says 1
sea 1
see 2
seems 1
selling 1
set 2
she 8
shop 1
short 1
similar 1
six 1
sleep 1
so 2
somehow 1
someone 1
sounding 1
speak 1
speaks 1
square 1
stand 1
stands 1
starts 1
still 3
story 2
submits 1
suffering 1
suspect 2
take 2
takes 1
taking 2
tell 1
tells 3
that 11
the 34
their 1
then 2
there 2
they 1
thinks 3
this 6
through 2
throughout 1
time 10
to 26
towards 2
tree 1
trip 1
tripped 1
try 1
tsuneo 21
ugly 1
under 1
unimaginably 1
unsure 1
verge 1
very 1
voice 13
wait 1
was 1
wave 2
way 1
when 5
whenever 1
whether 1
which 5
while 4
whilst 1
who 3
why 1
will 4
window 1
wish 1
wishes 3
with 4
woman 3
wonders 1
work 1
world 1
yen 1
you 1
young 1
