7482096
/m/02631sd
/m/02631sd
Su Tong

50th 1
a 20
abandoned 1
about 2
absence 1
accuses 1
acknowledges 1
action 1
acts 1
admits 1
afraid 3
after 2
afterwards 1
an 1
and 31
anger 1
angry 2
announces 1
anything 1
are 1
arrival 1
arrives 2
as 5
asks 1
at 2
attempted 1
attending 1
attitude 1
avoid 1
away 2
back 1
bankrupt 1
barely 1
be 2
beat 1
because 3
become 2
bed 1
befriends 1
beginning 1
begins 1
behavior 1
behind 1
being 1
better 1
birth 1
birthday 3
both 1
boy 1
breaks 1
bursts 1
business 2
but 4
by 6
cannot 1
catches 1
caught 2
cause 1
celebrate 1
celebrates 1
chen 12
chest 1
child 1
chooses 1
claims 1
closer 1
cloud 8
college 1
come 1
comes 2
commits 1
company 1
concubine 1
concubines 1
confesses 1
confronts 1
coral 11
cut 1
cuts 1
daughter 1
day 1
decides 1
demands 1
destroyed 2
determines 1
died 2
different 1
disgust 1
do 1
doctor 2
does 2
doll 2
domestic 1
down 1
drawing 1
drives 1
drunk 1
duties 1
dying 1
ear 1
eat 1
elder 1
ends 1
escorted 1
especially 1
even 1
evening 1
eventually 1
expecting 1
expensive 1
extremely 1
facade 1
fall 1
far 1
father 1
favor 1
favored 1
favors 1
feels 1
feilan 2
feipu 7
fight 1
finally 1
finding 1
finds 2
first 1
fit 2
flirting 1
flute 7
for 6
forced 1
forgives 1
forgiving 1
friend 1
friends 1
frighten 1
from 3
further 1
gets 2
gift 2
gives 2
go 1
goes 3
gone 1
gu 2
had 1
hair 1
hallucination 2
hand 1
has 7
hates 1
haunted 1
have 1
having 1
he 12
headache 1
help 1
helped 1
her 30
him 4
hired 1
his 3
home 1
hostility 1
household 4
how 1
however 1
husbands 1
ignores 1
ill 1
illiterate 1
impressed 1
in 12
infuriated 1
initially 1
insanity 1
instead 4
interrupt 1
interrupts 1
into 3
is 19
it 6
its 2
joy 2
kills 1
kissing 1
knock 1
know 2
later 1
leaves 6
leaving 1
less 1
lesson 1
lie 1
likes 1
living 1
locked 1
loses 1
lotus 32
lover 1
mahjong 1
make 1
male 1
manipulations 1
master 2
meanwhile 1
miscarriage 1
mistress 4
mood 1
more 2
morning 2
movingly 1
murder 1
neglects 1
nevertheless 1
new 1
next 3
night 3
not 2
notices 1
of 13
older 1
on 3
one 4
only 1
or 1
order 1
other 2
others 1
out 3
outright 1
outside 1
over 1
paper 2
party 2
piece 1
pins 1
playing 1
plays 1
poison 1
possible 1
pregnant 1
previous 1
reaches 1
realizes 1
regretful 1
replacement 1
result 1
resulting 1
return 1
returns 2
revealed 1
reveals 2
rich 1
room 3
says 1
searches 1
second 2
see 2
sent 1
servant 2
servants 2
several 1
sex 1
shaken 1
shame 1
she 20
shortly 1
sits 1
slowly 1
so 2
soiled 1
son 2
special 1
spite 1
stealing 1
stole 1
stop 2
strife 1
stuck 1
suicide 1
swallow 10
taken 1
taking 1
tea 1
teacher 1
tears 1
tells 3
than 3
that 11
the 33
they 3
thinking 1
third 1
this 1
three 2
throwing 1
tipsy 1
to 26
toilet 2
token 1
too 1
town 1
tries 1
trip 1
trunk 1
truth 1
twentieth 1
typhoid 1
unable 1
unfortunately 1
unwilling 1
up 5
vase 1
very 1
voice 1
wakes 1
want 1
warms 1
was 4
watches 1
water 1
wedding 1
weeping 2
well 5
were 1
when 7
whenever 1
which 3
who 5
wine 1
with 11
witnessing 1
wives 1
women 2
word 1
work 1
written 1
wrote 1
yirong 2
young 2
zuoqian 4
