2839626
/m/0861rz
/m/0861rz
Albert Uderzo

a 10
absurd 1
actually 1
after 1
agrees 1
aid 1
also 1
an 4
and 13
announcing 1
another 1
antidote 2
arrival 1
as 4
aside 1
asks 1
asterix 5
at 2
attempted 1
away 1
bank 1
banquet 1
be 3
been 1
being 1
break 1
brew 1
but 3
by 4
called 1
cask 1
cause 1
celebration 1
chased 1
circus 1
claims 1
colleague 1
collects 1
comes 1
condatum 1
confronts 1
continually 1
cooperate 1
corrupt 1
corruption 1
courageous 1
cover 1
cured 1
curious 1
danger 1
days 1
debauched 1
difficulties 2
dirty 1
distress 1
doctors 1
doing 1
draining 1
dropping 1
druid 1
easy 1
edelweiss 2
ends 1
equallycorrupt 1
essential 1
ever 1
executed 1
expose 1
facing 1
few 1
finance 1
find 1
finds 1
first 1
flavus 8
floor 1
flower 2
food 1
for 3
from 3
gaulish 1
gauls 3
geneva 1
get 2
getafix 5
governor 1
grows 1
guarantee 1
guesses 1
has 3
have 2
he 7
help 1
helvetia 4
helvetian 1
helvetians 1
hide 1
highest 1
him 1
himself 1
hints 1
his 4
hold 1
hostage 1
hotel 2
how 1
however 1
identifies 1
ieembezzling 1
in 10
including 2
inept 1
ingredient 1
insists 1
into 2
investigate 1
is 5
it 1
killer 1
laced 1
lake 1
large 1
later 1
life 1
lifestyle 1
lions 1
made 1
magic 1
majority 1
make 1
malady 1
manage 2
manager 2
mdash 2
mountains 1
murder 1
neverending 1
night 1
nononsense 1
not 1
now 2
obelix 6
odus 2
of 10
on 1
one 2
only 2
order 3
out 1
participate 1
parties 1
passing 1
petitsuix 1
pittance 1
plum 1
poison 2
potion 1
presence 1
pretending 1
provides 1
punches 1
quaestor 2
reach 1
realizing 1
remain 1
requires 1
retrieve 1
return 1
returned 1
roman 2
romans 2
rome 3
run 1
ruse 1
safes 1
secure 1
sending 1
sends 2
sent 1
serves 1
set 1
setting 1
should 1
silver 1
sinusitus 9
sky 1
so 1
some 4
soon 1
spend 1
star 1
stiff 1
story 1
switzerland 1
taxes 1
team 1
that 5
the 27
their 2
themselves 1
they 2
this 1
though 1
thus 1
to 18
two 1
understands 1
up 1
usual 1
varius 3
veterans 1
vexatius 1
village 3
warned 1
which 1
while 1
who 4
whole 1
whom 1
will 3
wine 1
with 4
wouldbe 1
zurix 1
