12545485
/m/02wcj66
/m/02wcj66
Chris Bunch
1993
a 2
able 1
across 1
admiral 1
after 1
alive 1
alternate 1
am2 5
ambassador 1
an 2
and 10
are 2
as 2
assassination 1
attempt 1
back 1
band 1
became 1
becoming 1
before 1
begins 1
beings 1
black 1
book 2
both 1
broadcast 1
but 2
chooses 1
control 1
cover 1
crystal 1
current 1
dead 2
describes 1
destroying 1
did 1
discover 1
discovered 1
emperor 7
eventually 1
everyone 2
extended 1
finally 1
find 1
finds 1
flashback 1
foremost 1
free 1
from 4
frustrated 1
full 1
galaxy 1
handling 1
hawaii 1
he 4
help 1
hideout 2
him 1
himself 1
his 8
how 3
idea 2
immortal 1
in 3
incarnation 1
instead 1
internal 1
is 3
its 1
keeping 1
kills 1
knife 1
lead 1
leader 1
learn 1
let 1
location 2
many 2
mason 1
mind 1
moments 1
most 1
not 1
now 2
of 10
on 1
once 1
onceadmiral 1
ops 1
or 1
other 1
outlaws 1
own 1
partners 1
planet 1
planets 1
plays 1
politically 1
politics 1
poor 1
power 2
practically 1
preferably 1
prevents 1
problem 1
races 2
recent 1
rejects 1
remove 1
rose 1
same 1
secret 1
semioutlaws 1
signature 1
slums 1
so 1
someone 1
source 1
sten 6
still 1
such 1
supply 1
that 2
the 18
their 1
them 1
to 10
track 1
tracks 1
true 1
truly 1
universe 2
up 1
using 1
want 1
wanted 1
way 1
we 2
with 2
