12734481
/m/02x2lv4
/m/02x2lv4
Marguerite Yourcenar
1968
a 3
accomplishes 1
after 1
age 1
also 1
an 1
and 2
at 1
banking 1
beyond 1
born 1
bruges 2
but 1
by 1
career 1
comfortable 1
dangerous 1
due 1
europe 1
family 1
find 1
genius 1
greedily 1
he 2
his 2
home 1
household 1
illegitimate 1
in 4
is 1
knowledge 1
leaves 1
leaving 2
legendary 1
ligre 1
mdash 2
nearly 1
of 4
priesthood 1
renounces 1
reputation 1
rich 1
roads 1
roaming 1
seeks 1
son 1
the 5
to 2
truth 1
twenty 1
wake 1
works 1
youth 1
zeno 2
