17677240
/m/047cq01
/m/047cq01
Gordon Korman
1978
{"/m/01z4y": "Comedy", "/m/03k9fj": "Adventure"}
a 14
abduction 1
able 1
across 1
after 1
again 2
air 1
also 1
ambassador 3
an 4
and 17
are 3
arrives 1
as 2
at 4
attempt 1
attributes 1
away 1
back 2
backfires 1
balloon 3
be 1
best 1
between 1
boarding 2
boots 5
both 3
boy 3
bruno 5
but 3
by 1
cannon 2
cant 1
capable 1
cat 1
causes 1
characters 1
come 1
comes 1
complain 1
completely 1
concluded 1
constantly 1
country 2
day 1
decide 1
decision 1
demoralize 1
desperation 1
disapproves 1
discuss 1
disturbance 1
drimsdale 2
due 2
during 1
each 1
earlier 1
elmer 5
elsewhere 1
en 1
entangled 1
eventually 1
faculty 1
find 1
finishing 1
fish 1
fishylike 1
flag 1
following 1
for 3
forbid 1
framing 1
francisco 1
friends 1
from 5
genius 1
george 2
get 4
getting 1
girl 1
goes 2
got 1
had 3
hall 2
hard 1
have 2
having 1
he 4
headmaster 2
high 1
him 3
himself 1
his 4
hockey 1
honor 3
hot 1
hypochondriac 1
idea 1
ideas 1
iii 1
implores 1
important 1
in 9
including 1
interrupted 1
into 3
ironically 1
is 3
it 1
ladies 1
lost 2
macdonald 2
main 1
malbonia 1
marks 1
mascot 1
massive 1
medals 1
meet 2
melvin 1
mischievous 1
miss 1
more 1
morning 1
move 2
moved 1
moves 1
named 1
nearby 1
net 1
new 2
next 1
nicknamed 1
night 1
novel 1
of 9
off 1
old 1
on 4
oneal 1
only 1
ontario 1
other 2
ottawa 1
overweight 1
people 1
placed 1
plan 1
play 1
police 1
prank 1
pranks 1
prominent 1
provincial 1
r 1
rcmp 1
realize 1
realizes 1
receive 1
receives 1
representing 1
rescue 1
rescuing 1
responsible 1
result 1
resulting 1
retrieve 1
reward 1
rival 1
road 1
roll 1
room 3
roommates 2
route 1
school 6
schools 1
scrimmage 1
seeing 1
separating 2
share 2
should 1
show 1
smalltime 1
son 2
spot 1
stand 1
stare 1
stern 1
stuck 2
students 2
study 1
sturgeon 4
surname 1
take 1
team 1
telescope 2
the 33
their 4
them 9
themselves 1
then 2
there 1
they 9
theyre 1
to 20
together 2
trademark 1
tree 1
trouble 1
troublemakers 1
two 4
ufo 1
under 1
up 3
used 1
using 1
volleyball 1
walton 1
was 1
watch 1
ways 1
wealthy 1
wexfordsmyth 1
whenever 1
which 1
while 2
who 6
william 1
wish 1
with 4
witnessed 1
young 1
