1237880
/m/04l38k
/m/04l38k
Angela Carter

{"/m/02xlf": "Fiction", "/m/0127jb": "Magic realism"}
100th 2
23 1
75th 1
a 9
about 1
acknowledges 1
activity 1
afford 1
after 1
alive 1
also 3
and 16
announces 1
another 1
april 1
are 3
arrives 1
as 7
attend 1
babies 1
baby 1
backstory 1
be 3
been 2
begins 1
being 2
believed 2
believes 1
between 1
birthday 5
bizarre 1
body 1
bombshell 1
both 1
brighton 1
brother 1
but 2
by 3
cant 1
carter 2
chance 2
children 2
clear 1
coincidence 1
consists 1
constantly 1
conveyed 1
dance 1
date 1
dead 1
deal 1
describes 2
die 1
discover 1
does 1
doorstep 1
dora 9
dramatic 1
dream 1
dropped 1
early 1
emerges 1
ends 1
enemies 1
events 1
father 4
film 1
final 1
first 1
for 2
found 1
fraternal 1
from 1
gets 1
gift 1
goddaughter 1
grandma 1
grow 1
guardian 1
halfbrother 1
has 2
hazard 5
he 3
her 6
himself 1
hints 1
his 3
hollywood 1
how 1
identical 1
imogen 1
in 2
incestuous 1
include 1
is 11
it 5
joy 1
key 1
learn 1
legal 1
life 1
line 1
lives 1
longtime 1
look 1
makes 1
melchior 3
memories 1
message 1
midsummer 1
missing 1
most 1
mystery 1
narrator 1
natural 2
nature 1
nephew 1
night 1
nora 5
not 1
novel 3
of 12
off 1
on 4
once 1
partner 1
party 1
peregrine 5
performances 1
place 1
pregnant 1
presented 1
producing 1
providing 1
reader 1
realise 1
rejected 1
relationship 1
responsibility 1
revealed 1
saskia 1
see 1
sexual 2
shakespeare 1
she 2
similarly 1
sing 1
sister 1
sisters 1
some 1
soon 2
spent 1
start 1
story 3
supposed 1
take 1
that 7
the 24
theatre 1
their 6
there 1
these 1
they 4
this 2
throughout 1
tiffany 4
time 2
to 9
took 1
trip 1
tristram 2
true 1
twenty 1
twin 3
twins 3
unwilling 1
up 2
version 1
want 1
well 2
what 2
when 1
where 1
who 3
with 4
wonder 1
years 1
