25284904
/m/09gn3bg
/m/09gn3bg
John Flanagan
2010-10-05

a 4
about 1
accompany 1
administrating 1
after 2
all 1
along 1
already 1
alyss 1
an 1
and 18
araluan 1
araluen 3
are 2
as 2
assumes 1
attempt 1
attempts 1
be 1
begins 1
best 1
book 2
brings 1
but 1
by 2
castle 1
catacombs 1
catch 1
causes 1
cave 1
certain 1
collapse 1
companions 2
conflicting 1
continue 1
cure 1
cured 1
cures 1
dead 1
decides 1
desperation 1
developed 1
devices 1
discover 2
discovered 1
discovering 2
discovers 1
discredits 1
during 1
ebony 1
en 1
ends 1
engage 1
escape 1
escapes 1
established 1
explains 1
explosive 1
fled 1
foiling 1
follow 2
followers 2
for 1
forces 1
from 2
genovesan 2
genovesans 1
gifts 1
given 1
going 1
gold 1
hallucinogen 1
halt 11
has 4
have 1
he 3
head 1
heading 1
heads 1
healer 1
help 2
him 5
his 5
home 2
horace 3
however 3
in 4
including 1
influence 1
injures 1
is 7
kill 2
killed 1
killing 1
later 1
life 1
malcolm 7
movement 1
nature 1
near 1
now 1
of 6
on 1
one 1
other 1
outlying 1
outsider 1
outsiders 1
pauline 2
picta 2
pictan 1
plan 1
poison 2
poisoned 1
possible 1
possibly 1
preaching 1
priest 1
puppy 1
quickly 1
raiders 1
redmont 1
reinvigorate 1
religion 1
remaining 2
resume 1
reuniting 1
route 1
saving 1
seek 1
separating 1
she 1
slowly 1
some 1
sources 1
successfully 2
supposedly 1
system 1
telling 1
tennyson 8
thanking 1
that 5
the 24
their 1
they 1
this 2
three 5
through 1
to 17
top 1
toward 1
trail 2
travel 1
trobar 1
trust 1
two 2
unaware 1
unimportant 1
up 1
use 1
village 2
villagers 1
where 3
which 2
while 2
who 1
will 12
with 9
wound 1
wrong 1
