2014292
/m/06f377
/m/06f377
Laurence Sterne
1768
{"/m/014dsx": "Travel", "/m/02xlf": "Fiction"}
1762 1
a 11
accidentally 2
accompany 1
acquire 1
after 2
along 1
altercation 1
an 1
and 8
another 1
anything 1
at 4
attempt 1
b 1
bastille 1
be 1
because 1
bedroom 1
been 1
before 1
begs 1
belonging 1
breaks 1
but 1
buys 1
calais 1
can 1
cant 1
caught 2
chaise 1
chambermaid 2
chambre 2
chambreend 1
confusion 1
consoles 1
continue 1
continues 1
convent 1
correct 2
count 4
days 1
de 4
decides 2
decision 1
died 1
donations 1
during 4
end 2
ended 1
england 1
ensues 1
exchange 1
fails 1
few 1
fille 3
finger 1
fleur 1
for 4
forced 1
france 1
give 1
grabs 2
grammatically 1
grief 1
hamlet 1
hand 2
has 1
having 1
he 13
her 2
hers 1
him 4
hires 1
his 14
hold 2
hotel 1
husband 1
i 2
ii 2
imprisonment 1
in 9
incorporate 1
informed 1
initially 1
inn 1
inquired 1
interpretation 2
into 1
introduced 1
is 10
italy 1
january 1
jester 1
journey 4
king 1
la 1
lady 2
last 2
later 1
leaves 1
line 1
lyon 1
man 1
maria 4
meets 1
mentioning 1
mistakes 1
monk 2
montreuil 1
more 1
mother 1
moulins 1
my 1
name 1
named 1
next 1
night 2
notices 1
novel 1
of 4
omitted 1
on 1
one 1
only 1
open 1
or 1
out 2
paris 4
passed 1
passport 5
points 1
police 1
previous 1
procures 1
promise 1
quickly 2
reads 1
receiving 1
refuses 1
regrets 1
remain 1
remains 1
returns 1
risks 1
roadside 1
room 1
satisfied 1
say 1
sentence 2
servant 1
seven 1
shandy 1
share 1
silent 1
since 1
sleep 1
snuffboxes 1
so 2
something 1
spends 1
starts 1
stay 1
staying 1
sterne 2
stretchd 1
stretched 1
struck 1
tells 1
that 5
the 23
their 1
then 1
there 1
this 1
time 1
to 17
town 1
travel 1
traveled 1
tristram 1
versailles 1
visit 1
visits 2
vol 2
voyage 1
war 2
was 1
way 1
when 4
where 3
who 2
with 6
without 1
word 1
would 1
years 1
yorick 14
you 1
young 1
