5713804
/m/0f0q_2
/m/0f0q_2
Tamora Pierce
1984
a 13
able 1
about 2
act 1
adventure 1
after 7
against 1
alanna 17
allows 1
alone 1
also 1
although 2
amulet 2
an 3
and 15
anything 1
are 2
around 2
as 5
at 1
attempting 1
back 1
battle 1
be 1
beat 2
become 1
becomes 1
before 2
beforehand 1
beginning 1
behave 1
being 1
black 1
breasts 1
broken 1
brother 1
but 1
by 4
campfire 1
camping 1
campsite 1
can 2
cannot 1
cat 1
ceremony 1
change 1
clear 1
confuse 1
contact 1
conte 1
cooper 1
coram 1
corset 2
corus 1
court 1
cousin 1
crest 2
deal 1
decides 1
desert 1
determined 1
disappear 1
discovered 1
does 3
dress 1
duel 1
duke 1
during 2
eleni 2
errand 1
escape 1
estate 1
even 1
everyone 2
expresses 1
eyes 1
faithful 3
featuring 1
feelings 1
female 1
feminine 1
few 1
field 1
final 1
finding 1
finds 2
first 1
flat 1
for 1
friends 2
from 2
gardens 1
george 3
given 1
gives 1
go 2
goddess 2
golden 1
great 1
happen 1
has 1
he 7
her 26
herself 1
him 1
his 3
home 1
horse 1
how 1
if 1
illusion 2
in 8
including 1
inherit 1
initial 1
into 1
is 14
it 4
its 1
jon 1
jonathan 5
keep 1
kidnapped 1
kill 2
kills 1
king 2
kiss 1
kissing 1
knew 1
knight 1
knighthood 2
ladies 1
later 1
like 2
lioness 1
longtime 2
loved 1
lovers 1
loves 1
made 1
magic 1
manservant 1
meowing 1
moonlight 1
more 1
mother 2
much 1
myles 1
names 1
nemesis 1
nevertheless 1
nobles 1
not 3
notice 1
novel 1
nurtured 1
of 9
off 3
on 4
only 1
or 1
ordeal 1
others 1
out 2
over 1
own 1
part 1
party 1
patron 1
people 1
picture 1
place 1
plans 1
presents 1
prince 2
progresses 1
protests 1
purple 1
queen 1
ready 1
real 1
realizes 1
rearing 1
red 1
regarding 1
rescues 1
reveal 1
revealed 1
roger 6
search 1
secret 1
secretly 1
see 1
sees 1
set 1
sets 1
sex 2
share 1
shared 1
she 18
shield 1
should 1
showdown 1
shows 2
side 1
slices 1
small 1
so 1
soon 2
sounds 1
south 1
special 1
step 1
stick 1
swords 1
take 1
takes 1
talk 1
teaches 1
tell 1
that 11
the 28
their 2
they 4
this 1
thom 1
throne 1
through 1
to 22
trebond 2
tree 1
tusaine 1
twin 1
two 1
under 2
unnoticed 1
up 3
uproar 1
uses 2
very 1
visits 1
wants 1
war 1
was 1
way 1
wears 1
well 1
went 1
when 4
which 2
while 1
who 1
whom 2
will 2
willow 1
wing 1
with 7
withstands 1
woman 4
woods 1
worked 1
young 1
