2267240
/m/06_gtb
/m/06_gtb
Elmore Leonard
2005-05-10
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
18 1
2007 1
a 6
action 1
against 1
age 1
all 1
also 1
ambitious 1
an 2
and 6
antonelli 1
appearance 1
as 3
at 1
baby 1
backdrop 1
bank 2
be 1
become 1
begins 1
belmont 1
bonnie 1
both 1
boy 2
brown 1
but 1
career 2
carl 2
carlos 3
cars 1
characters 1
clyde 1
contemporary 1
crack 1
criminal 2
criminals 1
cuba 1
dance 1
death 1
depression 1
detective 1
dillinger 1
during 1
elodie 1
enemy 1
face 1
falling 1
fictional 1
fifteen 1
first 1
floyd 2
follows 3
full 1
gal 2
gradea 1
great 1
gun 1
guns 1
he 2
his 1
honey 1
hot 1
in 4
include 1
introduced 1
is 3
jack 1
john 1
kelly 1
killed 1
known 1
lawman 1
lawmen 1
leonard 2
libre 1
life 1
like 2
likes 1
long 1
louly 1
loves 1
machine 1
magazine 1
make 1
mannerful 1
men 1
nelson 1
novel 4
number 1
of 7
one 1
other 1
perpetrated 1
presented 1
pretty 2
pro 1
prohibition 1
public 1
reader 1
real 1
reappear 1
respected 1
ripe 1
robberies 1
robbers 1
room 1
set 1
shot 1
son 1
story 2
the 9
there 1
this 1
through 1
to 3
tommy 1
tony 1
true 1
up 1
violence 1
virgil 1
wants 3
wasnt 1
webster 3
well 1
who 5
whore 1
wishes 1
with 1
woman 1
write 1
writer 1
