309409
/m/01szvx
/m/01szvx
Isaac Asimov
1951
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
0 2
12000yearold 1
135 2
142 2
144 2
151 1
155 2
30000year 1
50 2
500 1
80 2
a 48
abandoned 1
able 2
aboard 1
about 2
accept 1
accepts 1
acknowledging 1
acquitted 1
action 2
actionist 1
actionists 3
actions 1
administration 1
admiral 1
advance 1
advanced 2
advantage 1
advisor 1
affairs 1
after 2
again 2
against 9
age 2
agent 4
agrees 1
all 3
alleged 1
allow 1
allowing 1
almost 1
alone 1
along 1
also 4
alternative 1
ambitious 1
among 1
amount 1
amounts 1
an 14
anacreon 5
anacreonian 3
and 67
angering 1
angry 1
another 2
appears 4
appease 1
appropriate 1
are 7
argo 2
aristocratic 1
around 3
arouses 1
arranged 1
arrest 2
arrested 2
arrived 1
artificial 1
as 15
ascend 1
askone 2
askonian 2
asper 1
assault 2
assigned 2
assumes 1
at 3
atomic 1
attack 1
attainable 1
attaining 1
attempt 3
attempted 1
attempting 2
attends 1
august 1
authoritarian 1
autonomy 1
avert 1
avoid 1
aware 1
backdrop 1
background 1
ban 1
barr 4
bases 1
be 8
bear 1
becoming 1
been 3
before 1
began 1
begin 1
begins 1
belief 1
beliefs 2
believe 2
believes 3
believing 1
belonging 1
between 1
big 1
blasphemous 1
board 6
bombardment 1
book 1
both 1
bribe 1
bridle 1
broadcast 1
but 6
by 27
can 1
capital 2
captive 1
captured 1
carrying 1
case 1
caused 1
central 1
ceremony 1
cessation 1
chairman 1
chances 1
checked 1
chief 1
children 1
citizen 1
city 11
civilizations 1
claimed 1
clemency 1
client 1
clumsily 1
collapse 1
colony 2
commander 1
commdor 1
commercial 1
commits 1
committee 6
compendium 1
completion 1
composed 1
comprise 1
concerning 1
confirmed 1
conflict 1
confronts 1
conquer 1
considers 1
consolidate 1
conspiracy 1
consumed 1
contact 1
contain 1
continue 1
continued 1
continues 1
continuously 1
control 1
convert 1
convince 1
convinces 1
convincing 1
coronation 2
correct 1
corrupt 1
could 1
councillor 1
councilor 2
counterattacking 1
coup 2
court 1
create 1
creating 1
creation 2
crew 1
crisis 1
criticizes 1
cruiser 2
crumbling 1
danger 1
dark 2
date 1
day 1
de 1
deal 1
death 1
decades 2
decaying 1
decides 1
declared 1
declares 1
decline 1
declining 1
decoration 1
decree 1
deduces 1
defends 1
delight 1
demanding 3
demands 1
departure 1
design 1
designed 1
desolate 1
despite 1
detat 1
determined 1
developed 1
development 2
developments 1
devices 1
devoted 1
different 1
diplomatic 1
direct 2
discover 1
discovered 1
discoveries 1
discovers 1
discusses 1
distraction 1
diverting 1
do 1
does 1
doing 1
domestic 1
dornick 1
downfall 1
dr 1
dramatically 1
dreams 1
due 8
during 2
each 1
earlier 1
early 1
economic 1
edition 1
effective 1
effectively 1
efforts 1
elders 5
election 1
elections 1
elite 2
embarrassing 1
emperor 2
empire 13
encourage 1
encouraged 1
encourages 1
encyclopedia 7
encyclopedists 3
energy 1
engineers 2
ensure 1
enter 2
equates 1
eskel 1
establish 1
establishment 1
ethnic 1
european 1
even 1
events 3
eventually 2
exchange 2
executed 1
execution 2
exercising 1
exile 1
expand 1
expanded 2
experts 1
explaining 1
explains 1
exploitation 1
faced 1
fact 1
facto 1
failed 1
failing 1
fails 1
failure 3
fairly 1
fall 1
fallen 1
fashions 1
fe 10
fear 1
field 2
find 1
finds 1
first 1
fit 1
fleet 1
flotilla 1
followers 1
following 1
food 1
for 11
forbidden 1
forced 1
forces 1
foreign 2
former 1
foster 1
foundation 27
foundry 1
four 8
frantic 1
friendly 2
from 5
further 1
furthers 1
future 2
gaal 1
galactic 3
galactica 4
galaxy 1
gamble 1
gifts 1
give 1
given 2
gives 1
goal 3
goals 1
gold 4
goods 1
gorov 7
governing 1
government 4
grand 7
great 2
greater 1
greatly 1
group 1
guards 1
guardsmen 1
had 1
handguns 1
handled 1
hands 1
harbored 1
hardin 19
hari 3
has 13
have 7
he 15
help 1
high 1
him 7
himself 1
his 22
hober 1
hold 1
holographic 1
holy 1
hopes 1
however 9
human 1
i 1
if 3
immediate 1
immediately 1
imminent 1
impeach 1
imperial 7
importance 1
impoverished 1
imprisoned 1
in 22
incapable 1
incident 1
including 1
incompatible 1
incorporated 1
increase 1
independence 1
independent 1
inevitable 1
influence 2
informs 2
infuriated 1
initial 1
instead 2
institutions 1
intended 1
interplanetary 1
intervention 1
into 3
investigate 1
invited 1
invites 1
involving 1
iron 1
is 45
isolated 2
it 12
its 10
itself 1
jorane 1
journeys 1
june 1
kill 1
king 2
kingdom 2
kingdoms 8
knowledge 2
korell 10
korellian 1
lack 2
large 2
later 1
latter 1
launch 1
launching 1
lead 1
leadership 1
leading 1
leads 1
leaving 1
led 1
lee 2
lefkin 2
lepold 1
let 1
leverage 1
linmar 1
little 1
lives 1
location 1
longer 1
loss 1
louis 1
maddened 1
made 1
maintenance 1
majority 1
make 2
making 1
mallow 13
man 1
managed 1
manages 1
manlio 4
mansion 1
manufactured 1
markings 1
martyr 1
massacre 1
master 6
masters 1
mastership 2
mathematician 2
mathematics 1
may 5
mayor 6
mayoralty 1
mayors 1
meanwhile 2
medieval 1
meet 2
meeting 1
meets 3
members 2
merchant 1
message 1
met 2
military 2
millennium 1
mineral 1
missing 1
mission 1
missionaries 1
missionary 6
mob 4
morality 1
morals 1
most 1
movement 2
murder 1
mutineers 1
mutinies 1
named 1
nation 1
nature 2
navy 1
near 1
needs 1
negotiate 1
neighboring 4
neighbors 1
nephew 2
never 1
new 2
night 1
no 3
nonviolent 1
not 7
notes 1
now 1
nuclear 2
nucleics 1
numerous 1
obey 1
obstacle 1
october 1
of 84
offensive 1
offer 1
offers 1
office 1
officially 1
officiallysanctioned 1
on 11
once 1
one 4
only 2
onto 1
onum 1
opens 1
or 1
ordered 1
orders 2
original 1
other 1
others 2
out 1
outermost 1
over 5
overthrew 1
overthrow 1
palace 2
parallel 1
part 1
participated 1
patrician 1
perceives 1
period 1
periphery 1
personally 1
pherl 4
pirenne 1
pit 1
place 2
places 1
plan 1
planet 2
planets 2
plans 2
plant 1
play 2
played 1
playing 1
pleases 1
policeman 1
political 6
politicallypowerful 1
poly 1
ponyets 12
populace 1
populaces 1
popular 2
popularity 1
population 1
position 1
possibilities 1
possible 2
power 8
powerful 3
powerless 2
prediction 1
predictions 1
prefects 1
prepare 1
prepares 1
preserve 1
prevent 1
previous 1
priest 1
priesthood 1
priests 1
prince 2
princes 1
prior 1
professionals 1
programmed 1
proof 1
proselytizing 1
protective 1
protg 1
proven 1
provides 1
providing 1
province 2
provincial 1
psychohistorians 1
psychohistoric 1
psychohistory 2
psychologist 1
psychology 1
public 1
published 5
publius 1
punished 1
puts 1
quickly 1
quite 1
quo 1
rapid 1
reaches 1
realizes 3
rebelled 1
rebellion 1
rebellious 1
received 1
receives 1
recognizing 1
recording 4
redesigned 1
reduce 1
reelected 1
refer 1
referring 2
refuse 2
refuses 1
regent 1
region 3
regress 1
relations 1
release 1
released 1
religion 3
religious 2
reminding 1
reminscient 1
remote 2
remove 3
renewed 1
replies 1
republic 3
requests 1
residents 1
resistance 2
resisted 1
resisting 1
resources 1
respected 1
response 1
retains 1
return 2
revealed 1
revolution 1
right 1
rise 1
roman 1
royal 3
ruled 1
ruler 3
rulers 2
sad 1
saddle 1
safety 1
salvor 3
same 1
scheduled 1
science 2
scientific 2
scientism 5
scientists 2
secret 2
secretary 2
secular 1
seek 1
sef 1
seldon 12
select 1
senator 1
sense 1
sent 2
sentenced 1
series 1
sermak 2
served 1
set 7
several 2
severed 1
shaky 1
shares 1
ship 5
ships 2
significant 2
since 1
siwenna 3
skeptical 1
slowly 2
societies 1
sole 1
solely 1
son 1
soon 1
space 2
stable 4
staging 1
statement 1
statements 1
states 1
status 1
steel 1
stellar 1
still 2
story 1
strife 1
subjugated 1
succeeds 2
success 2
such 2
suddenly 1
suicide 1
suitable 2
sum 1
supply 1
suppressed 1
surprised 1
surrender 1
surrounds 2
survival 1
suspected 1
suspicions 1
sutt 4
system 1
systems 1
taboos 1
take 2
takeover 1
takes 3
technicians 1
techniques 1
technological 5
technology 4
teenaged 1
tells 1
tensions 2
terminus 17
than 1
that 31
the 187
their 6
them 2
themselves 2
theories 1
these 1
they 2
this 7
those 1
though 4
threatening 1
three 2
through 1
throughout 1
time 5
to 90
tour 1
trade 1
trader 4
traders 5
traditional 2
trained 1
transmuter 2
trantor 3
traveled 1
travels 1
treasonous 1
tried 2
true 3
trustees 5
truth 1
try 1
turning 1
unable 1
unaware 1
understanding 1
underway 1
undoubtedly 1
until 1
upon 2
uprising 1
use 2
using 2
vanished 1
vault 1
verisof 2
vessels 1
viceroy 3
viceroys 1
victory 1
views 1
virtually 2
waiting 1
wanted 1
wanting 1
war 1
wary 1
was 2
way 1
ways 1
weaken 1
weapons 2
wedge 1
welcomes 1
western 2
what 3
where 3
which 15
while 2
who 12
whose 1
wienis 8
wildly 1
will 7
willing 2
with 19
work 2
world 1
worlds 1
would 3
year 2
years 1
yohan 1
you 1
young 2
your 1
zealous 1
