9363023
/m/0285zq2
/m/0285zq2
Edward Blishen
1970-10-26
{"/m/0dwly": "Children's literature"}
a 34
abduction 2
after 5
again 1
age 2
agrees 2
all 1
amongst 1
an 1
and 53
anew 1
another 1
anticleia 3
anvil 2
aphrodite 3
apollo 2
are 1
ares 4
arrival 1
artemis 1
as 7
ascalaphus 1
ascension 1
asks 1
asopus 3
at 8
ate 1
athene 1
attempting 1
autolycus 5
avenging 1
avoid 1
away 1
baby 2
back 1
balm 1
be 2
beautiful 1
beauty 1
been 1
begin 2
begins 3
behest 1
behind 1
beneath 1
bequest 1
berates 1
birth 2
birthright 1
bless 1
blessings 1
boulder 1
breaks 1
briareus 1
broken 2
brooch 8
building 1
but 1
by 17
calm 1
came 1
can 1
cast 1
casting 1
cattle 1
caucasus 1
chaining 1
chaos 3
child 3
children 2
chione 1
choice 1
chooses 1
chrysalis 2
city 2
claiming 1
clay 1
come 1
commands 3
concludes 2
conclusion 1
concurrent 1
condemned 1
consoles 1
conspire 2
continues 1
create 1
creates 1
creation 1
creations 1
creatures 1
cronus 4
cuckoo 1
cyclopes 1
daily 1
daughter 3
day 1
dead 1
death 2
deceiving 1
defeat 1
defiance 1
deluge 1
demands 2
demeter 4
depicting 1
descent 1
desire 1
despairing 1
destroy 2
deucalion 1
discord 1
discover 1
dispatches 1
disrespect 1
distracted 1
divided 1
doomed 1
down 1
earth 4
eats 1
emerging 1
epimetheus 2
escapes 1
eternal 1
eternity 1
eurynome 3
events 1
eventually 1
fashion 1
fashioned 1
father 1
fearing 1
fetch 1
fetches 1
find 1
finding 1
finds 2
fire 2
food 1
for 13
forbids 1
forge 1
forgives 1
free 1
freed 1
from 10
furies 2
fury 1
gains 1
gardener 1
gift 3
gifted 1
gifts 1
give 2
gives 2
giving 1
god 4
goddesses 2
gods 4
grandson 1
greek 1
greeted 1
grotto 2
grows 1
had 1
hades 6
half 4
hammer 2
hanging 1
has 1
hatred 1
having 1
he 11
heal 1
healing 1
health 1
hecatonchires 1
hed 1
hephaestus 17
her 7
hera 10
hermes 13
hidden 1
hideous 1
hides 1
hill 1
him 11
himself 1
his 22
home 1
honor 1
hope 1
hopes 1
how 1
i 1
if 1
ii 1
iii 1
image 2
immense 1
immortals 1
imprison 2
impurites 1
in 18
including 1
infant 1
infidelities 1
inhabit 1
instead 1
interacting 1
intercedes 1
into 4
inviting 1
is 13
isle 1
it 2
ithaca 1
jar 3
know 1
knows 1
laertes 1
land 2
lands 1
last 1
learning 1
left 2
lemnos 2
let 2
letter 1
like 1
live 2
liver 1
locals 1
lost 1
lover 1
lycaon 1
madness 2
make 1
makes 3
making 2
malignant 1
manacles 1
mankind 4
marry 1
may 2
meanwhile 1
men 3
misshapen 1
mistakenly 1
monstrous 1
months 1
more 1
morning 1
mortals 1
most 1
mount 1
muses 1
myths 5
names 1
narrative 1
nature 1
neighbor 1
net 1
new 1
newborn 1
next 1
night 1
nightly 1
not 1
novel 4
nursed 1
nymph 2
ocean 1
odysseus 2
of 44
offers 1
old 1
olympians 5
olympus 10
on 4
one 4
opening 1
other 1
out 2
over 2
overlooks 1
overthrow 2
overthrowal 1
overthrown 1
own 2
pandora 5
parentage 1
parnassus 1
part 7
parts 1
people 1
persephone 6
pillar 1
play 1
plaything 1
plummeting 1
pomegranate 1
poorer 1
portion 1
portions 1
poseidon 1
power 1
praying 1
pregnant 1
prometheus 11
prophecies 1
punishes 2
punishment 2
pyrrha 1
queen 1
quelling 1
raining 1
raise 1
raises 1
raping 1
ravishing 1
realization 1
recount 1
releases 1
remain 1
remembers 1
repopulate 1
reproaching 1
resolving 1
restless 1
resume 1
retribution 1
return 2
returning 1
returns 4
reunites 1
revelation 1
revenge 1
rhea 4
river 1
roll 1
sacrifice 2
saves 1
scrapes 1
screechowl 1
sea 4
sealed 1
search 1
second 4
seduces 1
seeds 1
seeing 1
seen 1
sends 1
sets 1
seven 1
shares 1
she 4
shepherd 1
shifts 1
shoulders 1
shouts 1
sickness 1
sisyphus 7
sky 2
smith 1
so 1
son 5
sparing 1
spies 1
spring 1
steals 2
stones 2
stories 2
storm 1
strange 1
struck 1
substance 2
survive 1
swears 1
takes 2
tale 1
tales 1
tartarus 1
task 1
tasted 1
teaches 1
tell 3
telling 1
tells 6
tempered 1
that 9
the 84
their 4
them 3
then 5
these 1
thetis 6
they 6
threatens 1
three 3
throne 1
throws 2
thunderbolts 1
time 3
titans 3
to 50
torment 1
transform 1
transforming 1
trapping 1
treating 1
tricks 1
troy 2
turned 1
turns 1
two 2
uglier 1
underworld 1
unfold 1
unless 2
unsuccessfully 1
up 1
uranus 1
use 1
used 1
vain 1
various 1
vengeance 1
vent 1
vessel 1
vice 1
violent 1
visit 1
vulture 1
war 1
warning 1
was 1
washed 1
watch 1
what 1
when 1
where 2
which 1
while 1
who 5
wife 4
will 2
with 16
withdraw 1
wolf 1
woman 1
works 1
worn 1
worship 1
would 1
wounds 1
year 1
zeus 30
