5250896
/m/0d9z9x
/m/0d9z9x
Ruth Rendell
1985-04-15
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 4
an 1
and 1
another 2
arria 1
as 2
bored 1
car 1
case 1
confirm 1
dead 1
disappearance 1
does 1
everything 1
favour 1
feministic 1
finds 2
first 1
for 1
found 1
have 1
having 1
he 1
himself 1
his 3
however 1
husbands 1
in 1
inkling 1
into 2
investigation 1
involving 1
is 3
known 1
local 1
look 1
man 2
middleaged 1
militant 1
neighbours 1
of 3
off 1
one 1
organisation 1
raven 1
rodney 1
run 1
seems 1
simply 1
stabbed 1
symbol 1
taken 1
that 1
the 2
their 2
this 1
thrown 1
to 2
wexford 2
when 2
who 1
wife 1
williams 1
with 1
woman 1
younger 1
