5517226
/m/0dqhv5
/m/0dqhv5
Justin Somper
2005-06-06
2505 1
a 5
aboard 1
and 2
be 1
boat 1
but 1
cold 1
connor 2
cruel 1
cutlass 1
dawning 1
destroying 1
does 1
era 1
fighting 1
finds 2
for 1
grace 2
have 2
he 1
herself 1
himself 1
in 1
is 2
leaving 1
lives 1
more 2
mysterious 1
new 1
notorious 1
oceans 1
of 3
one 1
picked 1
piracy 1
pirate 2
pirates 1
risen 1
separates 1
ship 1
ships 1
soon 1
stomach 1
storm 1
tempest 1
the 5
their 2
them 1
to 1
twins 1
up 1
vampire 1
vicious 1
water 1
wielding 1
year 1
