827469
/m/03fbxl
/m/03fbxl
Bertolt Brecht


11 1
17th 1
a 13
about 4
acknowledge 2
across 1
after 1
again 2
also 2
amount 1
an 4
and 26
angry 1
anna 1
appears 1
approaches 1
are 2
argues 1
argument 1
army 3
arrive 1
as 3
at 2
attacks 1
attempt 1
attempting 1
awake 1
away 1
barter 1
be 2
beats 1
because 2
been 1
before 1
begins 1
being 1
between 1
body 1
both 1
bring 1
broken 1
bullets 1
bury 1
business 1
but 3
by 7
camp 1
canteen 1
capitulation 1
capon 1
captured 1
cart 5
catholic 4
catholics 1
cattle 1
century 1
chaplain 4
chaplin 1
cheese 5
chicken 1
children 3
clerk 1
climbs 1
co 1
collecting 1
complain 2
complaining 2
complaint 1
conclusion 1
congratulated 1
continue 1
cook 6
corpse 1
could 2
courage 23
creates 1
curses 1
daughter 2
dead 1
deal 1
deals 1
decides 1
departs 1
difficulty 1
discusses 1
disfigured 1
does 2
dragged 1
drum 1
during 1
early 1
eilif 7
enters 2
europe 1
executed 1
face 1
fatal 1
fetches 1
fierling 1
find 1
finds 2
fishwife 1
following 1
food 1
for 6
fraternization 1
free 1
from 8
funeral 1
general 6
get 1
gone 1
got 1
great 1
guides 1
halle 1
harbour 1
has 4
have 1
he 2
her 8
here 1
herself 3
hides 1
him 4
his 4
hitches 1
hurriedly 1
in 8
inherits 1
inn 2
insignia 1
into 1
introduced 1
invading 1
involving 1
is 15
it 5
kattrin 9
killed 1
killing 2
later 2
leave 1
led 1
left 1
lighter 1
little 1
live 1
long 1
make 1
marks 1
marry 1
merchandise 3
message 1
money 2
more 2
morning 1
mother 25
named 1
negotiate 1
negotiates 1
never 1
no 3
not 4
now 2
of 6
off 1
officer 2
one 1
onto 1
operate 1
or 1
order 1
out 3
outside 1
over 1
own 1
paid 1
part 1
party 1
paybox 2
paymaster 1
peace 1
peasants 5
persuades 1
pit 1
play 1
point 2
pottier 1
profits 1
proposal 1
prostitute 1
protestant 4
pull 1
pulling 1
raped 1
reaching 1
recruiting 3
refuses 1
regiment 1
register 1
rejects 1
return 1
risks 1
rolls 1
roof 1
same 2
scolds 1
search 1
sell 1
sergeant 2
set 1
seventeenth 1
she 9
shoot 1
shot 1
sing 1
sings 3
slaps 1
slaughtering 1
small 3
so 1
soilders 1
soldier 4
soldiers 6
some 1
son 2
song 4
start 1
succeeds 1
suggests 2
supplies 1
swiss 5
switch 1
takes 1
taking 2
tent 1
that 8
the 58
their 3
themselves 1
then 2
there 2
they 2
thirty 1
this 1
though 1
three 2
thrown 1
tilly 1
time 1
to 23
too 1
town 4
townspeople 1
trade 1
trading 1
troops 1
try 2
trying 1
two 2
unwise 1
up 3
uses 2
utrecht 1
very 2
wagon 1
waiting 1
waits 1
wake 1
waking 1
want 1
war 7
warn 1
ways 1
well 1
when 2
where 1
whether 1
while 6
will 2
wishes 1
with 9
woken 1
woman 1
works 1
would 1
year 1
years 3
young 1
yvette 1
