21238422
/m/05c3m4l
/m/05c3m4l
Jerry Spinelli
1991
a 5
and 2
anything 1
at 2
be 2
because 2
boy 3
but 4
cheerleading 1
close 1
cut 1
decide 1
decides 1
delong 1
did 1
discovers 1
do 4
dont 1
during 1
eric 1
finds 1
for 3
forfeit 1
get 1
girl 1
good 1
harder 1
has 1
he 1
her 5
high 1
him 1
if 1
in 2
infatuated 1
initially 2
is 3
it 1
junior 1
likes 1
lot 1
loves 1
maisie 3
make 1
makes 1
matches 1
most 1
near 1
not 1
of 3
on 1
opponents 1
or 1
other 1
out 4
people 1
potter 1
really 1
right 1
school 1
she 11
should 1
some 1
soon 1
sport 1
squad 1
team 3
than 1
that 4
the 6
they 1
things 2
think 1
thought 1
to 9
too 1
tries 2
truly 1
try 1
tryouts 1
want 1
wants 2
what 1
will 1
wins 1
with 1
wrestle 1
wrestling 4
